fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationTaxon,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationTaxon,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification scientific name,determinationHistoryGroupList > determinationHistoryGroup,determinationTaxon,string,n,n,y,authority: taxon/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationQualifier,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationQualifier,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification qualifier,determinationHistoryGroupList > determinationHistoryGroup,determinationQualifier,string,n,n,y,vocabulary: taxonqualifier,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationBy,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationBy,Object Identification Information,Determination history > Identification by,Taxonomic identification by,determinationHistoryGroupList > determinationHistoryGroup,determinationBy,string,n,n,y,authority: person/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationInstitution,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationInstitution,Object Identification Information,Determination history > Identification by,Taxonomic identification institution,determinationHistoryGroupList > determinationHistoryGroup,determinationInstitution,string,n,n,y,authority: organization/local,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationKind,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationKind,Object Identification Information,Determination history,Taxonomic identification kind,determinationHistoryGroupList > determinationHistoryGroup,determinationKind,string,n,n,y,vocabulary: taxonkind,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationReference,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationReference,Object Identification Information,Determination history > Reference,Taxonomic identification reference source,determinationHistoryGroupList > determinationHistoryGroup,determinationReference,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationRefPage,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationRefPage,Object Identification Information,Determination history > Reference,Taxonomic identification reference page,determinationHistoryGroupList > determinationHistoryGroup,determinationRefPage,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension determinationNote,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.determinationNote,Object Identification Information,Determination history,Taxonomic identification note,determinationHistoryGroupList > determinationHistoryGroup,determinationNote,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium localName,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.localName,Object Identification Information,Local name,Local name,localNameGroupList > localNameGroup,localName,string,n,n,y,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_herbarium localNameLanguage,herbarium_2-0-2,collectionobject,ns2:collectionobjects_herbarium,ns2:collectionobjects_herbarium,collectionobjects_herbarium.localNameLanguage,Object Identification Information,Local name,Local name language,localNameGroupList > localNameGroup,localNameLanguage,string,n,n,y,vocabulary: languages,"",not in core_7-1-0
