fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
botgarden_3-0-2 ns2:collectionobjects_botgarden accessionDate,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.accessionDate,Object Identification Information,"",Accession date,"",accessionDate,date,n,n,n/a,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden deadFlag,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.deadFlag,Object Identification Information,"",Dead flag,"",deadFlag,string,n,n,n/a,option list: booleans,"false, true",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_botgarden deadDate,botgarden_3-0-2,collectionobject,ns2:collectionobjects_botgarden,ns2:collectionobjects_botgarden,collectionobjects_botgarden.deadDate,Object Identification Information,"",Dead date,"",deadDate,date,n,n,n/a,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension taxon,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.taxon,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification scientific name,taxonomicIdentGroupList > taxonomicIdentGroup,taxon,string,n,n,y,authority: taxon/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension qualifier,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.qualifier,Object Identification Information,Determination history > Taxonomic identification,Taxonomic identification qualifier,taxonomicIdentGroupList > taxonomicIdentGroup,qualifier,string,n,n,y,vocabulary: taxonqualifier,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension affinityTaxon,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.affinityTaxon,Object Identification Information,Determination history,Affinity taxon,taxonomicIdentGroupList > taxonomicIdentGroup,affinityTaxon,string,n,n,y,authority: taxon/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension hybridFlag,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.hybridFlag,Object Identification Information,Determination history,Hybrid flag,taxonomicIdentGroupList > taxonomicIdentGroup,hybridFlag,boolean,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension taxonomicIdentHybridParent,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.taxonomicIdentHybridParent,Object Identification Information,Determination history > Hybrid parent,Hybrid parent name,taxonomicIdentGroupList > taxonomicIdentGroup > taxonomicIdentHybridParentGroupList > taxonomicIdentHybridParentGroup,taxonomicIdentHybridParent,string,n,n,y,authority: taxon/local,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension taxonomicIdentHybridParentQualifier,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.taxonomicIdentHybridParentQualifier,Object Identification Information,Determination history > Hybrid parent,Hybrid parent qualifier,taxonomicIdentGroupList > taxonomicIdentGroup > taxonomicIdentHybridParentGroupList > taxonomicIdentHybridParentGroup,taxonomicIdentHybridParentQualifier,string,n,n,y,vocabulary: hybridparentqualifier,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension reference,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ns2:collectionobjects_naturalhistory_extension,collectionobjects_naturalhistory_extension.reference,Object Identification Information,Determination history > Reference > Reference Information,Taxonomic identification reference source,taxonomicIdentGroupList > taxonomicIdentGroup,reference,string,n,n,y,"","",not in bonsai_5-0-2
