"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_source","repeatability"
"anthro_5-0-0","acquisition","Acquisition Information","Funding","Funding source","acquisitionFundingList > acquisitionFunding","acquisitionFundingSource","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","acquisition","Acquisition Information",,"Acquisition source","acquisitionSources","acquisitionSource","authority: person/local; authority: organization/local","repeatable field, not in fieldgroup"
"anthro_5-0-0","acquisition","Acquisition Information",,"Owner","owners","owner","authority: person/local; authority: organization/local","repeatable field, not in fieldgroup"
"anthro_5-0-0","citation","Citation Information","Agent","Agent name","citationAgentInfoGroupList > citationAgentInfoGroup","agent","authority: person/local; authority: person/ulan; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","citation","Citation Information","Publication","Publication place","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationPlace","authority: place/local; authority: place/tgn","part of repeatable field group"
"anthro_5-0-0","citation","Citation Information","Related term","Related term","citationRelatedTermsGroupList > citationRelatedTermsGroup","relatedTerm","authority: concept/associated; authority: concept/activity; authority: concept/material","part of repeatable field group"
"anthro_5-0-0","citation","Citation Information","Term > Source","Term source name","citationTermGroupList > citationTermGroup","termSource","authority: citation/local; authority: citation/worldcat","part of repeatable field group"
"anthro_5-0-0","claim","Claim Information","Claimant","Claim filed by","claimantGroupList > claimantGroup","claimFiledBy","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","claim","Claim Information","Claimant","Claim filed on behalf of","claimantGroupList > claimantGroup","claimFiledOnBehalfOf","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Object History and Association Information","Previous ownership","Previous owner name","anthroOwnershipGroupList > anthroOwnershipGroup","anthroOwner","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Object Description Information","Content","Content concept","contentConcepts","contentConcept","authority: concept/associated; authority: concept/material","repeatable field, not in fieldgroup"
"anthro_5-0-0","collectionobject","Object Description Information","Content","Content organization","contentOrganizations","contentOrganization","authority: organization/local; authority: organization/ulan","repeatable field, not in fieldgroup"
"anthro_5-0-0","collectionobject","Object Description Information","Content","Content person","contentPersons","contentPerson","authority: person/local; authority: person/ulan","repeatable field, not in fieldgroup"
"anthro_5-0-0","collectionobject","Object Collection Information",,"Field collector","fieldCollectors","fieldCollector","authority: person/local; authority: organization/local","repeatable field, not in fieldgroup"
"anthro_5-0-0","collectionobject","Object Identification Information",,"Measured by","measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup","measuredBy","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Repatriation and NAGPRA Compliance Information","Cultural determination","Cultural determination by","nagpraDetermGroupList > nagpraDetermGroup","nagpraDetermBy","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Repatriation and NAGPRA Compliance Information","Reported to National NAGPRA","NAGPRA report filed by","nagpraReportFiledGroupList > nagpraReportFiledGroup","nagpraReportFiledBy","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Repatriation and NAGPRA Compliance Information","Reported to National NAGPRA","NAGPRA report filed with","nagpraReportFiledGroupList > nagpraReportFiledGroup","nagpraReportFiledWith","authority: person/local; authority: organization/local","part of repeatable field group"
"anthro_5-0-0","collectionobject","Object Description Information","Non-Textual Inscription > Non-textual inscription","Non-textual inscription inscriber","nonTextualInscriptionGroupList > nonTextualInscriptionGroup","inscriptionDescriptionInscriber","authority: person/local; authority: organization/local","part of repeatable field group"
