fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_4-0-3 ns2:acquisitions_common acquisitionReferenceNumber,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_publicart accessionDate,publicart_4-0-3,acquisition,ns2:acquisitions_publicart,ns2:acquisitions_publicart,acquisitions_publicart.accessionDate,Acquisition Information,"",Accession date,"",accessionDate,date,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_common acquisitionAuthorizer,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizer,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority: person/local,""
publicart_4-0-3 ns2:acquisitions_common acquisitionAuthorizerDate,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizerDate,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_publicart acquisitionDate,publicart_4-0-3,acquisition,ns2:acquisitions_publicart,ns2:acquisitions_publicart,acquisitions_publicart.acquisitionDate,Acquisition Information,"",Acquisition date,acquisitionDates,acquisitionDate,date,n,y,n,"",""
publicart_4-0-3 ns2:acquisitions_common acquisitionMethod,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,vocabulary: acquisitionmethod,""
publicart_4-0-3 ns2:acquisitions_common acquisitionSource,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:acquisitions_common owner,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.owner,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:acquisitions_common acquisitionReason,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_common acquisitionNote,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_common acquisitionFundingCurrency,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingCurrency,Acquisition Information,Funding,Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary: currency,""
publicart_4-0-3 ns2:acquisitions_common acquisitionFundingValue,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingValue,Acquisition Information,Funding,Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"",""
publicart_4-0-3 ns2:acquisitions_common acquisitionFundingSource,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSource,Acquisition Information,Funding,Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:acquisitions_common acquisitionFundingSourceProvisos,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSourceProvisos,Acquisition Information,Funding,Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"",""
publicart_4-0-3 ns2:acquisitions_common creditLine,publicart_4-0-3,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_commission commissioningBody,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissioningBody,Commission Information,"",Commissioning body,commissioningBodyList,commissioningBody,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:acquisitions_commission commissionDate,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionDate,Commission Information,"",Commission date,"",commissionDate,structured date group,n,n,n/a,"",""
publicart_4-0-3 ns2:acquisitions_commission commissionBudgetType,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetType,Commission Information,"",Budget type,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetType,string,n,n,y,vocabulary: budgettype,""
publicart_4-0-3 ns2:acquisitions_commission commissionBudgetTypeNote,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionBudgetTypeNote,Commission Information,"",Budget note,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetTypeNote,string,n,n,y,"",""
publicart_4-0-3 ns2:acquisitions_commission commissionProjectedValueCurrency,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueCurrency,Commission Information,Projected value,Projected value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueCurrency,string,n,n,y,vocabulary: currency,""
publicart_4-0-3 ns2:acquisitions_commission commissionProjectedValueAmount,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionProjectedValueAmount,Commission Information,Projected value,Projected value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueAmount,float,n,n,y,"",""
publicart_4-0-3 ns2:acquisitions_commission commissionActualValueCurrency,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueCurrency,Commission Information,Actual value,Actual value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueCurrency,string,n,n,y,vocabulary: currency,""
publicart_4-0-3 ns2:acquisitions_commission commissionActualValueAmount,publicart_4-0-3,acquisition,ns2:acquisitions_commission,ext.commission,ext.commission.commissionActualValueAmount,Commission Information,Actual value,Actual value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueAmount,float,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termDisplayName,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,Term,Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"",""
publicart_4-0-3 ns2:citations_common termStatus,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,Term,Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review"
publicart_4-0-3 ns2:citations_common termType,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,Term,Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary: citationtermtype,""
publicart_4-0-3 ns2:citations_common termFlag,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,Term,Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary: citationtermflag,""
publicart_4-0-3 ns2:citations_common termLanguage,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,Term,Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary: languages,""
publicart_4-0-3 ns2:citations_common termPrefForLang,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,Term,Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termFullCitation,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,Term,Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termTitle,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,Term,Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termSubTitle,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,Term,Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termSectionTitle,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,Term,Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"",""
publicart_4-0-3 ns2:citations_common termVolume,publicart_4-0-3,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,Term,Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"",""
