"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats"
"core_7-1-0","acquisition","Acquisition Information",,"Accession date",,"accessionDateGroup","structured date group","n","n","n/a"
"core_7-1-0","acquisition","Acquisition Information",,"Acquisition date","acquisitionDateGroupList","acquisitionDateGroup","structured date group","n","y","n"
"core_7-1-0","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"core_7-1-0","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"core_7-1-0","collectionobject","Object Description Information","Content","Content date",,"contentDateGroup","structured date group","n","n","n/a"
"core_7-1-0","collectionobject","Object Description Information","Textual Inscription > Textual inscription","Textual inscription date","textualInscriptionGroupList > textualInscriptionGroup","inscriptionContentDateGroup","structured date group","n","n","y"
"core_7-1-0","collectionobject","Object Description Information","Non-Textual Inscription > Non-textual inscription","Non-textual inscription date","nonTextualInscriptionGroupList > nonTextualInscriptionGroup","inscriptionDescriptionDateGroup","structured date group","n","n","y"
"core_7-1-0","collectionobject","Object Production Information",,"Production date","objectProductionDateGroupList","objectProductionDateGroup","structured date group","n","y","n"
"core_7-1-0","collectionobject","Object History and Association Information","Associations > Associated date","Associated date value","assocDateGroupList > assocDateGroup","assocStructuredDateGroup","structured date group","n","n","y"
"core_7-1-0","collectionobject","Object History and Association Information",,"Ownership date","ownershipDateGroupList","ownershipDateGroup","structured date group","n","y","n"
"core_7-1-0","collectionobject","Object Collection Information",,"Field collection date",,"fieldCollectionDateGroup","structured date group","n","n","n/a"
"core_7-1-0","exhibition","Exhibition Information","Gallery rotation","Gallery rotation start date","galleryRotationGroupList > galleryRotationGroup","galleryRotationStartDateGroup","structured date group","n","n","y"
"core_7-1-0","exhibition","Exhibition Information","Gallery rotation","Gallery rotation end date","galleryRotationGroupList > galleryRotationGroup","galleryRotationEndDateGroup","structured date group","n","n","y"
"core_7-1-0","media","Media Handling Information",,"Date","dateGroupList","dateGroup","structured date group","n","y","n"
"core_7-1-0","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"core_7-1-0","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"core_7-1-0","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"core_7-1-0","organization","Organization Information","Contact person","Contact date","contactGroupList > contactGroup","contactDateGroup","structured date group","n","n","y"
"core_7-1-0","organization","Organization Information","Contact person","Contact end date","contactGroupList > contactGroup","contactEndDateGroup","structured date group","n","n","y"
"core_7-1-0","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"core_7-1-0","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
