profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
bonsai_5-0-5,Acquisition,Reference number,Acquisition Information,"",string,y,n,n/a,"","",acquisition,acquisitionReferenceNumber
bonsai_5-0-5,Acquisition,Accession date,Acquisition Information,"",structured date group,n,n,n/a,"","",acquisition,accessionDateGroup
bonsai_5-0-5,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority: person/local,"",acquisition,acquisitionAuthorizer
bonsai_5-0-5,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","",acquisition,acquisitionAuthorizerDate
bonsai_5-0-5,Acquisition,Acquisition date,Acquisition Information,"",structured date group,n,y,n,"","",acquisition,acquisitionDateGroup
bonsai_5-0-5,Acquisition,Acquisition method,Acquisition Information,"",string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition,acquisitionMethod
bonsai_5-0-5,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,acquisitionSource
bonsai_5-0-5,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,owner
bonsai_5-0-5,Acquisition,Transfer of title number,Acquisition Information,"",string,n,n,n/a,"","",acquisition,transferOfTitleNumber
bonsai_5-0-5,Acquisition,Group purchase price currency,Acquisition Information,Price Information > Group purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,groupPurchasePriceCurrency
bonsai_5-0-5,Acquisition,Group purchase price value,Acquisition Information,Price Information > Group purchase price,float,n,n,n/a,"","",acquisition,groupPurchasePriceValue
bonsai_5-0-5,Acquisition,Object offer price currency,Acquisition Information,Price Information > Object offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectOfferPriceCurrency
bonsai_5-0-5,Acquisition,Object offer price value,Acquisition Information,Price Information > Object offer price,float,n,n,n/a,"","",acquisition,objectOfferPriceValue
bonsai_5-0-5,Acquisition,Object purchaser offer price currency,Acquisition Information,Price Information > Object purchaser offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchaseOfferPriceCurrency
bonsai_5-0-5,Acquisition,Object purchaser offer price value,Acquisition Information,Price Information > Object purchaser offer price,float,n,n,n/a,"","",acquisition,objectPurchaseOfferPriceValue
bonsai_5-0-5,Acquisition,Object purchase price currency,Acquisition Information,Price Information > Object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchasePriceCurrency
bonsai_5-0-5,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","",acquisition,objectPurchasePriceValue
bonsai_5-0-5,Acquisition,Original object purchase price currency,Acquisition Information,Price Information > Original object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,originalObjectPurchasePriceCurrency
bonsai_5-0-5,Acquisition,Original object purchase price value,Acquisition Information,Price Information > Original object purchase price,float,n,n,n/a,"","",acquisition,originalObjectPurchasePriceValue
bonsai_5-0-5,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionReason
bonsai_5-0-5,Acquisition,Approval,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition,approvalGroup
bonsai_5-0-5,Acquisition,Approval individual,Acquisition Information,Approval,string,n,n,y,authority: person/local,"",acquisition,approvalIndividual
bonsai_5-0-5,Acquisition,Approval status,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition,approvalStatus
bonsai_5-0-5,Acquisition,Approval status date,Acquisition Information,Approval,date,n,n,y,"","",acquisition,approvalDate
bonsai_5-0-5,Acquisition,Approval note,Acquisition Information,Approval,string,n,n,y,"","",acquisition,approvalNote
bonsai_5-0-5,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionNote
bonsai_5-0-5,Acquisition,Provisos,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionProvisos
bonsai_5-0-5,Acquisition,Funding currency,Acquisition Information,Funding,string,n,n,y,vocabulary: currency,"",acquisition,acquisitionFundingCurrency
bonsai_5-0-5,Acquisition,Funding value,Acquisition Information,Funding,float,n,n,y,"","",acquisition,acquisitionFundingValue
bonsai_5-0-5,Acquisition,Funding source,Acquisition Information,Funding,string,n,n,y,authority: person/local; authority: organization/local,"",acquisition,acquisitionFundingSource
bonsai_5-0-5,Acquisition,Funding source provisos,Acquisition Information,Funding,string,n,n,y,"","",acquisition,acquisitionFundingSourceProvisos
bonsai_5-0-5,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","",acquisition,creditLine
bonsai_5-0-5,Acquisition,Field collection event name,Object Collection Information,"",string,n,y,n,"","",acquisition,fieldCollectionEventName
bonsai_5-0-5,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
bonsai_5-0-5,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
bonsai_5-0-5,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
bonsai_5-0-5,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
bonsai_5-0-5,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
bonsai_5-0-5,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
bonsai_5-0-5,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
bonsai_5-0-5,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
bonsai_5-0-5,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
bonsai_5-0-5,Citation,Term section title,Citation Information,Term,string,n,n,y,"","",citation,termSectionTitle
bonsai_5-0-5,Citation,Term volume,Citation Information,Term,string,n,n,y,"","",citation,termVolume
bonsai_5-0-5,Citation,Term issue,Citation Information,Term,string,n,n,y,"","",citation,termIssue
bonsai_5-0-5,Citation,Term source name,Citation Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation,termSource
bonsai_5-0-5,Citation,Term source detail,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceDetail
bonsai_5-0-5,Citation,Term source ID,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceID
bonsai_5-0-5,Citation,Term source note,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceNote
bonsai_5-0-5,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
bonsai_5-0-5,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local; authority: place/tgn,"",citation,publicationPlace
bonsai_5-0-5,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
bonsai_5-0-5,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
bonsai_5-0-5,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
bonsai_5-0-5,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation,agent
bonsai_5-0-5,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
bonsai_5-0-5,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
bonsai_5-0-5,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
bonsai_5-0-5,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
bonsai_5-0-5,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
bonsai_5-0-5,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
bonsai_5-0-5,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation,relatedTerm
bonsai_5-0-5,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
bonsai_5-0-5,Chronology,Term display name,Chronology Information,Term,string,y,n,y,"","",chronology,termDisplayName
bonsai_5-0-5,Chronology,Term name,Chronology Information,Term,string,n,n,y,"","",chronology,termName
bonsai_5-0-5,Chronology,Term qualifier,Chronology Information,Term,string,n,n,y,"","",chronology,termQualifier
bonsai_5-0-5,Chronology,Term status,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermstatus,"",chronology,termStatus
bonsai_5-0-5,Chronology,Term type,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermtype,"",chronology,termType
bonsai_5-0-5,Chronology,Term flag,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermflag,"",chronology,termFlag
bonsai_5-0-5,Chronology,Term historical status,Chronology Information,Term,string,n,n,y,vocabulary: chronologyhistoricalstatus,"",chronology,historicalStatus
bonsai_5-0-5,Chronology,Term language,Chronology Information,Term,string,n,n,y,vocabulary: languages,"",chronology,termLanguage
bonsai_5-0-5,Chronology,Term preferred for lang,Chronology Information,Term,boolean,n,n,y,"","",chronology,termPrefForLang
bonsai_5-0-5,Chronology,Term source name,Chronology Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,termSource
bonsai_5-0-5,Chronology,Term source detail,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceDetail
bonsai_5-0-5,Chronology,Term source ID,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceID
bonsai_5-0-5,Chronology,Term source note,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceNote
bonsai_5-0-5,Chronology,Primary date range,Chronology Information,"",structured date group,n,n,n/a,"","",chronology,chronologyDateStructuredDateGroup
bonsai_5-0-5,Chronology,Chronology type,Chronology Information,"",string,n,n,n/a,vocabulary: chronologytypes,"",chronology,chronologyType
bonsai_5-0-5,Chronology,"",Chronology Information,Spatial coverage,string,n,y,n,authority: place/local; authority: place/tgn,"",chronology,chronologyPlace
bonsai_5-0-5,Chronology,Chronology description,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyDescription
bonsai_5-0-5,Chronology,Chronology note,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyNote
bonsai_5-0-5,Chronology,Resource identifier value,Chronology Information,Resource identifier,string,n,n,y,"","",chronology,identifierValue
bonsai_5-0-5,Chronology,Resource identifier citation,Chronology Information,Resource identifier,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,identifierCitation
bonsai_5-0-5,Chronology,Resource identifier date,Chronology Information,Resource identifier,date,n,n,y,"","",chronology,identifierDate
bonsai_5-0-5,Chronology,Person associated,Associated Authorities,Person,string,n,n,y,authority: person/local; authority: person/ulan,"",chronology,person
bonsai_5-0-5,Chronology,Person relationship/type,Associated Authorities,Person,string,n,n,y,vocabulary: chronologypersonrelations,"",chronology,personType
bonsai_5-0-5,Chronology,Person date,Associated Authorities,Person,structured date group,n,n,y,"","",chronology,personStructuredDateGroup
bonsai_5-0-5,Chronology,Person citation,Associated Authorities,Person,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,personCitation
bonsai_5-0-5,Chronology,Person note,Associated Authorities,Person,string,n,n,y,"","",chronology,personNote
bonsai_5-0-5,Chronology,People associated,Associated Authorities,People,string,n,n,y,authority: concept/associated,"",chronology,people
bonsai_5-0-5,Chronology,People relationship/type,Associated Authorities,People,string,n,n,y,vocabulary: chronologypeoplerelations,"",chronology,peopleType
bonsai_5-0-5,Chronology,People date,Associated Authorities,People,structured date group,n,n,y,"","",chronology,peopleStructuredDateGroup
bonsai_5-0-5,Chronology,People citation,Associated Authorities,People,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,peopleCitation
bonsai_5-0-5,Chronology,People note,Associated Authorities,People,string,n,n,y,"","",chronology,peopleNote
bonsai_5-0-5,Chronology,Organization associated,Associated Authorities,Organization,string,n,n,y,authority: organization/local; authority: organization/ulan,"",chronology,organization
bonsai_5-0-5,Chronology,Organization relationship/type,Associated Authorities,Organization,string,n,n,y,vocabulary: chronologyorganizationrelations,"",chronology,organizationType
bonsai_5-0-5,Chronology,Organization date,Associated Authorities,Organization,structured date group,n,n,y,"","",chronology,organizationStructuredDateGroup
bonsai_5-0-5,Chronology,Organization citation,Associated Authorities,Organization,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,organizationCitation
bonsai_5-0-5,Chronology,Organization note,Associated Authorities,Organization,string,n,n,y,"","",chronology,organizationNote
bonsai_5-0-5,Chronology,Concept associated,Associated Authorities,Concept,string,n,n,y,authority: concept/activity; authority: concept/associated; authority: concept/material; authority: concept/nomenclature; authority: concept/occasion,"",chronology,concept
bonsai_5-0-5,Chronology,Concept relationship/type,Associated Authorities,Concept,string,n,n,y,vocabulary: chronologyconceptrelations,"",chronology,conceptType
bonsai_5-0-5,Chronology,Concept date,Associated Authorities,Concept,structured date group,n,n,y,"","",chronology,conceptStructuredDateGroup
bonsai_5-0-5,Chronology,Concept citation,Associated Authorities,Concept,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,conceptCitation
bonsai_5-0-5,Chronology,Concept note,Associated Authorities,Concept,string,n,n,y,"","",chronology,conceptNote
bonsai_5-0-5,Chronology,Place associated,Associated Authorities,Place,string,n,n,y,authority: place/local; authority: place/tgn,"",chronology,place
bonsai_5-0-5,Chronology,multiple msg matches: chronologies_common.placeType,Associated Authorities,Place,string,n,n,y,vocabulary: chronologyplacerelations,"",chronology,placeType
bonsai_5-0-5,Chronology,Place date,Associated Authorities,Place,structured date group,n,n,y,"","",chronology,placeStructuredDateGroup
bonsai_5-0-5,Chronology,Place citation,Associated Authorities,Place,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,placeCitation
bonsai_5-0-5,Chronology,multiple msg matches: chronologies_common.placeNote,Associated Authorities,Place,string,n,n,y,"","",chronology,placeNote
bonsai_5-0-5,Chronology,Related period associated,Associated Authorities,Related period,string,n,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,"",chronology,relatedPeriod
bonsai_5-0-5,Chronology,Related period relationship/type,Associated Authorities,Related period,string,n,n,y,vocabulary: chronologyrelations,"",chronology,relatedPeriodType
bonsai_5-0-5,Chronology,Related period date,Associated Authorities,Related period,structured date group,n,n,y,"","",chronology,relatedPeriodStructuredDateGroup
bonsai_5-0-5,Chronology,Related period citation,Associated Authorities,Related period,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,relatedPeriodCitation
bonsai_5-0-5,Chronology,Related period note,Associated Authorities,Related period,string,n,n,y,"","",chronology,relatedPeriodNote
bonsai_5-0-5,Chronology,Alternative date range,Alternative Date Information,Alternative date,structured date group,n,n,y,"","",chronology,otherDateStructuredDateGroup
bonsai_5-0-5,Chronology,Alternative date spacial coverage,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: place/local; authority: place/tgn,"",chronology,otherDatePlace
bonsai_5-0-5,Chronology,Alternative date citation,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,otherDateCitation
bonsai_5-0-5,Chronology,Alternative date note,Alternative Date Information,Alternative date,string,n,n,y,"","",chronology,otherDateNote
bonsai_5-0-5,Object,Identification number,Object Identification Information,"",string,y,n,n/a,"","",collectionobject,objectNumber
bonsai_5-0-5,Object,Scientific name,Object Identification Information,"",string,n,n,n/a,authority: taxon/local; authority: taxon/common,"",collectionobject,taxon
bonsai_5-0-5,Object,Common name,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,commonName
bonsai_5-0-5,Object,Japanese name,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,japaneseName
bonsai_5-0-5,Object,Native species?,Object Identification Information,"",boolean,n,n,n/a,"","",collectionobject,nativeSpecies
bonsai_5-0-5,Object,Collection,Object Identification Information,"",string,n,n,n/a,option list: collections,"development, display, library-collection, permanent-collection, study-collection, teaching-collection",collectionobject,collection
bonsai_5-0-5,Object,Named collection,Object Identification Information,"",string,n,y,n,authority: work/local,"",collectionobject,namedCollection
bonsai_5-0-5,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
bonsai_5-0-5,Object,Sponsor,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,sponsor
bonsai_5-0-5,Object,Sponsor start date,Object Identification Information,"",date,n,n,n/a,"","",collectionobject,sponsorStartDate
bonsai_5-0-5,Object,Sponsor end date,Object Identification Information,"",date,n,n,n/a,"","",collectionobject,sponsorEndDate
bonsai_5-0-5,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary: publishto,"",collectionobject,publishTo
bonsai_5-0-5,Object,Inventory status,Object Identification Information,"",string,n,y,n,vocabulary: inventorystatus,"",collectionobject,inventoryStatus
