profile,record_type,field,record_section,path_to_field,repeats,group_repeats,record_type_machine_name,field_machine_name
bonsai_5-0-5,Acquisition,Accession date,Acquisition Information,"",n,n/a,acquisition,accessionDateGroup
bonsai_5-0-5,Acquisition,Acquisition date,Acquisition Information,"",y,n,acquisition,acquisitionDateGroup
bonsai_5-0-5,Citation,Publication date,Citation Information,Publication,n,y,citation,publicationDate
bonsai_5-0-5,Citation,Resource identifier capture date,Citation Information,Resource identifier,n,y,citation,captureDate
bonsai_5-0-5,Chronology,Primary date range,Chronology Information,"",n,n/a,chronology,chronologyDateStructuredDateGroup
bonsai_5-0-5,Chronology,Person date,Associated Authorities,Person,n,y,chronology,personStructuredDateGroup
bonsai_5-0-5,Chronology,People date,Associated Authorities,People,n,y,chronology,peopleStructuredDateGroup
bonsai_5-0-5,Chronology,Organization date,Associated Authorities,Organization,n,y,chronology,organizationStructuredDateGroup
bonsai_5-0-5,Chronology,Concept date,Associated Authorities,Concept,n,y,chronology,conceptStructuredDateGroup
bonsai_5-0-5,Chronology,Place date,Associated Authorities,Place,n,y,chronology,placeStructuredDateGroup
bonsai_5-0-5,Chronology,Related period date,Associated Authorities,Related period,n,y,chronology,relatedPeriodStructuredDateGroup
bonsai_5-0-5,Chronology,Alternative date range,Alternative Date Information,Alternative date,n,y,chronology,otherDateStructuredDateGroup
bonsai_5-0-5,Object,Textual inscription date,Object Description Information,Textual Inscription > Textual inscription,n,y,collectionobject,inscriptionContentDateGroup
bonsai_5-0-5,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription > Non-textual inscription,n,y,collectionobject,inscriptionDescriptionDateGroup
bonsai_5-0-5,Object,Production date,Object Production Information,"",y,n,collectionobject,objectProductionDateGroup
bonsai_5-0-5,Object,Associated date value,Object History and Association Information,Associations > Associated date,n,y,collectionobject,assocStructuredDateGroup
bonsai_5-0-5,Object,Ownership date,Object History and Association Information,"",y,n,collectionobject,ownershipDateGroup
bonsai_5-0-5,Object,Field collection date,Object Collection Information,"",n,n/a,collectionobject,fieldCollectionDateGroup
bonsai_5-0-5,Exhibition,Gallery rotation start date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationStartDateGroup
bonsai_5-0-5,Exhibition,Gallery rotation end date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationEndDateGroup
bonsai_5-0-5,Media Handling,Date,Media Handling Information,"",y,n,media,dateGroup
bonsai_5-0-5,Object Exit,Exit date,Object Exit Information,"",n,n/a,objectexit,exitDateGroup
bonsai_5-0-5,Organization,Foundation date,Organization Information,"",n,n/a,organization,foundingDateGroup
bonsai_5-0-5,Organization,Dissolution date,Organization Information,"",n,n/a,organization,dissolutionDateGroup
bonsai_5-0-5,Organization,Contact date,Organization Information,Contact person,n,y,organization,contactDateGroup
bonsai_5-0-5,Organization,Contact end date,Organization Information,Contact person,n,y,organization,contactEndDateGroup
bonsai_5-0-5,Person,Birth date,Person Information,"",n,n/a,person,birthDateGroup
bonsai_5-0-5,Person,Death date,Person Information,"",n,n/a,person,deathDateGroup
bonsai_5-0-5,Person,Birth date supplied,Maker-Supplied Identity Information,Supplied birth date,n,y,person,suppliedStructuredBirthDateGroup
bonsai_5-0-5,Place,Term date,Place Information,Term,n,y,place,nameDateGroup
bonsai_5-0-5,Place,Ownership date,Place Information,Ownership,n,y,place,ownershipDateGroup
bonsai_5-0-5,Place,Georeference date,Georeference Information,Georeference,n,y,place,geoRefDateGroup
bonsai_5-0-5,Work,Work date,Work Information,"",y,n,work,workDateGroup
