profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source,record_type_machine_name,field_machine_name
botgarden_3-0-5,Citation,Term source name,Citation Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,citation,termSource
botgarden_3-0-5,Citation,Publication place,Citation Information,Publication,n,y,authority: place/local; authority: place/tgn,citation,publicationPlace
botgarden_3-0-5,Citation,Agent name,Citation Information,Agent,n,y,authority: person/local; authority: person/ulan; authority: organization/local,citation,agent
botgarden_3-0-5,Citation,Related term,Citation Information,Related term,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,citation,relatedTerm
botgarden_3-0-5,Chronology,Term source name,Chronology Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,chronology,termSource
botgarden_3-0-5,Chronology,"",Chronology Information,Spatial coverage,y,n,authority: place/local; authority: place/tgn,chronology,chronologyPlace
botgarden_3-0-5,Chronology,Resource identifier citation,Chronology Information,Resource identifier,n,y,authority: citation/local; authority: citation/worldcat,chronology,identifierCitation
botgarden_3-0-5,Chronology,Person associated,Associated Authorities,Person,n,y,authority: person/local; authority: person/ulan,chronology,person
botgarden_3-0-5,Chronology,Person citation,Associated Authorities,Person,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,personCitation
botgarden_3-0-5,Chronology,People citation,Associated Authorities,People,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,peopleCitation
botgarden_3-0-5,Chronology,Organization associated,Associated Authorities,Organization,n,y,authority: organization/local; authority: organization/ulan,chronology,organization
botgarden_3-0-5,Chronology,Organization citation,Associated Authorities,Organization,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,organizationCitation
botgarden_3-0-5,Chronology,Concept associated,Associated Authorities,Concept,n,y,authority: concept/activity; authority: concept/associated; authority: concept/material; authority: concept/nomenclature; authority: concept/occasion,chronology,concept
botgarden_3-0-5,Chronology,Concept citation,Associated Authorities,Concept,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,conceptCitation
botgarden_3-0-5,Chronology,Place associated,Associated Authorities,Place,n,y,authority: place/local; authority: place/tgn,chronology,place
botgarden_3-0-5,Chronology,Place citation,Associated Authorities,Place,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,placeCitation
botgarden_3-0-5,Chronology,Related period associated,Associated Authorities,Related period,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,chronology,relatedPeriod
botgarden_3-0-5,Chronology,Related period citation,Associated Authorities,Related period,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,relatedPeriodCitation
botgarden_3-0-5,Chronology,Alternative date spacial coverage,Alternative Date Information,Alternative date,y,as part of larger repeating group,authority: place/local; authority: place/tgn,chronology,otherDatePlace
botgarden_3-0-5,Chronology,Alternative date citation,Alternative Date Information,Alternative date,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,chronology,otherDateCitation
botgarden_3-0-5,Object,Taxonomic identification by,Object Identification Information,Determination history > Identification by,n,y,authority: person/local; authority: organization/local,collectionobject,identBy
botgarden_3-0-5,Object,Field collector,Field Collection Information,"",y,n,authority: person/local; authority: organization/local,collectionobject,fieldCollector
botgarden_3-0-5,Object,Accession used in,Accession Use Information,Accession use,n,y,authority: concept/class; authority: concept/research,collectionobject,accessionUsedIn
botgarden_3-0-5,Object,Owner,Object History and Association Information,Object Owner's Contribution Information,y,n,authority: person/local; authority: organization/local,collectionobject,owner
botgarden_3-0-5,Concept,Term source name,Concept Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,concept,termSource
botgarden_3-0-5,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,Quote,n,y,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,insurance,insuranceIndemnityQuoteProvider
botgarden_3-0-5,Intake,Current owner,Object Entry Information,"",y,n,authority: person/local; authority: organization/local,intake,currentOwner
botgarden_3-0-5,Intake,Depositor name,Object Entry Information,Depositor,n,y,authority: person/local; authority: organization/local,intake,depositor
botgarden_3-0-5,Intake,Insurer,Insurance Information,"",y,n,authority: person/local; authority: organization/local,intake,insurer
botgarden_3-0-5,Intake,Condition check assessor,Condition Check Information,"",y,n,authority: person/local; authority: organization/local,intake,conditionCheckerOrAssessor
botgarden_3-0-5,Media Handling,Measured by,Media Handling Information,Dimensions > Measurement,n,y,authority: person/local; authority: organization/local,media,measuredBy
botgarden_3-0-5,Organization,Term source name,Organization Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,organization,termSource
botgarden_3-0-5,Person,Term source name,Person Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,person,termSource
botgarden_3-0-5,Place,Term source name,Place Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,place,termSource
botgarden_3-0-5,Place,Owner,Place Information,Ownership,n,y,authority: person/local; authority: organization/local,place,owner
botgarden_3-0-5,Place,Address municipality,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressMunicipality
botgarden_3-0-5,Place,Address state/province,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressStateOrProvince
botgarden_3-0-5,Place,Address country,Place Information,Address,n,y,authority: place/local; authority: place/tgn,place,addressCountry
botgarden_3-0-5,Place,Georeferenced by,Georeference Information,Georeference,n,y,authority: person/local; authority: organization/local,place,geoReferencedBy
botgarden_3-0-5,Transport,Courier name,Transport Information,Courier,n,y,authority: person/local; authority: organization/local,transport,courier
botgarden_3-0-5,Transport,Shipping quote provider,Cost Information,"",n,y,authority: person/local; authority: organization/local,transport,shippingQuoteProvider
botgarden_3-0-5,Use of Collections,User name,Use of Collections Information,User,n,y,authority: person/local; authority: organization/local,uoc,user
botgarden_3-0-5,Use of Collections,Authorized by,Use of Collections Information,Authorization,n,y,authority: person/local; authority: organization/local,uoc,authorizedBy
botgarden_3-0-5,Use of Collections,Staff name,Use of Collections Information,Staff,n,y,authority: person/local; authority: organization/local,uoc,staffName
botgarden_3-0-5,Use of Collections,Location,Use of Collections Information,"",y,n,authority: organization/local; authority: place/local; authority: location/local,uoc,location
botgarden_3-0-5,Work,Term source name,Work Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,work,termSource
botgarden_3-0-5,Work,Creator name,Work Information,Creator,n,y,authority: person/local; authority: organization/local,work,creator
botgarden_3-0-5,Work,Publisher name,Work Information,Publisher,n,y,authority: person/local; authority: organization/local,work,publisher
botgarden_3-0-5,Work,Address municipality,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressMunicipality
botgarden_3-0-5,Work,Address state/province,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressStateOrProvince
botgarden_3-0-5,Work,Address country,Work Information,Address,n,y,authority: place/local; authority: place/tgn,work,addressCountry
botgarden_3-0-5,Taxon,Term source name,Taxonomic Name Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,taxon,termSource
botgarden_3-0-5,Taxon,Author name,Taxonomic Name Information,Author,n,y,authority: person/local; authority: organization/local,taxon,taxonAuthor
botgarden_3-0-5,Taxon,Citation,Taxonomic Name Information,"",y,n,authority: citation/local; authority: citation/worldcat,taxon,taxonCitation
