profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
core_7-2-0,Acquisition,Reference number,Acquisition Information,"",string,y,n,n/a,"","",acquisition,acquisitionReferenceNumber
core_7-2-0,Acquisition,Accession date,Acquisition Information,"",structured date group,n,n,n/a,"","",acquisition,accessionDateGroup
core_7-2-0,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority: person/local,"",acquisition,acquisitionAuthorizer
core_7-2-0,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","",acquisition,acquisitionAuthorizerDate
core_7-2-0,Acquisition,Acquisition date,Acquisition Information,"",structured date group,n,y,n,"","",acquisition,acquisitionDateGroup
core_7-2-0,Acquisition,Acquisition method,Acquisition Information,"",string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition,acquisitionMethod
core_7-2-0,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,acquisitionSource
core_7-2-0,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,owner
core_7-2-0,Acquisition,Transfer of title number,Acquisition Information,"",string,n,n,n/a,"","",acquisition,transferOfTitleNumber
core_7-2-0,Acquisition,Group purchase price currency,Acquisition Information,Price Information > Group purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,groupPurchasePriceCurrency
core_7-2-0,Acquisition,Group purchase price value,Acquisition Information,Price Information > Group purchase price,float,n,n,n/a,"","",acquisition,groupPurchasePriceValue
core_7-2-0,Acquisition,Object offer price currency,Acquisition Information,Price Information > Object offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectOfferPriceCurrency
core_7-2-0,Acquisition,Object offer price value,Acquisition Information,Price Information > Object offer price,float,n,n,n/a,"","",acquisition,objectOfferPriceValue
core_7-2-0,Acquisition,Object purchaser offer price currency,Acquisition Information,Price Information > Object purchaser offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchaseOfferPriceCurrency
core_7-2-0,Acquisition,Object purchaser offer price value,Acquisition Information,Price Information > Object purchaser offer price,float,n,n,n/a,"","",acquisition,objectPurchaseOfferPriceValue
core_7-2-0,Acquisition,Object purchase price currency,Acquisition Information,Price Information > Object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchasePriceCurrency
core_7-2-0,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","",acquisition,objectPurchasePriceValue
core_7-2-0,Acquisition,Original object purchase price currency,Acquisition Information,Price Information > Original object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,originalObjectPurchasePriceCurrency
core_7-2-0,Acquisition,Original object purchase price value,Acquisition Information,Price Information > Original object purchase price,float,n,n,n/a,"","",acquisition,originalObjectPurchasePriceValue
core_7-2-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionReason
core_7-2-0,Acquisition,Approval,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition,approvalGroup
core_7-2-0,Acquisition,Approval individual,Acquisition Information,Approval,string,n,n,y,authority: person/local,"",acquisition,approvalIndividual
core_7-2-0,Acquisition,Approval status,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition,approvalStatus
core_7-2-0,Acquisition,Approval status date,Acquisition Information,Approval,date,n,n,y,"","",acquisition,approvalDate
core_7-2-0,Acquisition,Approval note,Acquisition Information,Approval,string,n,n,y,"","",acquisition,approvalNote
core_7-2-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionNote
core_7-2-0,Acquisition,Provisos,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionProvisos
core_7-2-0,Acquisition,Funding currency,Acquisition Information,Funding,string,n,n,y,vocabulary: currency,"",acquisition,acquisitionFundingCurrency
core_7-2-0,Acquisition,Funding value,Acquisition Information,Funding,float,n,n,y,"","",acquisition,acquisitionFundingValue
core_7-2-0,Acquisition,Funding source,Acquisition Information,Funding,string,n,n,y,authority: person/local; authority: organization/local,"",acquisition,acquisitionFundingSource
core_7-2-0,Acquisition,Funding source provisos,Acquisition Information,Funding,string,n,n,y,"","",acquisition,acquisitionFundingSourceProvisos
core_7-2-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","",acquisition,creditLine
core_7-2-0,Acquisition,Field collection event name,Object Collection Information,"",string,n,y,n,"","",acquisition,fieldCollectionEventName
core_7-2-0,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
core_7-2-0,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
core_7-2-0,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
core_7-2-0,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
core_7-2-0,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
core_7-2-0,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
core_7-2-0,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
core_7-2-0,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
core_7-2-0,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
core_7-2-0,Citation,Term section title,Citation Information,Term,string,n,n,y,"","",citation,termSectionTitle
core_7-2-0,Citation,Term volume,Citation Information,Term,string,n,n,y,"","",citation,termVolume
core_7-2-0,Citation,Term issue,Citation Information,Term,string,n,n,y,"","",citation,termIssue
core_7-2-0,Citation,Term source name,Citation Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation,termSource
core_7-2-0,Citation,Term source detail,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceDetail
core_7-2-0,Citation,Term source ID,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceID
core_7-2-0,Citation,Term source note,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceNote
core_7-2-0,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
core_7-2-0,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local; authority: place/tgn,"",citation,publicationPlace
core_7-2-0,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
core_7-2-0,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
core_7-2-0,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
core_7-2-0,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation,agent
core_7-2-0,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
core_7-2-0,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
core_7-2-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
core_7-2-0,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
core_7-2-0,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
core_7-2-0,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
core_7-2-0,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation,relatedTerm
core_7-2-0,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
core_7-2-0,Chronology,Term display name,Chronology Information,Term,string,y,n,y,"","",chronology,termDisplayName
core_7-2-0,Chronology,Term name,Chronology Information,Term,string,n,n,y,"","",chronology,termName
core_7-2-0,Chronology,Term qualifier,Chronology Information,Term,string,n,n,y,"","",chronology,termQualifier
core_7-2-0,Chronology,Term status,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermstatus,"",chronology,termStatus
core_7-2-0,Chronology,Term type,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermtype,"",chronology,termType
core_7-2-0,Chronology,Term flag,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermflag,"",chronology,termFlag
core_7-2-0,Chronology,Term historical status,Chronology Information,Term,string,n,n,y,vocabulary: chronologyhistoricalstatus,"",chronology,historicalStatus
core_7-2-0,Chronology,Term language,Chronology Information,Term,string,n,n,y,vocabulary: languages,"",chronology,termLanguage
core_7-2-0,Chronology,Term preferred for lang,Chronology Information,Term,boolean,n,n,y,"","",chronology,termPrefForLang
core_7-2-0,Chronology,Term source name,Chronology Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,termSource
core_7-2-0,Chronology,Term source detail,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceDetail
core_7-2-0,Chronology,Term source ID,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceID
core_7-2-0,Chronology,Term source note,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceNote
core_7-2-0,Chronology,Primary date range,Chronology Information,"",structured date group,n,n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
core_7-2-0,Chronology,Chronology type,Chronology Information,"",string,n,n,n/a,vocabulary: chronologytypes,"",chronology,chronologyType
core_7-2-0,Chronology,Spatial coverage,Chronology Information,"",string,n,y,n,authority: place/local; authority: place/tgn,"",chronology,spatialCoverage
core_7-2-0,Chronology,Chronology description,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyDescription
core_7-2-0,Chronology,Chronology note,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyNote
core_7-2-0,Chronology,Resource identifier value,Chronology Information,Resource identifier,string,n,n,y,"","",chronology,identifierValue
core_7-2-0,Chronology,Resource identifier citation,Chronology Information,Resource identifier,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,identifierCitation
core_7-2-0,Chronology,Resource identifier date,Chronology Information,Resource identifier,date,n,n,y,"","",chronology,identifierDate
core_7-2-0,Chronology,Alternative date range,Alternative Date Information,Alternative date,structured date group,n,n,y,"","",chronology,altDateRangeStructuredDateGroup
core_7-2-0,Chronology,Alternative date spatial coverage,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: place/local; authority: place/tgn,"",chronology,altDateSpatialCoverage
core_7-2-0,Chronology,Alternative date citation,Alternative Date Information,Alternative date,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology,altDateCitation
core_7-2-0,Chronology,Alternative date note,Alternative Date Information,Alternative date,string,n,n,y,"","",chronology,altDateNote
core_7-2-0,Object,Identification number,Object Identification Information,"",string,y,n,n/a,"","",collectionobject,objectNumber
core_7-2-0,Object,Number of objects,Object Identification Information,"",integer,n,n,n/a,"","",collectionobject,numberOfObjects
core_7-2-0,Object,Other number value,Object Identification Information,Other number,string,n,n,y,"","",collectionobject,numberValue
core_7-2-0,Object,Other number type,Object Identification Information,Other number,string,n,n,y,option list: numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown",collectionobject,numberType
core_7-2-0,Object,Responsible department,Object Identification Information,"",string,n,y,n,option list: departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings",collectionobject,responsibleDepartment
core_7-2-0,Object,Collection,Object Identification Information,"",string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection",collectionobject,collection
core_7-2-0,Object,Named collection,Object Identification Information,"",string,n,y,n,authority: work/local,"",collectionobject,namedCollection
core_7-2-0,Object,Description level,Object Identification Information,"",string,n,n,n/a,vocabulary: descriptionlevel,"",collectionobject,descriptionLevel
core_7-2-0,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
core_7-2-0,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary: publishto,"",collectionobject,publishTo
core_7-2-0,Object,Inventory status,Object Identification Information,"",string,n,y,n,vocabulary: inventorystatus,"",collectionobject,inventoryStatus
core_7-2-0,Object,Brief description,Object Identification Information,"",string,n,y,n,"","",collectionobject,briefDescription
core_7-2-0,Object,Distinguishing features,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,distinguishingFeatures
core_7-2-0,Object,Comment,Object Identification Information,"",string,n,y,n,"","",collectionobject,comment
core_7-2-0,Object,Computed current location,Object Identification Information,"",string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,"",collectionobject,computedCurrentLocation
core_7-2-0,Object,Annotation type,Object Identification Information,Annotation,string,n,n,y,vocabulary: annotationtype,"",collectionobject,annotationType
core_7-2-0,Object,Annotation note,Object Identification Information,Annotation,string,n,n,y,"","",collectionobject,annotationNote
core_7-2-0,Object,Annotation date,Object Identification Information,Annotation,date,n,n,y,"","",collectionobject,annotationDate
core_7-2-0,Object,Annotation author,Object Identification Information,Annotation,string,n,n,y,authority: person/local,"",collectionobject,annotationAuthor
core_7-2-0,Object,Title,Object Identification Information,Title,string,n,n,y,"","",collectionobject,title
