profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
fcart_6-0-0,Acquisition,Reference number,Acquisition Information,"",string,y,n,n/a,"","",acquisition,acquisitionReferenceNumber
fcart_6-0-0,Acquisition,Accession date,Acquisition Information,"",structured date group,n,n,n/a,"","",acquisition,accessionDateGroup
fcart_6-0-0,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority: person/local,"",acquisition,acquisitionAuthorizer
fcart_6-0-0,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","",acquisition,acquisitionAuthorizerDate
fcart_6-0-0,Acquisition,Acquisition date,Acquisition Information,"",structured date group,n,y,n,"","",acquisition,acquisitionDateGroup
fcart_6-0-0,Acquisition,Acquisition method,Acquisition Information,"",string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition,acquisitionMethod
fcart_6-0-0,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,acquisitionSource
fcart_6-0-0,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,owner
fcart_6-0-0,Acquisition,Transfer of title number,Acquisition Information,"",string,n,n,n/a,"","",acquisition,transferOfTitleNumber
fcart_6-0-0,Acquisition,Group purchase price currency,Acquisition Information,Price Information > Group purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,groupPurchasePriceCurrency
fcart_6-0-0,Acquisition,Group purchase price value,Acquisition Information,Price Information > Group purchase price,float,n,n,n/a,"","",acquisition,groupPurchasePriceValue
fcart_6-0-0,Acquisition,Object offer price currency,Acquisition Information,Price Information > Object offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectOfferPriceCurrency
fcart_6-0-0,Acquisition,Object offer price value,Acquisition Information,Price Information > Object offer price,float,n,n,n/a,"","",acquisition,objectOfferPriceValue
fcart_6-0-0,Acquisition,Object purchaser offer price currency,Acquisition Information,Price Information > Object purchaser offer price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchaseOfferPriceCurrency
fcart_6-0-0,Acquisition,Object purchaser offer price value,Acquisition Information,Price Information > Object purchaser offer price,float,n,n,n/a,"","",acquisition,objectPurchaseOfferPriceValue
fcart_6-0-0,Acquisition,Object purchase price currency,Acquisition Information,Price Information > Object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchasePriceCurrency
fcart_6-0-0,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","",acquisition,objectPurchasePriceValue
fcart_6-0-0,Acquisition,Original object purchase price currency,Acquisition Information,Price Information > Original object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,originalObjectPurchasePriceCurrency
fcart_6-0-0,Acquisition,Original object purchase price value,Acquisition Information,Price Information > Original object purchase price,float,n,n,n/a,"","",acquisition,originalObjectPurchasePriceValue
fcart_6-0-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionReason
fcart_6-0-0,Acquisition,Approval,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition,approvalGroup
fcart_6-0-0,Acquisition,Approval individual,Acquisition Information,Approval,string,n,n,y,authority: person/local,"",acquisition,approvalIndividual
fcart_6-0-0,Acquisition,Approval status,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition,approvalStatus
fcart_6-0-0,Acquisition,Approval status date,Acquisition Information,Approval,date,n,n,y,"","",acquisition,approvalDate
fcart_6-0-0,Acquisition,Approval note,Acquisition Information,Approval,string,n,n,y,"","",acquisition,approvalNote
fcart_6-0-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionNote
fcart_6-0-0,Acquisition,Provisos,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionProvisos
fcart_6-0-0,Acquisition,Funding currency,Acquisition Information,Funding,string,n,n,y,vocabulary: currency,"",acquisition,acquisitionFundingCurrency
fcart_6-0-0,Acquisition,Funding value,Acquisition Information,Funding,float,n,n,y,"","",acquisition,acquisitionFundingValue
fcart_6-0-0,Acquisition,Funding source,Acquisition Information,Funding,string,n,n,y,authority: person/local; authority: organization/local,"",acquisition,acquisitionFundingSource
fcart_6-0-0,Acquisition,Funding source provisos,Acquisition Information,Funding,string,n,n,y,"","",acquisition,acquisitionFundingSourceProvisos
fcart_6-0-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","",acquisition,creditLine
fcart_6-0-0,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
fcart_6-0-0,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
fcart_6-0-0,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
fcart_6-0-0,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
fcart_6-0-0,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
fcart_6-0-0,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
fcart_6-0-0,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
fcart_6-0-0,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
fcart_6-0-0,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
fcart_6-0-0,Citation,Term section title,Citation Information,Term,string,n,n,y,"","",citation,termSectionTitle
fcart_6-0-0,Citation,Term volume,Citation Information,Term,string,n,n,y,"","",citation,termVolume
fcart_6-0-0,Citation,Term issue,Citation Information,Term,string,n,n,y,"","",citation,termIssue
fcart_6-0-0,Citation,Term source name,Citation Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation,termSource
fcart_6-0-0,Citation,Term source detail,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceDetail
fcart_6-0-0,Citation,Term source ID,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceID
fcart_6-0-0,Citation,Term source note,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceNote
fcart_6-0-0,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
fcart_6-0-0,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local; authority: place/tgn,"",citation,publicationPlace
fcart_6-0-0,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
fcart_6-0-0,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
fcart_6-0-0,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
fcart_6-0-0,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation,agent
fcart_6-0-0,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
fcart_6-0-0,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
fcart_6-0-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
fcart_6-0-0,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
fcart_6-0-0,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
fcart_6-0-0,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
fcart_6-0-0,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation,relatedTerm
fcart_6-0-0,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
fcart_6-0-0,Chronology,Term display name,Chronology Information,Term,string,y,n,y,"","",chronology,termDisplayName
fcart_6-0-0,Chronology,Term name,Chronology Information,Term,string,n,n,y,"","",chronology,termName
fcart_6-0-0,Chronology,Term qualifier,Chronology Information,Term,string,n,n,y,"","",chronology,termQualifier
fcart_6-0-0,Chronology,Term status,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermstatus,"",chronology,termStatus
fcart_6-0-0,Chronology,Term type,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermtype,"",chronology,termType
fcart_6-0-0,Chronology,Term flag,Chronology Information,Term,string,n,n,y,vocabulary: chronologytermflag,"",chronology,termFlag
fcart_6-0-0,Chronology,Term historical status,Chronology Information,Term,string,n,n,y,vocabulary: chronologyhistoricalstatus,"",chronology,historicalStatus
fcart_6-0-0,Chronology,Term language,Chronology Information,Term,string,n,n,y,vocabulary: languages,"",chronology,termLanguage
fcart_6-0-0,Chronology,Term preferred for lang,Chronology Information,Term,boolean,n,n,y,"","",chronology,termPrefForLang
fcart_6-0-0,Chronology,Term source name,Chronology Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,termSource
fcart_6-0-0,Chronology,Term source detail,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceDetail
fcart_6-0-0,Chronology,Term source ID,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceID
fcart_6-0-0,Chronology,Term source note,Chronology Information,Term > Source,string,n,n,y,"","",chronology,termSourceNote
fcart_6-0-0,Chronology,Primary date range,Chronology Information,"",structured date group,n,n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
fcart_6-0-0,Chronology,Chronology type,Chronology Information,"",string,n,n,n/a,vocabulary: chronologytypes,"",chronology,chronologyType
fcart_6-0-0,Chronology,Spatial coverage,Chronology Information,"",string,n,y,n,authority: place/local; authority: place/tgn,"",chronology,spatialCoverage
fcart_6-0-0,Chronology,Chronology description,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyDescription
fcart_6-0-0,Chronology,Chronology note,Chronology Information,"",string,n,n,n/a,"","",chronology,chronologyNote
fcart_6-0-0,Chronology,Resource identifier value,Chronology Information,Resource identifier,string,n,n,y,"","",chronology,identifierValue
fcart_6-0-0,Chronology,Resource identifier citation,Chronology Information,Resource identifier,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology,identifierCitation
fcart_6-0-0,Chronology,Resource identifier date,Chronology Information,Resource identifier,date,n,n,y,"","",chronology,identifierDate
