fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionReferenceNumber,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"",""
materials_3-0-6 acquisition ns2:acquisitions_common accessionDateGroup,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.accessionDateGroup,Acquisition Information,"",Accession date,"",accessionDateGroup,structured date group,n,n,n/a,"",""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionAuthorizer,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizer,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority: person/local,""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionAuthorizerDate,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizerDate,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"",""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionDateGroup,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionDateGroup,Acquisition Information,"",Acquisition date,acquisitionDateGroupList,acquisitionDateGroup,structured date group,n,y,n,"",""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionMethod,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionSource,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,""
materials_3-0-6 acquisition ns2:acquisitions_common creditLine,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"",""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionReason,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"",""
materials_3-0-6 acquisition ns2:acquisitions_common acquisitionNote,materials_3-0-6,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"",""
