profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_5-0-0,acquisition,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"",""
publicart_5-0-0,acquisition,Acquisition Information,"",Accession date,"",accessionDate,date,n,n,n/a,"",""
publicart_5-0-0,acquisition,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority: person/local,""
publicart_5-0-0,acquisition,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"",""
publicart_5-0-0,acquisition,Acquisition Information,"",Acquisition date,acquisitionDates,acquisitionDate,date,n,y,n,"",""
publicart_5-0-0,acquisition,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,vocabulary: acquisitionmethod,""
publicart_5-0-0,acquisition,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_5-0-0,acquisition,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_5-0-0,acquisition,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"",""
publicart_5-0-0,acquisition,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,""
publicart_5-0-0,acquisition,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,""
publicart_5-0-0,acquisition,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,""
publicart_5-0-0,acquisition,Acquisition Information,Approval,Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"",""
publicart_5-0-0,acquisition,Acquisition Information,Approval,Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"",""
publicart_5-0-0,acquisition,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"",""
publicart_5-0-0,acquisition,Acquisition Information,Funding,Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary: currency,""
publicart_5-0-0,acquisition,Acquisition Information,Funding,Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"",""
publicart_5-0-0,acquisition,Acquisition Information,Funding,Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_5-0-0,acquisition,Acquisition Information,Funding,Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"",""
publicart_5-0-0,acquisition,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"",""
publicart_5-0-0,acquisition,Commission Information,"",Commissioning body,commissioningBodyList,commissioningBody,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_5-0-0,acquisition,Commission Information,"",Commission date,"",commissionDate,structured date group,n,n,n/a,"",""
publicart_5-0-0,acquisition,Commission Information,Budget,Budget type,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetType,string,n,n,y,vocabulary: budgettype,""
publicart_5-0-0,acquisition,Commission Information,Budget,Budget note,commissionBudgetGroupList > commissionBudgetGroup,commissionBudgetTypeNote,string,n,n,y,"",""
publicart_5-0-0,acquisition,Commission Information,Budget > Projected value,Projected value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueCurrency,string,n,n,y,vocabulary: currency,""
publicart_5-0-0,acquisition,Commission Information,Budget > Projected value,Projected value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionProjectedValueAmount,float,n,n,y,"",""
publicart_5-0-0,acquisition,Commission Information,Budget > Actual value,Actual value currency,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueCurrency,string,n,n,y,vocabulary: currency,""
publicart_5-0-0,acquisition,Commission Information,Budget > Actual value,Actual value amount,commissionBudgetGroupList > commissionBudgetGroup,commissionActualValueAmount,float,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review"
publicart_5-0-0,citation,Citation Information,Term,Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary: citationtermtype,""
publicart_5-0-0,citation,Citation Information,Term,Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary: citationtermflag,""
publicart_5-0-0,citation,Citation Information,Term,Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary: languages,""
publicart_5-0-0,citation,Citation Information,Term,Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term,Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"",""
publicart_5-0-0,citation,Citation Information,Term > Source,Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,citation,Citation Information,Term > Source,Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"",""
