profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source,record_type_machine_name,field_machine_name
publicart_5-0-0,Acquisition,Acquisition source,Acquisition Information,"",y,n,authority: person/local; authority: organization/local,acquisition,acquisitionSource
publicart_5-0-0,Acquisition,Owner,Acquisition Information,"",y,n,authority: person/local; authority: organization/local,acquisition,owner
publicart_5-0-0,Acquisition,Funding source,Acquisition Information,Funding,n,y,authority: person/local; authority: organization/local,acquisition,acquisitionFundingSource
publicart_5-0-0,Acquisition,Commissioning body,Commission Information,"",y,n,authority: person/local; authority: organization/local,acquisition,commissioningBody
publicart_5-0-0,Citation,Term source name,Citation Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,citation,termSource
publicart_5-0-0,Citation,Agent name,Citation Information,Agent,n,y,authority: person/local; authority: organization/local,citation,agent
publicart_5-0-0,Citation,Related term,Citation Information,Related term,n,y,authority: concept/associated; authority: concept/material,citation,relatedTerm
publicart_5-0-0,Object,Owner,Object Identification Information,Object Owner's Contribution Information,y,n,authority: person/local; authority: organization/local,collectionobject,owner
publicart_5-0-0,Object,Textual inscription inscriber,Object Description Information,Textual Inscription > Textual inscription,n,y,authority: person/local; authority: organization/local,collectionobject,inscriptionContentInscriber
publicart_5-0-0,Object,Artwork creator name,Object Production Information,Artwork creator,n,y,authority: person/local; authority: organization/local,collectionobject,publicartProductionPerson
publicart_5-0-0,Concept,Term source name,Concept Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,concept,termSource
publicart_5-0-0,Conservation,Conservator,Conservation Treatment Information,"",y,n,authority: person/local; authority: organization/local,conservation,conservator
publicart_5-0-0,Conservation,Other treatment party name,Conservation Treatment Information,Other treatment party,n,y,authority: person/local; authority: organization/local,conservation,otherParty
publicart_5-0-0,Exhibition,Support name,Exhibition Information,Support,n,y,authority: person/local; authority: organization/local,exhibition,exhibitionSupport
publicart_5-0-0,Exhibition,Organizer,Exhibition Information,"",y,n,authority: person/local; authority: organization/local,exhibition,organizer
publicart_5-0-0,Exhibition,Venue name,Exhibition Information,Venue,n,y,authority: organization/local; authority: location/local; authority: location/offsite; authority: place/local,exhibition,venue
publicart_5-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,Quote,n,y,authority: person/local; authority: organization/local,insurance,insuranceIndemnityQuoteProvider
publicart_5-0-0,Intake,Current owner,Object Entry Information,"",y,n,authority: person/local; authority: organization/local,intake,currentOwner
publicart_5-0-0,Intake,Depositor name,Object Entry Information,Depositor,n,y,authority: person/local; authority: organization/local,intake,depositor
publicart_5-0-0,Intake,Current location,Location Information,Current location,n,y,authority: location/local; authority: location/offsite; authority: organization/local; authority: place/local,intake,currentLocation
publicart_5-0-0,Intake,Condition check assessor,Condition Check Information,"",y,n,authority: person/local; authority: organization/local,intake,conditionCheckerOrAssessor
publicart_5-0-0,Loan In,Lender name,Loan In Information,Lender,n,y,authority: person/local; authority: organization/local,loanin,lender
publicart_5-0-0,Storage Location,Term source name,Storage Location Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,location,termSource
publicart_5-0-0,Media Handling,Rights holder,Media Handling Information,"",y,n,authority: person/local; authority: organization/local,media,publicartRightsHolder
publicart_5-0-0,Organization,Term source name,Organization Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,organization,termSource
publicart_5-0-0,Person,Term source name,Person Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,person,termSource
publicart_5-0-0,Place,Term source name,Place Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,place,termSource
publicart_5-0-0,Place,Owner,Place Information,Ownership,n,y,authority: person/local; authority: organization/local,place,owner
publicart_5-0-0,Place,Georeferenced by,Georeference Information,Georeference,n,y,authority: person/local; authority: organization/local,place,geoReferencedBy
publicart_5-0-0,Transport,Courier name,Transport Information,Courier,n,y,authority: person/local; authority: organization/local,transport,courier
publicart_5-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority: person/local; authority: organization/local,transport,shippingQuoteProvider
publicart_5-0-0,Use of Collections,User name,Use of Collections Information,User,n,y,authority: person/local; authority: organization/local,uoc,user
publicart_5-0-0,Use of Collections,Authorized by,Use of Collections Information,Authorization,n,y,authority: person/local; authority: organization/local,uoc,authorizedBy
publicart_5-0-0,Use of Collections,Staff name,Use of Collections Information,Staff,n,y,authority: person/local; authority: organization/local,uoc,staffName
publicart_5-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority: organization/local; authority: place/local; authority: location/local,uoc,location
publicart_5-0-0,Valuation Control,Insurer,Insurance Information,Insurance,n,y,authority: person/local; authority: organization/local,valuation,insurer
publicart_5-0-0,Work,Term source name,Work Information,Term > Source,n,y,authority: citation/local; authority: citation/worldcat,work,termSource
publicart_5-0-0,Work,Creator name,Work Information,Creator,n,y,authority: person/local; authority: organization/local,work,creator
