fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart collectionobject ns2:collectionobjects_annotation annotationType,publicart,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,""
publicart collectionobject ns2:collectionobjects_annotation annotationNote,publicart,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_annotation annotationDate,publicart,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_annotation annotationAuthor,publicart,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,""
publicart collectionobject ns2:collectionobjects_common rightType,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightType,Rights Management Information,"",Right type,rightsGroupList > rightsGroup,rightType,string,n,n,y,vocabulary: rightstype,""
publicart collectionobject ns2:collectionobjects_common rightBeginDate,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightBeginDate,Rights Management Information,"",Right begin date,rightsGroupList > rightsGroup,rightBeginDate,date,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common rightEndDate,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightEndDate,Rights Management Information,"",Right end date,rightsGroupList > rightsGroup,rightEndDate,date,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common rightHolder,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightHolder,Rights Management Information,Right holder,Right holder name,rightsGroupList > rightsGroup > rightHolderGroupList > rightHolderGroup,rightHolder,string,n,n,y,authority: organization/local; authority: person/local,""
publicart collectionobject ns2:collectionobjects_common rightHolderContact,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightHolderContact,Rights Management Information,Right holder,Right holder contact,rightsGroupList > rightsGroup > rightHolderGroupList > rightHolderGroup,rightHolderContact,string,n,n,y,authority: organization/local; authority: person/local,""
publicart collectionobject ns2:collectionobjects_common rightJurisdiction,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightJurisdiction,Rights Management Information,"",Right jurisdiction,rightsGroupList > rightsGroup,rightJurisdiction,string,n,n,y,option list: addressCountries,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW"
publicart collectionobject ns2:collectionobjects_common standardizedRightStatement,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.standardizedRightStatement,Rights Management Information,"",Standardized right statement,rightsGroupList > rightsGroup,standardizedRightStatement,string,n,n,y,vocabulary: standardizedrightstatement,""
publicart collectionobject ns2:collectionobjects_common rightStatement,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightStatement,Rights Management Information,"",Right statement,rightsGroupList > rightsGroup,rightStatement,string,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common rightNote,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightNote,Rights Management Information,"",Right note,rightsGroupList > rightsGroup,rightNote,string,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common rightInType,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightInType,Rights In Management Information,"",Right in type,rightsInGroupList > rightsInGroup > rightInTypes,rightInType,string,n,y,as part of larger repeating group,vocabulary: rightsin,""
publicart collectionobject ns2:collectionobjects_common rightInBeginDate,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightInBeginDate,Rights In Management Information,"",Right in begin date,rightsInGroupList > rightsInGroup,rightInBeginDate,date,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common rightInEndDate,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightInEndDate,Rights In Management Information,"",Right in end date,rightsInGroupList > rightsInGroup,rightInEndDate,date,n,n,y,"",""
publicart collectionobject ns2:collectionobjects_common agreementSent,publicart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.agreementSent,Rights In Management Information,"",Right in agreement sent,rightsInGroupList > rightsInGroup,agreementSent,date,n,n,y,"",""
