profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Acquisition,Reference number,Acquisition Information,"",string,y,n,n/a,"","","",acquisition,acquisitionReferenceNumber
bonsai_6-0-0,Acquisition,Accession date,Acquisition Information,"",structured date group,n,n,n/a,"","","",acquisition,accessionDateGroup
bonsai_6-0-0,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority,person/local,"",acquisition,acquisitionAuthorizer
bonsai_6-0-0,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","","",acquisition,acquisitionAuthorizerDate
bonsai_6-0-0,Acquisition,Acquisition date,Acquisition Information,"",structured date group,n,y,n,"","","",acquisition,acquisitionDateGroup
bonsai_6-0-0,Acquisition,Acquisition method,Acquisition Information,"",string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition,acquisitionMethod
bonsai_6-0-0,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority,person/local; organization/local,"",acquisition,acquisitionSource
bonsai_6-0-0,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority,person/local; organization/local,"",acquisition,owner
bonsai_6-0-0,Acquisition,Transfer of title number,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,transferOfTitleNumber
bonsai_6-0-0,Acquisition,Group purchase price currency,Acquisition Information,Price Information > Group purchase price,string,n,n,n/a,vocabulary,currency,"",acquisition,groupPurchasePriceCurrency
bonsai_6-0-0,Acquisition,Group purchase price value,Acquisition Information,Price Information > Group purchase price,float,n,n,n/a,"","","",acquisition,groupPurchasePriceValue
bonsai_6-0-0,Acquisition,Object offer price currency,Acquisition Information,Price Information > Object offer price,string,n,n,n/a,vocabulary,currency,"",acquisition,objectOfferPriceCurrency
bonsai_6-0-0,Acquisition,Object offer price value,Acquisition Information,Price Information > Object offer price,float,n,n,n/a,"","","",acquisition,objectOfferPriceValue
bonsai_6-0-0,Acquisition,Object purchaser offer price currency,Acquisition Information,Price Information > Object purchaser offer price,string,n,n,n/a,vocabulary,currency,"",acquisition,objectPurchaseOfferPriceCurrency
bonsai_6-0-0,Acquisition,Object purchaser offer price value,Acquisition Information,Price Information > Object purchaser offer price,float,n,n,n/a,"","","",acquisition,objectPurchaseOfferPriceValue
bonsai_6-0-0,Acquisition,Object purchase price currency,Acquisition Information,Price Information > Object purchase price,string,n,n,n/a,vocabulary,currency,"",acquisition,objectPurchasePriceCurrency
bonsai_6-0-0,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","","",acquisition,objectPurchasePriceValue
bonsai_6-0-0,Acquisition,Original object purchase price currency,Acquisition Information,Price Information > Original object purchase price,string,n,n,n/a,vocabulary,currency,"",acquisition,originalObjectPurchasePriceCurrency
bonsai_6-0-0,Acquisition,Original object purchase price value,Acquisition Information,Price Information > Original object purchase price,float,n,n,n/a,"","","",acquisition,originalObjectPurchasePriceValue
bonsai_6-0-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionReason
bonsai_6-0-0,Acquisition,Approval,Acquisition Information,"",string,n,n,y,vocabulary,deaccessionapprovalgroup,"",acquisition,approvalGroup
bonsai_6-0-0,Acquisition,Approval individual,Acquisition Information,"",string,n,n,y,authority,person/local,"",acquisition,approvalIndividual
bonsai_6-0-0,Acquisition,Approval status,Acquisition Information,"",string,n,n,y,vocabulary,deaccessionapprovalstatus,"",acquisition,approvalStatus
bonsai_6-0-0,Acquisition,Approval status date,Acquisition Information,"",date,n,n,y,"","","",acquisition,approvalDate
bonsai_6-0-0,Acquisition,Approval note,Acquisition Information,"",string,n,n,y,"","","",acquisition,approvalNote
bonsai_6-0-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionNote
bonsai_6-0-0,Acquisition,Provisos,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,acquisitionProvisos
bonsai_6-0-0,Acquisition,Funding currency,Acquisition Information,"",string,n,n,y,vocabulary,currency,"",acquisition,acquisitionFundingCurrency
bonsai_6-0-0,Acquisition,Funding value,Acquisition Information,"",float,n,n,y,"","","",acquisition,acquisitionFundingValue
bonsai_6-0-0,Acquisition,Funding source,Acquisition Information,"",string,n,n,y,authority,person/local; organization/local,"",acquisition,acquisitionFundingSource
bonsai_6-0-0,Acquisition,Funding source provisos,Acquisition Information,"",string,n,n,y,"","","",acquisition,acquisitionFundingSourceProvisos
bonsai_6-0-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","","",acquisition,creditLine
bonsai_6-0-0,Acquisition,Field collection event name,Object Collection Information,"",string,n,y,n,"","","",acquisition,fieldCollectionEventName
bonsai_6-0-0,Citation,Term display name,Citation Information,"",string,y,n,y,"","","",citation,termDisplayName
bonsai_6-0-0,Citation,Term status,Citation Information,"",string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
