profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
botgarden_3-1-1,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
botgarden_3-1-1,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
botgarden_3-1-1,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
botgarden_3-1-1,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
botgarden_3-1-1,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
botgarden_3-1-1,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
botgarden_3-1-1,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
botgarden_3-1-1,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
botgarden_3-1-1,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
botgarden_3-1-1,Citation,Term section title,Citation Information,Term,string,n,n,y,"","",citation,termSectionTitle
botgarden_3-1-1,Citation,Term volume,Citation Information,Term,string,n,n,y,"","",citation,termVolume
botgarden_3-1-1,Citation,Term issue,Citation Information,Term,string,n,n,y,"","",citation,termIssue
botgarden_3-1-1,Citation,Term source name,Citation Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation,termSource
botgarden_3-1-1,Citation,Term source detail,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceDetail
botgarden_3-1-1,Citation,Term source ID,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceID
botgarden_3-1-1,Citation,Term source note,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceNote
botgarden_3-1-1,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
botgarden_3-1-1,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local; authority: place/tgn,"",citation,publicationPlace
botgarden_3-1-1,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
botgarden_3-1-1,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
botgarden_3-1-1,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
botgarden_3-1-1,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation,agent
botgarden_3-1-1,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
botgarden_3-1-1,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
botgarden_3-1-1,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
botgarden_3-1-1,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
botgarden_3-1-1,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
botgarden_3-1-1,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
botgarden_3-1-1,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation,relatedTerm
botgarden_3-1-1,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
botgarden_3-1-1,Object,Accession number,Object Identification Information,"",string,y,n,n/a,"","",collectionobject,objectNumber
botgarden_3-1-1,Object,Accession date,Object Identification Information,"",date,n,n,n/a,"","",collectionobject,accessionDate
botgarden_3-1-1,Object,Dead flag,Object Identification Information,"",string,n,n,n/a,option list: booleans,"false, true",collectionobject,deadFlag
botgarden_3-1-1,Object,Dead date,Object Identification Information,"",date,n,n,n/a,"","",collectionobject,deadDate
botgarden_3-1-1,Object,Other number value,Object Identification Information,Other number,string,n,n,y,"","",collectionobject,numberValue
botgarden_3-1-1,Object,Other number type,Object Identification Information,Other number,string,n,n,y,option list: numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown",collectionobject,numberType
botgarden_3-1-1,Object,Taxonomic identification scientific name,Object Identification Information,Determination history > Taxonomic identification,string,n,n,y,authority: taxon/local,"",collectionobject,taxon
botgarden_3-1-1,Object,Taxonomic identification qualifier,Object Identification Information,Determination history > Taxonomic identification,string,n,n,y,vocabulary: taxonqualifier,"",collectionobject,qualifier
botgarden_3-1-1,Object,Affinity taxon,Object Identification Information,Determination history,string,n,n,y,authority: taxon/local,"",collectionobject,affinityTaxon
botgarden_3-1-1,Object,Hybrid flag,Object Identification Information,Determination history,boolean,n,n,y,"","",collectionobject,hybridFlag
botgarden_3-1-1,Object,Hybrid parent name,Object Identification Information,Determination history > Hybrid parent,string,n,n,y,authority: taxon/local,"",collectionobject,taxonomicIdentHybridParent
botgarden_3-1-1,Object,Hybrid parent qualifier,Object Identification Information,Determination history > Hybrid parent,string,n,n,y,vocabulary: hybridparentqualifier,"",collectionobject,taxonomicIdentHybridParentQualifier
botgarden_3-1-1,Object,Taxonomic identification reference source,Object Identification Information,Determination history > Reference > Reference Information,string,n,n,y,"","",collectionobject,reference
botgarden_3-1-1,Object,Taxonomic identification reference page,Object Identification Information,Determination history > Reference,string,n,n,y,"","",collectionobject,refPage
botgarden_3-1-1,Object,Taxonomic identification kind,Object Identification Information,Determination history,string,n,n,y,vocabulary: taxonkind,"",collectionobject,identKind
botgarden_3-1-1,Object,Taxonomic identification note,Object Identification Information,Determination history,string,n,n,y,"","",collectionobject,notes
