profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
botgarden_3-1-1,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
botgarden_3-1-1,Citation,Publication place,Citation Information,"",n,y,authority,place/local; place/tgn,citation,publicationPlace
botgarden_3-1-1,Citation,Agent name,Citation Information,"",n,y,authority,person/local; person/ulan; organization/local,citation,agent
botgarden_3-1-1,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/activity; concept/material,citation,relatedTerm
botgarden_3-1-1,Object,Taxonomic identification by,Object Identification Information,Identification by,n,y,authority,person/local; organization/local,collectionobject,identBy
botgarden_3-1-1,Object,Field collector,Field Collection Information,"",y,n,authority,person/local; organization/local,collectionobject,fieldCollector
botgarden_3-1-1,Object,Accession used in,Accession Use Information,"",n,y,authority,concept/class; concept/research,collectionobject,accessionUsedIn
botgarden_3-1-1,Object,Owner,Object History and Association Information,Object Owner's Contribution Information,y,n,authority,person/local; organization/local,collectionobject,owner
botgarden_3-1-1,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
botgarden_3-1-1,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
botgarden_3-1-1,Intake,Current owner,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
botgarden_3-1-1,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
botgarden_3-1-1,Intake,Insurer,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
botgarden_3-1-1,Intake,Condition check assessor,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
botgarden_3-1-1,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
botgarden_3-1-1,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
botgarden_3-1-1,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
botgarden_3-1-1,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
botgarden_3-1-1,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
botgarden_3-1-1,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
botgarden_3-1-1,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
botgarden_3-1-1,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
botgarden_3-1-1,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
botgarden_3-1-1,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
botgarden_3-1-1,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
botgarden_3-1-1,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
botgarden_3-1-1,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
botgarden_3-1-1,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
botgarden_3-1-1,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
botgarden_3-1-1,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
botgarden_3-1-1,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
botgarden_3-1-1,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
botgarden_3-1-1,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
botgarden_3-1-1,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
botgarden_3-1-1,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
botgarden_3-1-1,Taxon,Term source name,Taxonomic Name Information,Source,n,y,authority,citation/local; citation/worldcat,taxon,termSource
botgarden_3-1-1,Taxon,Author name,Taxonomic Name Information,"",n,y,authority,person/local; organization/local,taxon,taxonAuthor
botgarden_3-1-1,Taxon,Citation,Taxonomic Name Information,"",y,n,authority,citation/local; citation/worldcat,taxon,taxonCitation
