profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
botgarden_3-1-1,Citation,Publication date,Citation Information,"",n,y,"","",citation,publicationDate
botgarden_3-1-1,Citation,Resource identifier capture date,Citation Information,"",n,y,"","",citation,captureDate
botgarden_3-1-1,Object,Taxonomic identification date,Object Identification Information,Identification by,n,y,"","",collectionobject,identDateGroup
botgarden_3-1-1,Object,Georeference date,Locality Information,Georeference Detail,n,y,"","",collectionobject,geoRefDateGroup
botgarden_3-1-1,Object,Field collection date,Field Collection Information,"",n,n/a,"","",collectionobject,fieldCollectionDateGroup
botgarden_3-1-1,Object,Associated date value,Object History and Association Information,Associations,n,y,"","",collectionobject,assocStructuredDateGroup
botgarden_3-1-1,Object,Ownership date,Object History and Association Information,"",y,n,"","",collectionobject,ownershipDateGroup
botgarden_3-1-1,Media Handling,Date,Media Handling Information,"",y,n,"","",media,dateGroup
botgarden_3-1-1,Object Exit,Date,Distribution Information,"",n,n/a,"","",objectexit,exitDateGroup
botgarden_3-1-1,Organization,Foundation date,Organization Information,"",n,n/a,"","",organization,foundingDateGroup
botgarden_3-1-1,Organization,Dissolution date,Organization Information,"",n,n/a,"","",organization,dissolutionDateGroup
botgarden_3-1-1,Organization,Contact date,Organization Information,"",n,y,"","",organization,contactDateGroup
botgarden_3-1-1,Organization,Contact end date,Organization Information,"",n,y,"","",organization,contactEndDateGroup
botgarden_3-1-1,Person,Birth date,Person Information,"",n,n/a,"","",person,birthDateGroup
botgarden_3-1-1,Person,Death date,Person Information,"",n,n/a,"","",person,deathDateGroup
botgarden_3-1-1,Person,Birth date supplied,Maker-Supplied Identity Information,"",n,y,"","",person,suppliedStructuredBirthDateGroup
botgarden_3-1-1,Place,Term date,Place Information,"",n,y,"","",place,nameDateGroup
botgarden_3-1-1,Place,Ownership date,Place Information,"",n,y,"","",place,ownershipDateGroup
botgarden_3-1-1,Place,Georeference date,Georeference Information,"",n,y,"","",place,geoRefDateGroup
botgarden_3-1-1,Work,Work date,Work Information,"",y,n,"","",work,workDateGroup
botgarden_3-1-1,Propagation,Propagation date,Propagation Information,"",n,n/a,"","",propagation,propDate
botgarden_3-1-1,Propagation,Activity date,Propagation Information,Activities,n,y,"","",propagation,activityDate
