profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
fcart_7-0-0,Acquisition,Accession date,Acquisition Information,"",n,n/a,"","",acquisition,accessionDateGroup
fcart_7-0-0,Acquisition,Acquisition date,Acquisition Information,"",y,n,"","",acquisition,acquisitionDateGroup
fcart_7-0-0,Citation,Publication date,Citation Information,"",n,y,"","",citation,publicationDate
fcart_7-0-0,Citation,Resource identifier capture date,Citation Information,"",n,y,"","",citation,captureDate
fcart_7-0-0,Chronology,Primary date range,Chronology Information,"",n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
fcart_7-0-0,Chronology,Alternative date range,Alternative Date Information,"",n,y,"","",chronology,altDateRangeStructuredDateGroup
fcart_7-0-0,Chronology,Associated person date,Associated Authorities,"",n,y,"","",chronology,assocPersonStructuredDateGroup
fcart_7-0-0,Chronology,Associated people date,Associated Authorities,"",n,y,"","",chronology,assocPeopleStructuredDateGroup
fcart_7-0-0,Chronology,Associated organization date,Associated Authorities,"",n,y,"","",chronology,assocOrganizationStructuredDateGroup
fcart_7-0-0,Chronology,Associated concept date,Associated Authorities,"",n,y,"","",chronology,assocConceptStructuredDateGroup
fcart_7-0-0,Chronology,Associated place date,Associated Authorities,"",n,y,"","",chronology,assocPlaceStructuredDateGroup
fcart_7-0-0,Chronology,Associated event/era date,Associated Authorities,"",n,y,"","",chronology,assocChronologyStructuredDateGroup
fcart_7-0-0,Object,Production date,Object Production Information,"",y,n,"","",collectionobject,objectProductionDateGroup
fcart_7-0-0,Object,Content date,Object Description Information,Content,n,n/a,"","",collectionobject,contentDateGroup
fcart_7-0-0,Object,Textual inscription date,Object Description Information,Textual Inscription,n,y,"","",collectionobject,inscriptionContentDateGroup
fcart_7-0-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription,n,y,"","",collectionobject,inscriptionDescriptionDateGroup
fcart_7-0-0,Object,Associated date value,Object History and Association Information,Associations,n,y,"","",collectionobject,assocStructuredDateGroup
fcart_7-0-0,Object,Ownership date,Object History and Association Information,"",y,n,"","",collectionobject,ownershipDateGroup
fcart_7-0-0,Concept,Related concept date,Concept Information,"",n,y,"","",concept,conceptRelationDateGroup
fcart_7-0-0,Concept,Concept Date,Concept Information,"",n,n/a,"","",concept,conceptTermDateGroup
fcart_7-0-0,Condition Check,Technical change date,Technical Changes,"",n,y,"","",conditioncheck,technicalChangeDate
fcart_7-0-0,Exhibition,Gallery rotation start date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationStartDateGroup
fcart_7-0-0,Exhibition,Gallery rotation end date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationEndDateGroup
fcart_7-0-0,Media Handling,Date,Media Handling Information,"",y,n,"","",media,dateGroup
fcart_7-0-0,Object Exit,Exit date,Object Exit Information,"",n,n/a,"","",objectexit,exitDateGroup
fcart_7-0-0,Organization,Foundation date,Organization Information,"",n,n/a,"","",organization,foundingDateGroup
fcart_7-0-0,Organization,Dissolution date,Organization Information,"",n,n/a,"","",organization,dissolutionDateGroup
fcart_7-0-0,Organization,Contact date,Organization Information,"",n,y,"","",organization,contactDateGroup
fcart_7-0-0,Organization,Contact end date,Organization Information,"",n,y,"","",organization,contactEndDateGroup
fcart_7-0-0,Person,Birth date,Person Information,"",n,n/a,"","",person,birthDateGroup
fcart_7-0-0,Person,Death date,Person Information,"",n,n/a,"","",person,deathDateGroup
fcart_7-0-0,Person,Birth date supplied,Maker-Supplied Identity Information,"",n,y,"","",person,suppliedStructuredBirthDateGroup
fcart_7-0-0,Person,Associated person date,Associated Authorities,"",n,y,"","",person,assocPersonStructuredDateGroup
fcart_7-0-0,Person,Associated people date,Associated Authorities,"",n,y,"","",person,assocPeopleStructuredDateGroup
fcart_7-0-0,Person,Associated organization date,Associated Authorities,"",n,y,"","",person,assocOrganizationStructuredDateGroup
fcart_7-0-0,Person,Associated concept date,Associated Authorities,"",n,y,"","",person,assocConceptStructuredDateGroup
fcart_7-0-0,Person,Associated place date,Associated Authorities,"",n,y,"","",person,assocPlaceStructuredDateGroup
fcart_7-0-0,Person,Associated event/era date,Associated Authorities,"",n,y,"","",person,assocChronologyStructuredDateGroup
fcart_7-0-0,Place,Term date,Place Information,"",n,y,"","",place,nameDateGroup
fcart_7-0-0,Place,Ownership date,Place Information,"",n,y,"","",place,ownershipDateGroup
fcart_7-0-0,Place,Georeference date,Georeference Information,"",n,y,"","",place,geoRefDateGroup
fcart_7-0-0,Place,Associated person date,Associated Authorities,"",n,y,"","",place,assocPersonStructuredDateGroup
fcart_7-0-0,Place,Associated people date,Associated Authorities,"",n,y,"","",place,assocPeopleStructuredDateGroup
fcart_7-0-0,Place,Associated organization date,Associated Authorities,"",n,y,"","",place,assocOrganizationStructuredDateGroup
fcart_7-0-0,Place,Associated concept date,Associated Authorities,"",n,y,"","",place,assocConceptStructuredDateGroup
fcart_7-0-0,Place,Associated place date,Associated Authorities,"",n,y,"","",place,assocPlaceStructuredDateGroup
fcart_7-0-0,Place,Associated event/era date,Associated Authorities,"",n,y,"","",place,assocChronologyStructuredDateGroup
fcart_7-0-0,Work,Work date,Work Information,"",y,n,"","",work,workDateGroup
