profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
herbarium_2-0-12,Citation,citation,Citation Information,"",Term display name,termDisplayName,ns2:citations_common.termDisplayName,termDisplayName,string,y,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term status,termStatus,ns2:citations_common.termStatus,termStatus,string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review"
herbarium_2-0-12,Citation,citation,Citation Information,"",Term type,termType,ns2:citations_common.termType,termType; termTypeRefname,string,n,n,y,vocabulary; refname,citationtermtype; vocabulary refname,""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term flag,termFlag,ns2:citations_common.termFlag,termFlag; termFlagRefname,string,n,n,y,vocabulary; refname,citationtermflag; vocabulary refname,""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term language,termLanguage,ns2:citations_common.termLanguage,termLanguage; termLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term preferred for lang,termPrefForLang,ns2:citations_common.termPrefForLang,termPrefForLang,boolean,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term full citation,termFullCitation,ns2:citations_common.termFullCitation,termFullCitation,string,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term title,termTitle,ns2:citations_common.termTitle,termTitle,string,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term subtitle,termSubTitle,ns2:citations_common.termSubTitle,termSubTitle,string,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term section title,termSectionTitle,ns2:citations_common.termSectionTitle,termSectionTitle,string,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term volume,termVolume,ns2:citations_common.termVolume,termVolume,string,n,n,y,"","",""
herbarium_2-0-12,Citation,citation,Citation Information,"",Term issue,termIssue,ns2:citations_common.termIssue,termIssue,string,n,n,y,"","",""
