profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
herbarium_2-0-12,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
herbarium_2-0-12,Citation,Publication place,Citation Information,"",n,y,authority,place/local; place/tgn,citation,publicationPlace
herbarium_2-0-12,Citation,Agent name,Citation Information,"",n,y,authority,person/local; person/ulan; organization/local,citation,agent
herbarium_2-0-12,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/activity; concept/material,citation,relatedTerm
herbarium_2-0-12,Object,Hybrid parent name,Object Identification Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbHybridParent
herbarium_2-0-12,Object,Type specimen verified basionym,Object Identification Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbTypeSpecimenBasionym
herbarium_2-0-12,Object,Owner,Object History and Association Information,Object Owner's Contribution Information,y,n,authority,person/local; organization/local,collectionobject,owner
herbarium_2-0-12,Object,Reference,Reference Information,Reference Information,n,y,authority,citation/local; citation/worldcat,collectionobject,reference
herbarium_2-0-12,Object,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,collectionobject,fieldCollector
herbarium_2-0-12,Object,Associated taxon name,Object Collection Information,"",n,y,authority,taxon/local; taxon/common,collectionobject,herbAssocTaxon
herbarium_2-0-12,Object,Measured by,Object Description Information,"",n,y,authority,person/local; organization/local,collectionobject,measuredBy
herbarium_2-0-12,Object,Object count counted by,Object Identification Information,"",n,y,authority,person/local; person/ulan,collectionobject,objectCountCountedBy
herbarium_2-0-12,Object,Content concept,Object Description Information,Content,y,n,authority,concept/associated; concept/material,collectionobject,contentConcept
herbarium_2-0-12,Object,Content person,Object Description Information,Content,y,n,authority,person/local; person/ulan,collectionobject,contentPerson
herbarium_2-0-12,Object,Content organization,Object Description Information,Content,y,n,authority,organization/local; organization/ulan,collectionobject,contentOrganization
herbarium_2-0-12,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
herbarium_2-0-12,Exhibition,Sponsor,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,sponsor
herbarium_2-0-12,Exhibition,Organizer,Exhibition Information,"",y,n,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,organizer
herbarium_2-0-12,Exhibition,Venue name,Exhibition Information,"",n,y,authority,organization/local; organization/ulan; location/local; location/offsite; place/local; place/tgn,exhibition,venue
herbarium_2-0-12,Exhibition,Working group member name,Exhibition Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,exhibition,exhibitionPerson
herbarium_2-0-12,Exhibition,Bibliographic reference,Exhibition Information,"",n,y,authority,citation/local; citation/worldcat,exhibition,exhibitionReference
herbarium_2-0-12,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/ulan; organization/local; organization/ulan,insurance,insuranceIndemnityQuoteProvider
herbarium_2-0-12,Intake,Current owner,Object Entry Information,"",y,n,authority,person/local; organization/local,intake,currentOwner
herbarium_2-0-12,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; organization/local,intake,depositor
herbarium_2-0-12,Intake,Field collector,Object Collection Information,"",y,n,authority,person/local; organization/local,intake,fieldCollector
herbarium_2-0-12,Intake,Insurer,Insurance Information,"",y,n,authority,person/local; organization/local,intake,insurer
herbarium_2-0-12,Intake,Current location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; place/local,intake,currentLocation
herbarium_2-0-12,Intake,Condition check assessor,Condition Check Information,"",y,n,authority,person/local; organization/local,intake,conditionCheckerOrAssessor
herbarium_2-0-12,Loan In,Lender name,Loan In Information,"",n,y,authority,person/local; organization/local,loanin,lender
herbarium_2-0-12,Loan In,Taxonomy,Loan In Information,"",y,n,authority,taxon/local; taxon/common,loanin,taxonomy
herbarium_2-0-12,Loan Out,Taxonomy,Loan Out Information,"",y,n,authority,taxon/local; taxon/common,loanout,taxonomy
herbarium_2-0-12,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/worldcat,location,termSource
herbarium_2-0-12,Media Handling,Measured by,Media Handling Information,"",n,y,authority,person/local; organization/local,media,measuredBy
herbarium_2-0-12,Organization,Term source name,Organization Information,Source,n,y,authority,citation/local; citation/worldcat,organization,termSource
herbarium_2-0-12,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/worldcat,person,termSource
herbarium_2-0-12,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/worldcat,place,termSource
herbarium_2-0-12,Place,Owner,Place Information,"",n,y,authority,person/local; organization/local,place,owner
herbarium_2-0-12,Place,Address municipality,Place Information,"",n,y,authority,place/local; place/tgn,place,addressMunicipality
herbarium_2-0-12,Place,Address state/province,Place Information,"",n,y,authority,place/local; place/tgn,place,addressStateOrProvince
herbarium_2-0-12,Place,Address country,Place Information,"",n,y,authority,place/local; place/tgn,place,addressCountry
herbarium_2-0-12,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; organization/local,place,geoReferencedBy
herbarium_2-0-12,Transport,Courier name,Transport Information,"",n,y,authority,person/local; organization/local,transport,courier
herbarium_2-0-12,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
herbarium_2-0-12,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
herbarium_2-0-12,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
herbarium_2-0-12,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
herbarium_2-0-12,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
herbarium_2-0-12,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
herbarium_2-0-12,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
