profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
lhmc_7-0-0,Acquisition,Accession number,Acquisition Information,"",string,y,n,n/a,"","",acquisition,acquisitionReferenceNumber
lhmc_7-0-0,Acquisition,Accessioned,Acquisition Information,"",structured date group,n,n,n/a,"","",acquisition,accessionDateGroup
lhmc_7-0-0,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority: person/local,"",acquisition,acquisitionAuthorizer
lhmc_7-0-0,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","",acquisition,acquisitionAuthorizerDate
lhmc_7-0-0,Acquisition,Received by,Acquisition Information,Received,string,n,n,y,authority: person/local; authority: person/ulan,"",acquisition,receivedBy
lhmc_7-0-0,Acquisition,Received date,Acquisition Information,Received,date,n,n,y,"","",acquisition,receivedDate
lhmc_7-0-0,Acquisition,Acquisition date,Acquisition Information,"",structured date group,n,y,n,"","",acquisition,acquisitionDateGroup
lhmc_7-0-0,Acquisition,Received as,Acquisition Information,"",string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",acquisition,acquisitionMethod
lhmc_7-0-0,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,acquisitionSource
lhmc_7-0-0,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority: person/local; authority: organization/local,"",acquisition,owner
lhmc_7-0-0,Acquisition,Transfer of title number,Acquisition Information,"",string,n,n,n/a,"","",acquisition,transferOfTitleNumber
lhmc_7-0-0,Acquisition,Group purchase price currency,Acquisition Information,Price Information > Group purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,groupPurchasePriceCurrency
lhmc_7-0-0,Acquisition,Group purchase price value,Acquisition Information,Price Information > Group purchase price,float,n,n,n/a,"","",acquisition,groupPurchasePriceValue
lhmc_7-0-0,Acquisition,Object purchase price currency,Acquisition Information,Price Information > Object purchase price,string,n,n,n/a,vocabulary: currency,"",acquisition,objectPurchasePriceCurrency
lhmc_7-0-0,Acquisition,Object purchase price value,Acquisition Information,Price Information > Object purchase price,float,n,n,n/a,"","",acquisition,objectPurchasePriceValue
lhmc_7-0-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionReason
lhmc_7-0-0,Acquisition,Approval,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition,approvalGroup
lhmc_7-0-0,Acquisition,Approval individual,Acquisition Information,Approval,string,n,n,y,authority: person/local,"",acquisition,approvalIndividual
lhmc_7-0-0,Acquisition,Approval status,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition,approvalStatus
lhmc_7-0-0,Acquisition,Approval status date,Acquisition Information,Approval,date,n,n,y,"","",acquisition,approvalDate
lhmc_7-0-0,Acquisition,Approval note,Acquisition Information,Approval,string,n,n,y,"","",acquisition,approvalNote
lhmc_7-0-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionNote
lhmc_7-0-0,Acquisition,Restrictions,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionProvisos
lhmc_7-0-0,Acquisition,Funding currency,Acquisition Information,Funding,string,n,n,y,vocabulary: currency,"",acquisition,acquisitionFundingCurrency
lhmc_7-0-0,Acquisition,Funding value,Acquisition Information,Funding,float,n,n,y,"","",acquisition,acquisitionFundingValue
lhmc_7-0-0,Acquisition,Funding source,Acquisition Information,Funding,string,n,n,y,authority: person/local; authority: organization/local,"",acquisition,acquisitionFundingSource
lhmc_7-0-0,Acquisition,Funding source provisos,Acquisition Information,Funding,string,n,n,y,"","",acquisition,acquisitionFundingSourceProvisos
lhmc_7-0-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","",acquisition,creditLine
lhmc_7-0-0,Acquisition,Field collection event name,Object Collection Information,"",string,n,y,n,"","",acquisition,fieldCollectionEventName
lhmc_7-0-0,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
lhmc_7-0-0,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
lhmc_7-0-0,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
lhmc_7-0-0,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
lhmc_7-0-0,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
lhmc_7-0-0,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
lhmc_7-0-0,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
lhmc_7-0-0,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
lhmc_7-0-0,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
