profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Acquisition,Received by,Acquisition Information,"",n,y,authority,person/local; person/ulan,acquisition,receivedBy
lhmc_7-0-0,Acquisition,Acquisition source,Acquisition Information,"",y,n,authority,person/local; organization/local,acquisition,acquisitionSource
lhmc_7-0-0,Acquisition,Owner,Acquisition Information,"",y,n,authority,person/local; organization/local,acquisition,owner
lhmc_7-0-0,Acquisition,Funding source,Acquisition Information,"",n,y,authority,person/local; organization/local,acquisition,acquisitionFundingSource
lhmc_7-0-0,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
lhmc_7-0-0,Citation,Publication place,Citation Information,"",n,y,authority,place/local; place/tgn,citation,publicationPlace
lhmc_7-0-0,Citation,Agent name,Citation Information,"",n,y,authority,person/local; person/ulan; organization/local,citation,agent
lhmc_7-0-0,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/activity; concept/material,citation,relatedTerm
lhmc_7-0-0,Chronology,Term source name,Chronology Information,Source,n,y,authority,citation/local; citation/worldcat,chronology,termSource
lhmc_7-0-0,Chronology,Spatial coverage,Chronology Information,"",y,n,authority,place/local; place/tgn,chronology,spatialCoverage
lhmc_7-0-0,Chronology,Resource identifier citation,Chronology Information,"",n,y,authority,citation/local; citation/worldcat,chronology,identifierCitation
lhmc_7-0-0,Chronology,Alternative date spatial coverage,Alternative Date Information,"",y,as part of larger repeating group,authority,place/local; place/tgn,chronology,altDateSpatialCoverage
lhmc_7-0-0,Chronology,Alternative date citation,Alternative Date Information,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,altDateCitation
lhmc_7-0-0,Chronology,Associated person,Associated Authorities,"",n,y,authority,person/local; person/ulan,chronology,assocPerson
lhmc_7-0-0,Chronology,Associated person citation,Associated Authorities,"",y,as part of larger repeating group,authority,citation/local; citation/worldcat,chronology,assocPersonCitation
