profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Acquisition,Accessioned,Acquisition Information,"",n,n/a,"","",acquisition,accessionDateGroup
lhmc_7-0-0,Acquisition,Acquisition date,Acquisition Information,"",y,n,"","",acquisition,acquisitionDateGroup
lhmc_7-0-0,Citation,Publication date,Citation Information,"",n,y,"","",citation,publicationDate
lhmc_7-0-0,Citation,Resource identifier capture date,Citation Information,"",n,y,"","",citation,captureDate
lhmc_7-0-0,Chronology,Primary date range,Chronology Information,"",n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
lhmc_7-0-0,Chronology,Alternative date range,Alternative Date Information,"",n,y,"","",chronology,altDateRangeStructuredDateGroup
lhmc_7-0-0,Chronology,Associated person date,Associated Authorities,"",n,y,"","",chronology,assocPersonStructuredDateGroup
lhmc_7-0-0,Chronology,Associated people date,Associated Authorities,"",n,y,"","",chronology,assocPeopleStructuredDateGroup
lhmc_7-0-0,Chronology,Associated organization date,Associated Authorities,"",n,y,"","",chronology,assocOrganizationStructuredDateGroup
lhmc_7-0-0,Chronology,Associated concept date,Associated Authorities,"",n,y,"","",chronology,assocConceptStructuredDateGroup
lhmc_7-0-0,Chronology,Associated place date,Associated Authorities,"",n,y,"","",chronology,assocPlaceStructuredDateGroup
lhmc_7-0-0,Chronology,Associated event/era date,Associated Authorities,"",n,y,"","",chronology,assocChronologyStructuredDateGroup
lhmc_7-0-0,Object,Content date,Object Description Information,Content,n,n/a,"","",collectionobject,contentDateGroup
lhmc_7-0-0,Object,Textual inscription date,Object Description Information,Textual Inscription,n,y,"","",collectionobject,inscriptionContentDateGroup
lhmc_7-0-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription,n,y,"","",collectionobject,inscriptionDescriptionDateGroup
lhmc_7-0-0,Object,Production date,Object Production Information,"",y,n,"","",collectionobject,objectProductionDateGroup
lhmc_7-0-0,Object,Associated date value,Object History and Association Information,Associations,n,y,"","",collectionobject,assocStructuredDateGroup
lhmc_7-0-0,Object,Ownership date,Object History and Association Information,"",y,n,"","",collectionobject,ownershipDateGroup
lhmc_7-0-0,Object,Field collection date,Object Collection Information,"",n,n/a,"","",collectionobject,fieldCollectionDateGroup
lhmc_7-0-0,Exhibition,Gallery rotation start date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationStartDateGroup
lhmc_7-0-0,Exhibition,Gallery rotation end date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationEndDateGroup
lhmc_7-0-0,Media Handling,Date,Media Handling Information,"",y,n,"","",media,dateGroup
lhmc_7-0-0,Object Exit,Exit date,Object Exit Information,"",n,n/a,"","",objectexit,exitDateGroup
lhmc_7-0-0,Organization,Foundation date,Organization Information,"",n,n/a,"","",organization,foundingDateGroup
lhmc_7-0-0,Organization,Dissolution date,Organization Information,"",n,n/a,"","",organization,dissolutionDateGroup
lhmc_7-0-0,Organization,Contact date,Organization Information,"",n,y,"","",organization,contactDateGroup
lhmc_7-0-0,Organization,Contact end date,Organization Information,"",n,y,"","",organization,contactEndDateGroup
lhmc_7-0-0,Person,Born,Person Information,"",n,n/a,"","",person,birthDateGroup
lhmc_7-0-0,Person,Died,Person Information,"",n,n/a,"","",person,deathDateGroup
lhmc_7-0-0,Person,Birth date supplied,Maker-Supplied Identity Information,"",n,y,"","",person,suppliedStructuredBirthDateGroup
lhmc_7-0-0,Person,Associated person date,Associated Authorities,"",n,y,"","",person,assocPersonStructuredDateGroup
lhmc_7-0-0,Person,Associated people date,Associated Authorities,"",n,y,"","",person,assocPeopleStructuredDateGroup
lhmc_7-0-0,Person,Associated organization date,Associated Authorities,"",n,y,"","",person,assocOrganizationStructuredDateGroup
lhmc_7-0-0,Person,Associated concept date,Associated Authorities,"",n,y,"","",person,assocConceptStructuredDateGroup
lhmc_7-0-0,Person,Associated place date,Associated Authorities,"",n,y,"","",person,assocPlaceStructuredDateGroup
lhmc_7-0-0,Person,Associated event/era date,Associated Authorities,"",n,y,"","",person,assocChronologyStructuredDateGroup
lhmc_7-0-0,Place,Term date,Place Information,"",n,y,"","",place,nameDateGroup
lhmc_7-0-0,Place,Ownership date,Place Information,"",n,y,"","",place,ownershipDateGroup
lhmc_7-0-0,Place,Georeference date,Georeference Information,"",n,y,"","",place,geoRefDateGroup
lhmc_7-0-0,Place,Associated person date,Associated Authorities,"",n,y,"","",place,assocPersonStructuredDateGroup
lhmc_7-0-0,Place,Associated people date,Associated Authorities,"",n,y,"","",place,assocPeopleStructuredDateGroup
lhmc_7-0-0,Place,Associated organization date,Associated Authorities,"",n,y,"","",place,assocOrganizationStructuredDateGroup
lhmc_7-0-0,Place,Associated concept date,Associated Authorities,"",n,y,"","",place,assocConceptStructuredDateGroup
lhmc_7-0-0,Place,Associated place date,Associated Authorities,"",n,y,"","",place,assocPlaceStructuredDateGroup
lhmc_7-0-0,Place,Associated event/era date,Associated Authorities,"",n,y,"","",place,assocChronologyStructuredDateGroup
lhmc_7-0-0,Work,Work date,Work Information,"",y,n,"","",work,workDateGroup
