profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
materials_4-0-0,citation,citation/local,y,9,"Citation: Term source name (Citation Information>Term>Source)
Concept: Term source name (Concept Information>Term>Source)
Material: Citation source (Material Information>Citation)
Material: Term source name (Material Information>Term>Source)
Organization: Term source name (Organization Information>Term>Source)
Person: Term source name (Person Information>Term>Source)
Place: Term source name (Place Information>Term>Source)
Storage Location: Term source name (Storage Location Information>Term>Source)
Work: Term source name (Work Information>Term>Source)"
materials_4-0-0,citation,citation/shared,y,8,"Citation: Term source name (Citation Information>Term>Source)
Concept: Term source name (Concept Information>Term>Source)
Material: Citation source (Material Information>Citation)
Material: Term source name (Material Information>Term>Source)
Person: Term source name (Person Information>Term>Source)
Place: Term source name (Place Information>Term>Source)
Storage Location: Term source name (Storage Location Information>Term>Source)
Work: Term source name (Work Information>Term>Source)"
materials_4-0-0,concept,concept/materialclassification,y,3,"Material: Composition class name (Material Information>Composition)
Material: Composition family name (Material Information>Composition)
Material: Composition generic name (Material Information>Composition)"
materials_4-0-0,concept,concept/nomenclature,n,0,""
materials_4-0-0,concept,concept/occasion,y,1,Use of Collections: Occasion (Use of Collections Information)
materials_4-0-0,concept,concept/sharedmaterialclassification,y,3,"Material: Composition class name (Material Information>Composition)
Material: Composition family name (Material Information>Composition)
Material: Composition generic name (Material Information>Composition)"
materials_4-0-0,location,location/local,y,4,"Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)
Use of Collections: Location (Use of Collections Information)"
materials_4-0-0,location,location/offsite,y,3,"Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)"
materials_4-0-0,material,material/local,y,2,"Media Handling: Coverage (Media Handling Information)
Object: Material (Object Identification Information)"
materials_4-0-0,material,material/shared,y,2,"Media Handling: Coverage (Media Handling Information)
Object: Material (Object Identification Information)"
