profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
materials_4-0-0,Acquisition,Acquisition source,Acquisition Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,acquisition,acquisitionSource
materials_4-0-0,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/shared,citation,termSource
materials_4-0-0,Citation,Agent name,Citation Information,"",n,y,authority,person/local; organization/local,citation,agent
materials_4-0-0,Object,Material,Object Identification Information,"",y,n,authority,material/local; material/shared,collectionobject,material
materials_4-0-0,Object,Annotation author,Object Identification Information,"",n,y,authority,person/local; person/shared,collectionobject,annotationAuthor
materials_4-0-0,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/shared,concept,termSource
materials_4-0-0,Conservation,Conservator,Conservation Treatment Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,conservation,conservator
materials_4-0-0,Conservation,Other treatment party name,Conservation Treatment Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,conservation,otherParty
materials_4-0-0,Conservation,Examination staff,Conservation Treatment Information,"",n,y,authority,person/local; person/shared,conservation,examinationStaff
materials_4-0-0,Conservation,Destructive analysis sample taken by,Object Analysis Information,"",n,y,authority,person/local; person/shared,conservation,sampleBy
materials_4-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,insurance,insuranceIndemnityQuoteProvider
materials_4-0-0,Loan Out,Loan status individual,Loan Out Information,"",n,y,authority,person/local; person/shared,loanout,loanIndividual
materials_4-0-0,Storage Location,Term source name,Storage Location Information,Source,n,y,authority,citation/local; citation/shared,location,termSource
materials_4-0-0,Location/Movement/Inventory,Inventory contact,Inventory Information,"",y,n,authority,person/local; person/shared,movement,inventoryContact
materials_4-0-0,Person,Term source name,Person Information,Source,n,y,authority,citation/local; citation/shared,person,termSource
materials_4-0-0,Place,Term source name,Place Information,Source,n,y,authority,citation/local; citation/shared,place,termSource
materials_4-0-0,Place,Owner,Place Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,place,owner
materials_4-0-0,Place,Georeferenced by,Georeference Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,place,geoReferencedBy
materials_4-0-0,Transport,Courier name,Transport Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,transport,courier
materials_4-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,transport,shippingQuoteProvider
materials_4-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,user
materials_4-0-0,Use of Collections,User institution,Use of Collections Information,"",n,y,authority,organization/local; organization/shared,uoc,userInstitution
materials_4-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,authorizedBy
materials_4-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,uoc,staffName
materials_4-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; organization/shared; place/local; place/shared; location/local,uoc,location
materials_4-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/shared,work,termSource
materials_4-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,work,creator
materials_4-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,work,publisher
materials_4-0-0,Material,Term source name,Material Information,Source,n,y,authority,citation/local; citation/shared,material,termSource
materials_4-0-0,Material,Featured collection name,Material Information,"",n,y,authority,work/local; work/shared,material,featuredCollection
materials_4-0-0,Material,Composition family name,Material Information,"",n,y,authority,concept/materialclassification; concept/sharedmaterialclassification,material,materialCompositionFamilyName
materials_4-0-0,Material,Composition class name,Material Information,"",n,y,authority,concept/materialclassification; concept/sharedmaterialclassification,material,materialCompositionClassName
materials_4-0-0,Material,Composition generic name,Material Information,"",n,y,authority,concept/materialclassification; concept/sharedmaterialclassification,material,materialCompositionGenericName
materials_4-0-0,Material,Production organization name,Material Information,"",n,y,authority,organization/local; organization/shared,material,materialProductionOrganization
materials_4-0-0,Material,Production person name,Material Information,"",n,y,authority,person/local; person/shared,material,materialProductionPerson
materials_4-0-0,Material,Production place name,Material Information,"",n,y,authority,place/local; place/shared,material,materialProductionPlace
materials_4-0-0,Material,Featured application name,Material Information,"",n,y,authority,work/local; work/shared,material,featuredApplication
materials_4-0-0,Material,Citation source,Material Information,"",n,y,authority,citation/local; citation/shared,material,materialCitationSource
materials_4-0-0,Material,Term creator organization,Material Information,"",n,y,authority,organization/local; organization/shared,material,materialTermAttributionContributingOrganization
materials_4-0-0,Material,Term creator contributor,Material Information,"",n,y,authority,person/local; person/shared,material,materialTermAttributionContributingPerson
materials_4-0-0,Material,Term editor organization,Material Information,"",n,y,authority,organization/local; organization/shared,material,materialTermAttributionEditingOrganization
materials_4-0-0,Material,Term editor,Material Information,"",n,y,authority,person/local; person/shared,material,materialTermAttributionEditingPerson
