profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
materials_4-0-0,Acquisition,acquisition,Acquisition Information,"",Accession date,accessionDateGroup,ns2:acquisitions_common.accessionDateGroup,accessionDateGroup,n,n/a,"",""
materials_4-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroup,ns2:acquisitions_common.acquisitionDateGroup,acquisitionDateGroup,y,n,"",""
materials_4-0-0,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,n,y,"",""
materials_4-0-0,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,n,y,"",""
materials_4-0-0,Media Handling,media,Media Handling Information,"",Date,dateGroup,ns2:media_common.dateGroup,dateGroup,y,n,"",""
materials_4-0-0,Object Exit,objectexit,Object Exit Information,"",Exit date,exitDateGroup,ns2:objectexit_common.exitDateGroup,exitDateGroup,n,n/a,"",""
materials_4-0-0,Organization,organization,Organization Information,"",Foundation date,foundingDateGroup,ns2:organizations_common.foundingDateGroup,foundingDateGroup,n,n/a,"",""
materials_4-0-0,Organization,organization,Organization Information,"",Dissolution date,dissolutionDateGroup,ns2:organizations_common.dissolutionDateGroup,dissolutionDateGroup,n,n/a,"",""
materials_4-0-0,Organization,organization,Organization Information,"",Contact date,contactDateGroup,ns2:organizations_common.contactDateGroup,contactDateGroup,n,y,"",""
materials_4-0-0,Organization,organization,Organization Information,"",Contact end date,contactEndDateGroup,ns2:organizations_common.contactEndDateGroup,contactEndDateGroup,n,y,"",""
materials_4-0-0,Place,place,Place Information,"",Term date,nameDateGroup,ns2:places_common.nameDateGroup,nameDateGroup,n,y,"",""
materials_4-0-0,Place,place,Place Information,"",Ownership date,ownershipDateGroup,ns2:places_common.ownershipDateGroup,ownershipDateGroup,n,y,"",""
materials_4-0-0,Place,place,Georeference Information,"",Georeference date,geoRefDateGroup,ns2:places_common.geoRefDateGroup,geoRefDateGroup,n,y,"",""
materials_4-0-0,Work,work,Work Information,"",Work date,workDateGroup,ns2:works_common.workDateGroup,workDateGroup,y,n,"",""
materials_4-0-0,Material,material,Material Information,Discontinued,Discontinued date,discontinuedDate,ns2:materials_common.discontinuedDate,discontinuedDate,n,n/a,"",""
materials_4-0-0,Material,material,Material Information,"",Production date,productionDate,ns2:materials_common.productionDate,productionDate,n,n/a,"",""
