profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
core_9-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourceOrganizationLocal; acquisitionSourceRefname,y,n,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Acquisition,acquisition,Acquisition Information,"",Owner,owner,ns2:acquisitions_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,y,n,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Acquisition,acquisition,Acquisition Information,"",Funding source,acquisitionFundingSource,ns2:acquisitions_common.acquisitionFundingSource,acquisitionFundingSourcePersonLocal; acquisitionFundingSourceOrganizationLocal; acquisitionFundingSourceRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Citation,citation,Citation Information,"",Publication place,publicationPlace,ns2:citations_common.publicationPlace,publicationPlacePlaceLocal; publicationPlacePlaceTgn; publicationPlaceRefname,n,y,authority; refname,place/local; place/tgn; authority refname
core_9-0-0,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentPersonUlan; agentOrganizationLocal; agentRefname,n,y,authority; refname,person/local; person/ulan; organization/local; authority refname
core_9-0-0,Citation,citation,Citation Information,"",Related term,relatedTerm,ns2:citations_common.relatedTerm,relatedTermConceptAssociated; relatedTermConceptActivity; relatedTermConceptMaterial; relatedTermRefname,n,y,authority; refname,concept/associated; concept/activity; concept/material; authority refname
core_9-0-0,Chronology,chronology,Chronology Information,Source,Term source name,termSource,ns2:chronologies_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Chronology,chronology,Chronology Information,"",Spatial coverage,spatialCoverage,ns2:chronologies_common.spatialCoverage,spatialCoveragePlaceLocal; spatialCoveragePlaceTgn; spatialCoverageRefname,y,n,authority; refname,place/local; place/tgn; authority refname
core_9-0-0,Chronology,chronology,Chronology Information,"",Resource identifier citation,identifierCitation,ns2:chronologies_common.identifierCitation,identifierCitationCitationLocal; identifierCitationCitationWorldcat; identifierCitationRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Chronology,chronology,Alternative Date Information,"",Alternative date spatial coverage,altDateSpatialCoverage,ns2:chronologies_common.altDateSpatialCoverage,altDateSpatialCoveragePlaceLocal; altDateSpatialCoveragePlaceTgn; altDateSpatialCoverageRefname,y,as part of larger repeating group,authority; refname,place/local; place/tgn; authority refname
