profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source,option_list_values,record_type_machine_name,field_machine_name
publicart_6-0-0,Acquisition,Reference number,Acquisition Information,"",string,y,n,n/a,"","",acquisition,acquisitionReferenceNumber
publicart_6-0-0,Acquisition,Accession date,Acquisition Information,"",date,n,n,n/a,"","",acquisition,accessionDate
publicart_6-0-0,Acquisition,Authorizer,Acquisition Information,Authorization,string,n,n,n/a,authority: person/local,"",acquisition,acquisitionAuthorizer
publicart_6-0-0,Acquisition,Authorization date,Acquisition Information,Authorization,date,n,n,n/a,"","",acquisition,acquisitionAuthorizerDate
publicart_6-0-0,Acquisition,Acquisition date,Acquisition Information,"",date,n,y,n,"","",acquisition,acquisitionDate
publicart_6-0-0,Acquisition,Acquisition method,Acquisition Information,"",string,n,n,n/a,vocabulary: acquisitionmethod,"",acquisition,acquisitionMethod
publicart_6-0-0,Acquisition,Acquisition source,Acquisition Information,"",string,n,y,n,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",acquisition,acquisitionSource
publicart_6-0-0,Acquisition,Owner,Acquisition Information,"",string,n,y,n,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",acquisition,owner
publicart_6-0-0,Acquisition,Acquisition reason,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionReason
publicart_6-0-0,Acquisition,Approval,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition,approvalGroup
publicart_6-0-0,Acquisition,Approval individual,Acquisition Information,Approval,string,n,n,y,authority: person/local,"",acquisition,approvalIndividual
publicart_6-0-0,Acquisition,Approval status,Acquisition Information,Approval,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition,approvalStatus
publicart_6-0-0,Acquisition,Approval status date,Acquisition Information,Approval,date,n,n,y,"","",acquisition,approvalDate
publicart_6-0-0,Acquisition,Approval note,Acquisition Information,Approval,string,n,n,y,"","",acquisition,approvalNote
publicart_6-0-0,Acquisition,Note,Acquisition Information,"",string,n,n,n/a,"","",acquisition,acquisitionNote
publicart_6-0-0,Acquisition,Funding currency,Acquisition Information,Funding,string,n,n,y,vocabulary: currency,"",acquisition,acquisitionFundingCurrency
publicart_6-0-0,Acquisition,Funding value,Acquisition Information,Funding,float,n,n,y,"","",acquisition,acquisitionFundingValue
publicart_6-0-0,Acquisition,Funding source,Acquisition Information,Funding,string,n,n,y,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",acquisition,acquisitionFundingSource
publicart_6-0-0,Acquisition,Funding source provisos,Acquisition Information,Funding,string,n,n,y,"","",acquisition,acquisitionFundingSourceProvisos
publicart_6-0-0,Acquisition,Credit line,Acquisition Information,"",string,n,n,n/a,"","",acquisition,creditLine
publicart_6-0-0,Acquisition,Commissioning body,Commission Information,"",string,n,y,n,authority: person/local; authority: person/shared; authority: organization/local; authority: organization/shared,"",acquisition,commissioningBody
publicart_6-0-0,Acquisition,Commission date,Commission Information,"",structured date group,n,n,n/a,"","",acquisition,commissionDate
publicart_6-0-0,Acquisition,Budget type,Commission Information,Budget,string,n,n,y,vocabulary: budgettype,"",acquisition,commissionBudgetType
publicart_6-0-0,Acquisition,Budget note,Commission Information,Budget,string,n,n,y,"","",acquisition,commissionBudgetTypeNote
publicart_6-0-0,Acquisition,Projected value currency,Commission Information,Budget > Projected value,string,n,n,y,vocabulary: currency,"",acquisition,commissionProjectedValueCurrency
publicart_6-0-0,Acquisition,Projected value amount,Commission Information,Budget > Projected value,float,n,n,y,"","",acquisition,commissionProjectedValueAmount
publicart_6-0-0,Acquisition,Actual value currency,Commission Information,Budget > Actual value,string,n,n,y,vocabulary: currency,"",acquisition,commissionActualValueCurrency
publicart_6-0-0,Acquisition,Actual value amount,Commission Information,Budget > Actual value,float,n,n,y,"","",acquisition,commissionActualValueAmount
publicart_6-0-0,Citation,Term display name,Citation Information,Term,string,y,n,y,"","",citation,termDisplayName
publicart_6-0-0,Citation,Term status,Citation Information,Term,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation,termStatus
publicart_6-0-0,Citation,Term type,Citation Information,Term,string,n,n,y,vocabulary: citationtermtype,"",citation,termType
publicart_6-0-0,Citation,Term flag,Citation Information,Term,string,n,n,y,vocabulary: citationtermflag,"",citation,termFlag
publicart_6-0-0,Citation,Term language,Citation Information,Term,string,n,n,y,vocabulary: languages,"",citation,termLanguage
publicart_6-0-0,Citation,Term preferred for lang,Citation Information,Term,boolean,n,n,y,"","",citation,termPrefForLang
publicart_6-0-0,Citation,Term full citation,Citation Information,Term,string,n,n,y,"","",citation,termFullCitation
publicart_6-0-0,Citation,Term title,Citation Information,Term,string,n,n,y,"","",citation,termTitle
publicart_6-0-0,Citation,Term subtitle,Citation Information,Term,string,n,n,y,"","",citation,termSubTitle
publicart_6-0-0,Citation,Term section title,Citation Information,Term,string,n,n,y,"","",citation,termSectionTitle
publicart_6-0-0,Citation,Term volume,Citation Information,Term,string,n,n,y,"","",citation,termVolume
publicart_6-0-0,Citation,Term issue,Citation Information,Term,string,n,n,y,"","",citation,termIssue
publicart_6-0-0,Citation,Term source name,Citation Information,Term > Source,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation,termSource
publicart_6-0-0,Citation,Term source detail,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceDetail
publicart_6-0-0,Citation,Term source ID,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceID
publicart_6-0-0,Citation,Term source note,Citation Information,Term > Source,string,n,n,y,"","",citation,termSourceNote
publicart_6-0-0,Citation,Publisher,Citation Information,Publication,string,n,n,y,authority: organization/local,"",citation,publisher
publicart_6-0-0,Citation,Publication place,Citation Information,Publication,string,n,n,y,authority: place/local,"",citation,publicationPlace
publicart_6-0-0,Citation,Publication date,Citation Information,Publication,structured date group,n,n,y,"","",citation,publicationDate
publicart_6-0-0,Citation,Publication edition,Citation Information,Publication,string,n,n,y,"","",citation,edition
publicart_6-0-0,Citation,Publication page(s),Citation Information,Publication,string,n,n,y,"","",citation,pages
publicart_6-0-0,Citation,Agent name,Citation Information,Agent,string,n,n,y,authority: person/local; authority: organization/local,"",citation,agent
publicart_6-0-0,Citation,Agent role,Citation Information,Agent,string,n,n,y,vocabulary: agentinfotype,"",citation,role
publicart_6-0-0,Citation,Agent note,Citation Information,Agent,string,n,n,y,"","",citation,note
publicart_6-0-0,Citation,Note,Citation Information,"",string,n,n,n/a,"","",citation,citationNote
publicart_6-0-0,Citation,Resource identifier,Citation Information,Resource identifier,string,n,n,y,"","",citation,resourceIdent
publicart_6-0-0,Citation,Resource identifier type,Citation Information,Resource identifier,string,n,n,y,vocabulary: resourceidtype,"",citation,type
publicart_6-0-0,Citation,Resource identifier capture date,Citation Information,Resource identifier,structured date group,n,n,y,"","",citation,captureDate
publicart_6-0-0,Citation,Related term,Citation Information,Related term,string,n,n,y,authority: concept/associated; authority: concept/material,"",citation,relatedTerm
publicart_6-0-0,Citation,Related term type,Citation Information,Related term,string,n,n,y,vocabulary: relationtypetype,"",citation,relationType
publicart_6-0-0,Object,Artwork ID,Object Identification Information,"",string,y,n,n/a,"","",collectionobject,objectNumber
publicart_6-0-0,Object,Program name,Object Identification Information,"",string,n,y,n,vocabulary: program,"",collectionobject,responsibleDepartment
publicart_6-0-0,Object,Collection,Object Identification Information,"",string,n,y,n,authority: organization/local; authority: organization/shared,"",collectionobject,publicartCollection
publicart_6-0-0,Object,Record status,Object Identification Information,"",string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary",collectionobject,recordStatus
publicart_6-0-0,Object,Publish to,Object Identification Information,"",string,n,y,n,vocabulary: publishto,"",collectionobject,publishTo
publicart_6-0-0,Object,Installation type,Object Identification Information,"",string,n,y,n,vocabulary: inventorystatus,"",collectionobject,inventoryStatus
publicart_6-0-0,Object,Artwork description,Object Identification Information,"",string,n,y,n,"","",collectionobject,briefDescription
publicart_6-0-0,Object,Artwork tag,Object Identification Information,"",string,n,y,n,authority: concept/associated,"",collectionobject,contentConcept
publicart_6-0-0,Object,Distinguishing features,Object Identification Information,"",string,n,n,n/a,"","",collectionobject,distinguishingFeatures
publicart_6-0-0,Object,Comment,Object Identification Information,"",string,n,y,n,"","",collectionobject,comment
publicart_6-0-0,Object,Computed current location,Object Identification Information,"",string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local; authority: organization/shared; authority: place/local; authority: place/shared,"",collectionobject,computedCurrentLocation
publicart_6-0-0,Object,Title,Object Identification Information,Title,string,n,n,y,"","",collectionobject,title
publicart_6-0-0,Object,Title language,Object Identification Information,Title,string,n,n,y,vocabulary: languages,"",collectionobject,titleLanguage
publicart_6-0-0,Object,Title type,Object Identification Information,Title,string,n,n,y,option list: titleTypes,"assigned-by-artist, cited, collection, generic, popular, series, trade",collectionobject,titleType
publicart_6-0-0,Object,Title translation,Object Identification Information,Title > Title translation,string,n,n,y,"","",collectionobject,titleTranslation
publicart_6-0-0,Object,Title translation language,Object Identification Information,Title > Title translation,string,n,n,y,vocabulary: languages,"",collectionobject,titleTranslationLanguage
publicart_6-0-0,Object,Work type,Object Identification Information,Work type,string,n,n,y,authority: concept/worktype,"",collectionobject,objectName
publicart_6-0-0,Object,Work type note,Object Identification Information,Work type,string,n,n,y,"","",collectionobject,objectNameNote
publicart_6-0-0,Object,Object count value,Object Identification Information,Object count,integer,n,n,y,"","",collectionobject,objectCount
publicart_6-0-0,Object,Object count type,Object Identification Information,Object count,string,n,n,y,vocabulary: objectcounttypes,"",collectionobject,objectCountType
