profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
publicart_6-0-0,Acquisition,Acquisition source,Acquisition Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,acquisition,acquisitionSource
publicart_6-0-0,Acquisition,Owner,Acquisition Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,acquisition,owner
publicart_6-0-0,Acquisition,Funding source,Acquisition Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,acquisition,acquisitionFundingSource
publicart_6-0-0,Acquisition,Commissioning body,Commission Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,acquisition,commissioningBody
publicart_6-0-0,Citation,Term source name,Citation Information,Source,n,y,authority,citation/local; citation/worldcat,citation,termSource
publicart_6-0-0,Citation,Agent name,Citation Information,"",n,y,authority,person/local; organization/local,citation,agent
publicart_6-0-0,Citation,Related term,Citation Information,"",n,y,authority,concept/associated; concept/material,citation,relatedTerm
publicart_6-0-0,Object,Collection,Object Identification Information,"",y,n,authority,organization/local; organization/shared,collectionobject,publicartCollection
publicart_6-0-0,Object,Object count counted by,Object Identification Information,"",n,y,authority,person/local; person/shared,collectionobject,objectCountCountedBy
publicart_6-0-0,Object,Owner,Object Identification Information,Object Owner's Contribution Information,y,n,authority,person/local; person/shared; organization/local; organization/shared,collectionobject,owner
publicart_6-0-0,Object,Textual inscription inscriber,Object Description Information,Textual Inscription,n,y,authority,person/local; organization/local; organization/shared,collectionobject,inscriptionContentInscriber
publicart_6-0-0,Object,Artwork creator name,Object Production Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,collectionobject,publicartProductionPerson
publicart_6-0-0,Concept,Term source name,Concept Information,Source,n,y,authority,citation/local; citation/worldcat,concept,termSource
publicart_6-0-0,Conservation,Conservator,Conservation Treatment Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,conservation,conservator
publicart_6-0-0,Conservation,Other treatment party name,Conservation Treatment Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,conservation,otherParty
publicart_6-0-0,Conservation,Examination staff,Conservation Treatment Information,"",n,y,authority,person/local; person/shared,conservation,examinationStaff
publicart_6-0-0,Exhibition,Support name,Exhibition Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,exhibition,exhibitionSupport
publicart_6-0-0,Exhibition,Organizer,Exhibition Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,exhibition,organizer
publicart_6-0-0,Exhibition,Venue name,Exhibition Information,"",n,y,authority,organization/local; organization/shared; location/local; location/offsite; place/local; place/shared,exhibition,venue
publicart_6-0-0,Group,Checklist item assigned to,Checklist Information,"",n,y,authority,person/local; person/shared,group,checklistAssignee
publicart_6-0-0,Insurance/Indemnity,Quote provider,Insurance and Indemnity Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,insurance,insuranceIndemnityQuoteProvider
publicart_6-0-0,Intake,Current owner,Object Entry Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,intake,currentOwner
publicart_6-0-0,Intake,Depositor name,Object Entry Information,"",n,y,authority,person/local; person/shared; organization/local; organization/shared,intake,depositor
publicart_6-0-0,Intake,Approval individual,Object Entry Information,"",n,y,authority,person/local; person/shared,intake,approvalIndividual
publicart_6-0-0,Intake,Current location,Location Information,"",n,y,authority,location/local; location/offsite; organization/local; organization/shared; place/local; place/shared,intake,currentLocation
publicart_6-0-0,Intake,Condition check assessor,Condition Check Information,"",y,n,authority,person/local; person/shared; organization/local; organization/shared,intake,conditionCheckerOrAssessor
publicart_6-0-0,Loan In,Loan status individual,Loan In Information,"",n,y,authority,person/local; person/shared,loanin,loanIndividual
