status,fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
new,core collectionobject ns2:collectionobjects_common fieldCollectionPlace,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,fieldCollectionPlaces,fieldCollectionPlace,string,n,y,n,authority: place/local; authority: place/tgn,""
old,core collectionobject ns2:collectionobjects_common fieldCollectionPlace,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,"",fieldCollectionPlace,string,n,n,n/a,authority: place/local; authority: place/tgn,""
new,anthro collectionobject ns2:collectionobjects_anthro ethnoFileCode,anthro,collectionobject,ns2:collectionobjects_anthro,ns2:collectionobjects_anthro,collectionobjects_anthro.ethnoFileCode,Object Identification Information,"",Function,ethnoFileCodes,ethnoFileCode,string,n,y,n,authority: concept/ethfilecode,""
old,anthro collectionobject ns2:collectionobjects_anthro ethnoFileCode,anthro,collectionobject,ns2:collectionobjects_anthro,ns2:collectionobjects_anthro,collectionobjects_anthro.ethnoFileCode,Object Identification Information,"",Ethnographic file code,ethnoFileCodes,ethnoFileCode,string,n,y,n,authority: concept/ethfilecode,""
new,anthro collectionobject ns2:collectionobjects_common fieldCollectionPlace,anthro,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,fieldCollectionPlaces,fieldCollectionPlace,string,n,y,n,authority: place/local; authority: place/tgn,""
old,anthro collectionobject ns2:collectionobjects_common fieldCollectionPlace,anthro,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,"",fieldCollectionPlace,string,n,n,n/a,authority: place/local; authority: place/tgn,""
new,lhmc collectionobject ns2:collectionobjects_common fieldCollectionPlace,lhmc,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,fieldCollectionPlaces,fieldCollectionPlace,string,n,y,n,authority: place/local; authority: place/tgn,""
old,lhmc collectionobject ns2:collectionobjects_common fieldCollectionPlace,lhmc,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,"",fieldCollectionPlace,string,n,n,n/a,authority: place/local; authority: place/tgn,""
new,publicart conditioncheck ns2:conditionchecks_common condition,publicart,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.condition,Object Condition Information,Condition,Condition description,conditionCheckGroupList > conditionCheckGroup,condition,string,n,n,y,option list: conditions,"environmental issue, exhibitableneedswork, injeopardy, light/electronic replacement, missing hardware, needs cleaning, needs coating, needs repair, needsnowork, notexhibitablestable"
old,publicart conditioncheck ns2:conditionchecks_common condition,publicart,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.condition,Object Condition Information,Condition,Condition description,conditionCheckGroupList > conditionCheckGroup,condition,string,n,n,y,option list: conditions,"exhibitableneedswork, injeopardy, needsnowork, notexhibitablestable"
new,publicart objectexit ns2:objectexit_common exitReason,publicart,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.exitReason,Object Exit Information,"",Exit reason,"",exitReason,string,n,n,n/a,option list: exitReasons,"covered by construction, deaccession, disposal, lost to demolition, painted out, returnofloan, temporary, transfer"
old,publicart objectexit ns2:objectexit_common exitReason,publicart,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.exitReason,Object Exit Information,"",Exit reason,"",exitReason,string,n,n,n/a,option list: exitReasons,"deaccession, disposal, returnofloan"
new,bonsai collectionobject ns2:collectionobjects_common fieldCollectionPlace,bonsai,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,fieldCollectionPlaces,fieldCollectionPlace,string,n,y,n,authority: place/local; authority: place/tgn,""
old,bonsai collectionobject ns2:collectionobjects_common fieldCollectionPlace,bonsai,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionPlace,Object Collection Information,"",Field collection place,"",fieldCollectionPlace,string,n,n,n/a,authority: place/local; authority: place/tgn,""
