profile,ui_config,display_name,short_identifier,workflow_state,updated,csid,uri,refname,used_by
core,core_9-0-0,Acoustical Properties,acousticalproperties,project,2021-11-18T02:12:36.776Z,d672ed17-4020-48c3-99bd,/vocabularies/d672ed17-4020-48c3-99bd,urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties)'Acoustical Properties',not used
core,core_9-0-0,Additional Processes,additionalprocesses,project,2021-11-18T02:12:59.069Z,679d61b1-87fd-4c82-b3d6,/vocabularies/679d61b1-87fd-4c82-b3d6,urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses)'Additional Processes',not used
core,core_9-0-0,Additional Properties,additionalproperties,project,2021-11-18T02:12:45.449Z,f13cc783-8a64-445b-b427,/vocabularies/f13cc783-8a64-445b-b427,urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties)'Additional Properties',not used
core,core_9-0-0,Address Types,addresstype,project,2021-11-18T02:12:59.968Z,9e0a70de-99e6-4a61-ac46,/vocabularies/9e0a70de-99e6-4a61-ac46,urn:cspace:core.collectionspace.org:vocabularies:name(addresstype)'Address Types',PLACE: Place Information > Address type; WORK: Work Information > Address type
core,core_9-0-0,Agent Info Type,agentinfotype,project,2023-07-19T20:25:23.800Z,90007b24-db6c-4a74-bc86,/vocabularies/90007b24-db6c-4a74-bc86,urn:cspace:core.collectionspace.org:vocabularies:name(agentinfotype)'Agent Info Type',CITATION: Citation Information > Agent role
core,core_9-0-0,Age Qualifier,agequalifier,project,2021-11-18T02:12:12.311Z,4bef9c42-0664-4f3d-9dc5,/vocabularies/4bef9c42-0664-4f3d-9dc5,urn:cspace:core.collectionspace.org:vocabularies:name(agequalifier)'Age Qualifier',COLLECTIONOBJECT: Object Description Information > Age > Age qualifier
core,core_9-0-0,Annotation Type,annotationtype,project,2023-07-19T19:56:28.312Z,b1fe10b2-6ad5-4705-9e05,/vocabularies/b1fe10b2-6ad5-4705-9e05,urn:cspace:core.collectionspace.org:vocabularies:name(annotationtype)'Annotation Type',COLLECTIONOBJECT: Object Identification Information > Annotation type
core,core_9-0-0,Apparel sizes,apparelsizes,project,2023-09-15T02:58:47.947Z,c7f3a11b-0476-4191-b41c,/vocabularies/c7f3a11b-0476-4191-b41c,urn:cspace:core.collectionspace.org:vocabularies:name(apparelsizes)'Apparel sizes',COLLECTIONOBJECT: Object Description Information > Apparel size
core,core_9-0-0,Approval Group,deaccessionapprovalgroup,project,2023-06-07T17:37:57.979Z,cf1268e8-13ad-455f-8fcc,/vocabularies/cf1268e8-13ad-455f-8fcc,urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalgroup)'Approval Group',ACQUISITION: Acquisition Information > Approval; INTAKE: Object Entry Information > Approval; LOANIN: Loan In Information > Loan status group; LOANOUT: Loan Out Information > Loan status group; OBJECTEXIT: Deaccession and Disposal Information > Deaccession approval group
core,core_9-0-0,Approval Status,deaccessionapprovalstatus,project,2021-11-18T02:13:00.817Z,96b1ed8b-712b-41c1-8328,/vocabularies/96b1ed8b-712b-41c1-8328,urn:cspace:core.collectionspace.org:vocabularies:name(deaccessionapprovalstatus)'Approval Status',ACQUISITION: Acquisition Information > Approval status; INTAKE: Object Entry Information > Approval status; OBJECTEXIT: Deaccession and Disposal Information > Deaccession approval status
core,core_9-0-0,Artist Presence,artistpresence,project,2022-12-02T21:31:15.503Z,57ba2a7a-def9-423b-8e0f,/vocabularies/57ba2a7a-def9-423b-8e0f,urn:cspace:core.collectionspace.org:vocabularies:name(artistpresence)'Artist Presence',ITERATIONREPORT: Iteration Information > Artist present/represented presence
core,core_9-0-0,Aspect Ratios,aspectratios,project,2022-12-02T21:31:12.002Z,6b5af294-f126-41bc-85a7,/vocabularies/6b5af294-f126-41bc-85a7,urn:cspace:core.collectionspace.org:vocabularies:name(aspectratios)'Aspect Ratios',COLLECTIONOBJECT: Technical Specifications: Audio/Video/Still > Aspect ratio width:height
core,core_9-0-0,Aspect Ratio Types,aspectratiotypes,project,2022-12-02T21:31:12.437Z,b7c5f045-2844-4d99-8715,/vocabularies/b7c5f045-2844-4d99-8715,urn:cspace:core.collectionspace.org:vocabularies:name(aspectratiotypes)'Aspect Ratio Types',COLLECTIONOBJECT: Technical Specifications: Audio/Video/Still > Aspect ratio type
core,core_9-0-0,Assigned Significance,assignedsignificance,project,2022-12-02T21:30:59.890Z,9936a720-fc1f-4ae5-af38,/vocabularies/9936a720-fc1f-4ae5-af38,urn:cspace:core.collectionspace.org:vocabularies:name(assignedsignificance)'Assigned Significance',COLLECTIONOBJECT: Object Identification Information > Object significance level
