profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
anthro_9-0-0-3a22c87,chronology,chronology/era,y,9,"Chronology: Associated event/era (Associated Authorities)
NAGPRA Inventory: Time period era (Context)
Object: Associated controlled event or period/era (Object History and Association Information>Associations)
Object: Content controlled event or period/era (Object Description Information>Content)
Object: Production era (Object Production Information)
Person: Associated event/era (Associated Authorities)
Place: Associated event/era (Associated Authorities)
Repatriation Request: Time period era (Repatriation Request Context)
Summary Documentation: Time period era (Context)"
anthro_9-0-0-3a22c87,chronology,chronology/event,y,6,"Chronology: Associated event/era (Associated Authorities)
Object: Associated controlled event or period/era (Object History and Association Information>Associations)
Object: Content controlled event or period/era (Object Description Information>Content)
Object: Field collection event (Object Collection Information)
Person: Associated event/era (Associated Authorities)
Place: Associated event/era (Associated Authorities)"
anthro_9-0-0-3a22c87,chronology,chronology/fieldcollection,y,4,"Chronology: Associated event/era (Associated Authorities)
Object: Field collection event (Object Collection Information)
Person: Associated event/era (Associated Authorities)
Place: Associated event/era (Associated Authorities)"
anthro_9-0-0-3a22c87,citation,citation/local,y,36,"Chronology: Alternative date citation (Alternative Date Information)
Chronology: Associated concept citation (Associated Authorities)
Chronology: Associated event/era citation (Associated Authorities)
Chronology: Associated organization citation (Associated Authorities)
Chronology: Associated people citation (Associated Authorities)
Chronology: Associated person citation (Associated Authorities)
Chronology: Associated place citation (Associated Authorities)
Chronology: Resource identifier citation (Chronology Information)
Chronology: Term source name (Chronology Information>Source)
Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Bibliographic Reference Information>Bibliographic Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Associated concept citation (Associated Authorities)
Person: Associated event/era citation (Associated Authorities)
Person: Associated organization citation (Associated Authorities)
Person: Associated people citation (Associated Authorities)
Person: Associated person citation (Associated Authorities)
Person: Associated place citation (Associated Authorities)
Person: Term source name (Person Information>Source)
Place: Assertion reference name (Cultural Affiliation Lines of Evidence>Assertion Information)
Place: Associated concept citation (Associated Authorities)
Place: Associated event/era citation (Associated Authorities)
Place: Associated organization citation (Associated Authorities)
Place: Associated people citation (Associated Authorities)
Place: Associated person citation (Associated Authorities)
Place: Associated place citation (Associated Authorities)
Place: Published report reference (Documents Consulted for Cultural Affiliation Research)
Place: Term source name (Place Information>Source)
Place: Unpublished manuscript reference (Documents Consulted for Cultural Affiliation Research)
Storage Location: Term source name (Storage Location Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Common name source (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
anthro_9-0-0-3a22c87,citation,citation/worldcat,y,33,"Chronology: Alternative date citation (Alternative Date Information)
Chronology: Associated concept citation (Associated Authorities)
Chronology: Associated event/era citation (Associated Authorities)
Chronology: Associated organization citation (Associated Authorities)
Chronology: Associated people citation (Associated Authorities)
Chronology: Associated person citation (Associated Authorities)
Chronology: Associated place citation (Associated Authorities)
Chronology: Resource identifier citation (Chronology Information)
Chronology: Term source name (Chronology Information>Source)
Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Bibliographic Reference Information>Bibliographic Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Associated concept citation (Associated Authorities)
Person: Associated event/era citation (Associated Authorities)
Person: Associated organization citation (Associated Authorities)
Person: Associated people citation (Associated Authorities)
Person: Associated person citation (Associated Authorities)
Person: Associated place citation (Associated Authorities)
Person: Term source name (Person Information>Source)
Place: Assertion reference name (Cultural Affiliation Lines of Evidence>Assertion Information)
Place: Associated concept citation (Associated Authorities)
Place: Associated event/era citation (Associated Authorities)
Place: Associated organization citation (Associated Authorities)
Place: Associated people citation (Associated Authorities)
Place: Associated person citation (Associated Authorities)
Place: Associated place citation (Associated Authorities)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
anthro_9-0-0-3a22c87,concept,concept/activity,y,4,"Chronology: Associated concept (Associated Authorities)
Citation: Related term (Citation Information)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)"
anthro_9-0-0-3a22c87,concept,concept/archculture,y,9,"Chronology: Associated concept (Associated Authorities)
Claim: Cultural group involved name (Claim Context)
NAGPRA Inventory: Cultural group name (Context)
Object: Cultural determination culture (Repatriation and NAGPRA Compliance Information)
Object: Production cultural group (Object Production Information)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
anthro_9-0-0-3a22c87,concept,concept/associated,y,9,"Chronology: Associated concept (Associated Authorities)
Chronology: Associated people (Associated Authorities)
Citation: Related term (Citation Information)
Object: Associated concept (Object History and Association Information>Associations)
Object: Content concept (Object Description Information>Content)
Person: Associated concept (Associated Authorities)
Person: Associated people (Associated Authorities)
Place: Associated concept (Associated Authorities)
Place: Associated people (Associated Authorities)"
anthro_9-0-0-3a22c87,concept,concept/ethculture,y,7,"Claim: Cultural group involved name (Claim Context)
Intake: Field collection source (Object Collection Information)
NAGPRA Inventory: Cultural group name (Context)
Object: Cultural determination culture (Repatriation and NAGPRA Compliance Information)
Object: Production cultural group (Object Production Information)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
anthro_9-0-0-3a22c87,concept,concept/ethfilecode,y,1,Object: Function (Object Identification Information)
