profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
botgarden_4-0-0-7fc64b3,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,n,y,"",""
botgarden_4-0-0-7fc64b3,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,n,y,"",""
botgarden_4-0-0-7fc64b3,Object,collectionobject,Object Identification Information,Identification by,Taxonomic identification date,identDateGroup,ns2:collectionobjects_naturalhistory_extension.identDateGroup,identDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Object,collectionobject,Locality Information,Georeference Detail,Georeference date,geoRefDateGroup,ns2:collectionobjects_naturalhistory_extension.geoRefDateGroup,geoRefDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Object,collectionobject,Field Collection Information,"",Field collection date,fieldCollectionDateGroup,ns2:collectionobjects_common.fieldCollectionDateGroup,fieldCollectionDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Object,collectionobject,Object History and Association Information,Associations,Associated date value,assocStructuredDateGroup,ns2:collectionobjects_common.assocStructuredDateGroup,assocStructuredDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Object,collectionobject,Object History and Association Information,"",Ownership date,ownershipDateGroup,ns2:collectionobjects_common.ownershipDateGroup,ownershipDateGroup,y,n,"",""
botgarden_4-0-0-7fc64b3,Object Exit,exit,Sale Information,"",Sale/auction date,saleDate,ns2:exits_common.saleDate,saleDate,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Media Handling,media,Media Handling Information,"",Date,dateGroup,ns2:media_common.dateGroup,dateGroup,y,n,"",""
botgarden_4-0-0-7fc64b3,Object Exit (Legacy),objectexit,Distribution Information,"",Date,exitDateGroup,ns2:objectexit_common.exitDateGroup,exitDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Organization,organization,Organization Information,"",Foundation date,foundingDateGroup,ns2:organizations_common.foundingDateGroup,foundingDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Organization,organization,Organization Information,"",Dissolution date,dissolutionDateGroup,ns2:organizations_common.dissolutionDateGroup,dissolutionDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Organization,organization,Organization Information,"",Contact date,contactDateGroup,ns2:organizations_common.contactDateGroup,contactDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Organization,organization,Organization Information,"",Contact end date,contactEndDateGroup,ns2:organizations_common.contactEndDateGroup,contactEndDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Person,person,Person Information,"",Birth date,birthDateGroup,ns2:persons_common.birthDateGroup,birthDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Person,person,Person Information,"",Death date,deathDateGroup,ns2:persons_common.deathDateGroup,deathDateGroup,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Person,person,Maker-Supplied Identity Information,"",Birth date supplied,suppliedStructuredBirthDateGroup,ns2:persons_common.suppliedStructuredBirthDateGroup,suppliedStructuredBirthDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Place,place,Place Information,"",Term date,nameDateGroup,ns2:places_common.nameDateGroup,nameDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Place,place,Place Information,"",Ownership date,ownershipDateGroup,ns2:places_common.ownershipDateGroup,ownershipDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Place,place,Georeference Information,"",Georeference date,geoRefDateGroup,ns2:places_common.geoRefDateGroup,geoRefDateGroup,n,y,"",""
botgarden_4-0-0-7fc64b3,Restricted Media Handling,restrictedmedia,Media Handling Information,"",Date,dateGroup,ns2:restrictedmedia_common.dateGroup,dateGroup,y,n,"",""
botgarden_4-0-0-7fc64b3,Work,work,Work Information,"",Work date,workDateGroup,ns2:works_common.workDateGroup,workDateGroup,y,n,"",""
botgarden_4-0-0-7fc64b3,Propagation,propagation,Propagation Information,"",Propagation date,propDate,ns2:propagations_common.propDate,propDate,n,n/a,"",""
botgarden_4-0-0-7fc64b3,Propagation,propagation,Propagation Information,Activities,Activity date,activityDate,ns2:propagations_common.activityDate,activityDate,n,y,"",""
