profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
core_10-0-0,chronology,chronology/era,y,9,"Chronology: Associated event/era (Associated Authorities)
NAGPRA Inventory: Time period era (Context)
Object: Associated controlled event or period/era (Object History and Association Information>Associations)
Object: Content controlled event or period/era (Object Description Information>Content)
Object: Production era (Object Production Information)
Person: Associated event/era (Associated Authorities)
Place: Associated event/era (Associated Authorities)
Repatriation Request: Time period era (Repatriation Request Context)
Summary Documentation: Time period era (Context)"
core_10-0-0,chronology,chronology/event,y,5,"Chronology: Associated event/era (Associated Authorities)
Object: Associated controlled event or period/era (Object History and Association Information>Associations)
Object: Content controlled event or period/era (Object Description Information>Content)
Person: Associated event/era (Associated Authorities)
Place: Associated event/era (Associated Authorities)"
core_10-0-0,citation,citation/local,y,30,"Chronology: Alternative date citation (Alternative Date Information)
Chronology: Associated concept citation (Associated Authorities)
Chronology: Associated event/era citation (Associated Authorities)
Chronology: Associated organization citation (Associated Authorities)
Chronology: Associated people citation (Associated Authorities)
Chronology: Associated person citation (Associated Authorities)
Chronology: Associated place citation (Associated Authorities)
Chronology: Resource identifier citation (Chronology Information)
Chronology: Term source name (Chronology Information>Source)
Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Reference Information>Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Associated concept citation (Associated Authorities)
Person: Associated event/era citation (Associated Authorities)
Person: Associated organization citation (Associated Authorities)
Person: Associated people citation (Associated Authorities)
Person: Associated person citation (Associated Authorities)
Person: Associated place citation (Associated Authorities)
Person: Term source name (Person Information>Source)
Place: Associated concept citation (Associated Authorities)
Place: Associated event/era citation (Associated Authorities)
Place: Associated organization citation (Associated Authorities)
Place: Associated people citation (Associated Authorities)
Place: Associated person citation (Associated Authorities)
Place: Associated place citation (Associated Authorities)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
core_10-0-0,citation,citation/worldcat,y,30,"Chronology: Alternative date citation (Alternative Date Information)
Chronology: Associated concept citation (Associated Authorities)
Chronology: Associated event/era citation (Associated Authorities)
Chronology: Associated organization citation (Associated Authorities)
Chronology: Associated people citation (Associated Authorities)
Chronology: Associated person citation (Associated Authorities)
Chronology: Associated place citation (Associated Authorities)
Chronology: Resource identifier citation (Chronology Information)
Chronology: Term source name (Chronology Information>Source)
Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Reference Information>Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Associated concept citation (Associated Authorities)
Person: Associated event/era citation (Associated Authorities)
Person: Associated organization citation (Associated Authorities)
Person: Associated people citation (Associated Authorities)
Person: Associated person citation (Associated Authorities)
Person: Associated place citation (Associated Authorities)
Person: Term source name (Person Information>Source)
Place: Associated concept citation (Associated Authorities)
Place: Associated event/era citation (Associated Authorities)
Place: Associated organization citation (Associated Authorities)
Place: Associated people citation (Associated Authorities)
Place: Associated person citation (Associated Authorities)
Place: Associated place citation (Associated Authorities)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
core_10-0-0,concept,concept/activity,y,4,"Chronology: Associated concept (Associated Authorities)
Citation: Related term (Citation Information)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)"
core_10-0-0,concept,concept/archculture,y,3,"NAGPRA Inventory: Cultural group name (Context)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
core_10-0-0,concept,concept/associated,y,9,"Chronology: Associated concept (Associated Authorities)
Chronology: Associated people (Associated Authorities)
Citation: Related term (Citation Information)
Object: Associated concept (Object History and Association Information>Associations)
Object: Content concept (Object Description Information>Content)
Person: Associated concept (Associated Authorities)
Person: Associated people (Associated Authorities)
Place: Associated concept (Associated Authorities)
Place: Associated people (Associated Authorities)"
core_10-0-0,concept,concept/ethculture,y,4,"Intake: Field collection source (Object Collection Information)
NAGPRA Inventory: Cultural group name (Context)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
core_10-0-0,concept,concept/material,y,6,"Chronology: Associated concept (Associated Authorities)
Citation: Related term (Citation Information)
Object: Content concept (Object Description Information>Content)
Object: Material controlled (Object Description Information)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)"
core_10-0-0,concept,concept/nomenclature,y,4,"Chronology: Associated concept (Associated Authorities)
Object: Object name controlled (Object Identification Information)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)"
core_10-0-0,concept,concept/occasion,y,4,"Chronology: Associated concept (Associated Authorities)
Person: Associated concept (Associated Authorities)
Place: Associated concept (Associated Authorities)
Use of Collections: Occasion (Use of Collections Information)"
core_10-0-0,location,location/local,y,7,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)
Use of Collections: Location (Use of Collections Information)"
core_10-0-0,location,location/offsite,y,6,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)"
