profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
herbarium_3-0-0,citation,citation/local,y,12,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Reference Information>Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Common name source (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
herbarium_3-0-0,citation,citation/worldcat,y,11,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Exhibition: Bibliographic reference (Exhibition Information)
Object: Reference (Reference Information>Reference Information)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
herbarium_3-0-0,concept,concept/activity,y,1,Citation: Related term (Citation Information)
herbarium_3-0-0,concept,concept/archculture,n,0,""
herbarium_3-0-0,concept,concept/associated,y,3,"Citation: Related term (Citation Information)
Object: Associated concept (Object History and Association Information>Associations)
Object: Content concept (Object Description Information>Content)"
herbarium_3-0-0,concept,concept/ethculture,y,1,Intake: Field collection source (Object Collection Information)
herbarium_3-0-0,concept,concept/labeltext,y,2,"Object: Label footer (Object Identification Information)
Object: Label header (Object Identification Information)"
herbarium_3-0-0,concept,concept/material,y,2,"Citation: Related term (Citation Information)
Object: Content concept (Object Description Information>Content)"
herbarium_3-0-0,concept,concept/nomenclature,n,0,""
herbarium_3-0-0,concept,concept/occasion,y,1,Use of Collections: Occasion (Use of Collections Information)
herbarium_3-0-0,location,location/local,y,6,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Use of Collections: Location (Use of Collections Information)"
