profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
materials_4-0-1-723a443,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourcePersonShared; acquisitionSourceOrganizationLocal; acquisitionSourceOrganizationShared; acquisitionSourceRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,n,y,authority; refname,citation/local; citation/shared; authority refname
materials_4-0-1-723a443,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentOrganizationLocal; agentRefname,n,y,authority; refname,person/local; organization/local; authority refname
materials_4-0-1-723a443,Object,collectionobject,Object Identification Information,"",Material,material,ns2:collectionobjects_common.material,materialMaterialLocal; materialMaterialShared; materialRefname,y,n,authority; refname,material/local; material/shared; authority refname
materials_4-0-1-723a443,Object,collectionobject,Object Identification Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorPersonShared; annotationAuthorRefname,n,y,authority; refname,person/local; person/shared; authority refname
materials_4-0-1-723a443,Concept,concept,Concept Information,Source,Term source name,termSource,ns2:concepts_common.termSource,termSourceCitationLocal; termSourceCitationShared; termSourceRefname,n,y,authority; refname,citation/local; citation/shared; authority refname
materials_4-0-1-723a443,Conservation,conservation,Conservation Treatment Information,"",Conservator,conservator,ns2:conservation_common.conservator,conservatorPersonLocal; conservatorPersonShared; conservatorOrganizationLocal; conservatorOrganizationShared; conservatorRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Conservation,conservation,Conservation Treatment Information,"",Other treatment party name,otherParty,ns2:conservation_common.otherParty,otherPartyPersonLocal; otherPartyPersonShared; otherPartyOrganizationLocal; otherPartyOrganizationShared; otherPartyRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
materials_4-0-1-723a443,Conservation,conservation,Conservation Treatment Information,"",Examination staff,examinationStaff,ns2:conservation_common.examinationStaff,examinationStaffPersonLocal; examinationStaffPersonShared; examinationStaffRefname,n,y,authority; refname,person/local; person/shared; authority refname
materials_4-0-1-723a443,Conservation,conservation,Object Analysis Information,"",Destructive analysis sample taken by,sampleBy,ns2:conservation_common.sampleBy,sampleByPersonLocal; sampleByPersonShared; sampleByRefname,n,y,authority; refname,person/local; person/shared; authority refname
