profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
publicart_6-1-0-98829f0,citation,citation/local,y,7,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
publicart_6-1-0-98829f0,citation,citation/worldcat,y,7,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
publicart_6-1-0-98829f0,concept,concept/archculture,y,3,"NAGPRA Inventory: Cultural group name (Context)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
publicart_6-1-0-98829f0,concept,concept/associated,y,2,"Citation: Related term (Citation Information)
Object: Artwork tag (Object Identification Information)"
publicart_6-1-0-98829f0,concept,concept/ethculture,y,3,"NAGPRA Inventory: Cultural group name (Context)
Repatriation Request: Cultural group name (Repatriation Request Context)
Summary Documentation: Cultural group name (Context)"
publicart_6-1-0-98829f0,concept,concept/material,y,2,"Citation: Related term (Citation Information)
Object: Material (Object Description Information)"
publicart_6-1-0-98829f0,concept,concept/nomenclature,n,0,""
publicart_6-1-0-98829f0,concept,concept/occasion,y,1,Use of Collections: Occasion (Use of Collections Information)
publicart_6-1-0-98829f0,concept,concept/worktype,y,1,Object: Work type (Object Identification Information)
publicart_6-1-0-98829f0,location,location/local,y,6,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Object: Computed current location (Object Identification Information)
Use of Collections: Location (Use of Collections Information)"
publicart_6-1-0-98829f0,location,location/offsite,y,5,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Object: Computed current location (Object Identification Information)"
