profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
publicart_6-1-0-98829f0,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourcePersonShared; acquisitionSourceOrganizationLocal; acquisitionSourceOrganizationShared; acquisitionSourceRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Acquisition,acquisition,Acquisition Information,"",Owner,owner,ns2:acquisitions_common.owner,ownerPersonLocal; ownerPersonShared; ownerOrganizationLocal; ownerOrganizationShared; ownerRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Acquisition,acquisition,Acquisition Information,"",Funding source,acquisitionFundingSource,ns2:acquisitions_common.acquisitionFundingSource,acquisitionFundingSourcePersonLocal; acquisitionFundingSourcePersonShared; acquisitionFundingSourceOrganizationLocal; acquisitionFundingSourceOrganizationShared; acquisitionFundingSourceRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Acquisition,acquisition,Commission Information,"",Commissioning body,commissioningBody,ns2:acquisitions_commission.commissioningBody,commissioningBodyPersonLocal; commissioningBodyPersonShared; commissioningBodyOrganizationLocal; commissioningBodyOrganizationShared; commissioningBodyRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentOrganizationLocal; agentRefname,n,y,authority; refname,person/local; organization/local; authority refname
publicart_6-1-0-98829f0,Citation,citation,Citation Information,"",Related term,relatedTerm,ns2:citations_common.relatedTerm,relatedTermConceptAssociated; relatedTermConceptMaterial; relatedTermRefname,n,y,authority; refname,concept/associated; concept/material; authority refname
publicart_6-1-0-98829f0,Repatriation Request,repatriationrequest,Repatriation Request Context,"",Cultural group name,culture,ns2:repatriationrequests_common.culture,cultureConceptEthculture; cultureConceptArchculture; cultureRefname,n,y,authority; refname,concept/ethculture; concept/archculture; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Identification Information,"",Collection,publicartCollection,ns2:collectionobjects_publicart.publicartCollection,publicartCollectionOrganizationLocal; publicartCollectionOrganizationShared; publicartCollectionRefname,y,n,authority; refname,organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Identification Information,"",Object count counted by,objectCountCountedBy,ns2:collectionobjects_common.objectCountCountedBy,objectCountCountedByPersonLocal; objectCountCountedByPersonShared; objectCountCountedByRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Identification Information,Object Owner's Contribution Information,Owner,owner,ns2:collectionobjects_common.owner,ownerPersonLocal; ownerPersonShared; ownerOrganizationLocal; ownerOrganizationShared; ownerRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription inscriber,inscriptionContentInscriber,ns2:collectionobjects_common.inscriptionContentInscriber,inscriptionContentInscriberPersonLocal; inscriptionContentInscriberOrganizationLocal; inscriptionContentInscriberOrganizationShared; inscriptionContentInscriberRefname,n,y,authority; refname,person/local; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Production Information,"",Artwork creator name,publicartProductionPerson,ns2:collectionobjects_publicart.publicartProductionPerson,publicartProductionPersonPersonLocal; publicartProductionPersonPersonShared; publicartProductionPersonOrganizationLocal; publicartProductionPersonOrganizationShared; publicartProductionPersonRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Object,collectionobject,Object Production Information,"",Annotation author,annotationAuthor,ns2:collectionobjects_annotation.annotationAuthor,annotationAuthorPersonLocal; annotationAuthorPersonShared; annotationAuthorRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Concept,concept,Concept Information,Source,Term source name,termSource,ns2:concepts_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
publicart_6-1-0-98829f0,Conservation,conservation,Conservation Treatment Information,"",Conservator,conservator,ns2:conservation_common.conservator,conservatorPersonLocal; conservatorPersonShared; conservatorOrganizationLocal; conservatorOrganizationShared; conservatorRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Conservation,conservation,Conservation Treatment Information,"",Other treatment party name,otherParty,ns2:conservation_common.otherParty,otherPartyPersonLocal; otherPartyPersonShared; otherPartyOrganizationLocal; otherPartyOrganizationShared; otherPartyRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Conservation,conservation,Conservation Treatment Information,"",Examination staff,examinationStaff,ns2:conservation_common.examinationStaff,examinationStaffPersonLocal; examinationStaffPersonShared; examinationStaffRefname,n,y,authority; refname,person/local; person/shared; authority refname
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Support name,exhibitionSupport,ns2:exhibitions_publicart.exhibitionSupport,exhibitionSupportPersonLocal; exhibitionSupportPersonShared; exhibitionSupportOrganizationLocal; exhibitionSupportOrganizationShared; exhibitionSupportRefname,n,y,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Organizer,organizer,ns2:exhibitions_common.organizer,organizerPersonLocal; organizerPersonShared; organizerOrganizationLocal; organizerOrganizationShared; organizerRefname,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname
publicart_6-1-0-98829f0,Exhibition,exhibition,Exhibition Information,"",Venue name,venue,ns2:exhibitions_common.venue,venueOrganizationLocal; venueOrganizationShared; venueLocationLocal; venueLocationOffsite; venuePlaceLocal; venuePlaceShared; venueRefname,n,y,authority; refname,organization/local; organization/shared; location/local; location/offsite; place/local; place/shared; authority refname
publicart_6-1-0-98829f0,Object Exit,exit,Object Exit Information,"",Owner after exit,owner,ns2:exits_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,y,n,authority; refname,person/local; organization/local; authority refname
