profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Reference number,acquisitionReferenceNumber,ns2:acquisitions_common.acquisitionReferenceNumber,acquisitionReferenceNumber,string,y,n,n/a,"","",""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Accession date,accessionDate,ns2:acquisitions_publicart.accessionDate,accessionDate,date,n,n,n/a,"","",""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorizer,acquisitionAuthorizer,ns2:acquisitions_common.acquisitionAuthorizer,acquisitionAuthorizerPersonLocal; acquisitionAuthorizerRefname,string,n,n,n/a,authority; refname,person/local; authority refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorization date,acquisitionAuthorizerDate,ns2:acquisitions_common.acquisitionAuthorizerDate,acquisitionAuthorizerDate,date,n,n,n/a,"","",""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDate,ns2:acquisitions_publicart.acquisitionDate,acquisitionDate,date,n,y,n,"","",""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition method,acquisitionMethod,ns2:acquisitions_common.acquisitionMethod,acquisitionMethod; acquisitionMethodRefname,string,n,n,n/a,vocabulary; refname,acquisitionmethod; vocabulary refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourcePersonShared; acquisitionSourceOrganizationLocal; acquisitionSourceOrganizationShared; acquisitionSourceRefname,string,n,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Owner,owner,ns2:acquisitions_common.owner,ownerPersonLocal; ownerPersonShared; ownerOrganizationLocal; ownerOrganizationShared; ownerRefname,string,n,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition reason,acquisitionReason,ns2:acquisitions_common.acquisitionReason,acquisitionReason,string,n,n,n/a,"","",""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Approval,approvalGroup,ns2:acquisitions_common.approvalGroup,approvalGroup; approvalGroupRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalgroup; vocabulary refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Approval individual,approvalIndividual,ns2:acquisitions_common.approvalIndividual,approvalIndividualPersonLocal; approvalIndividualRefname,string,n,n,y,authority; refname,person/local; authority refname,""
publicart_7-0-0,Acquisition,acquisition,Acquisition Information,"",Approval status,approvalStatus,ns2:acquisitions_common.approvalStatus,approvalStatus; approvalStatusRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalstatus; vocabulary refname,""
