profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
core_9-0-0,work,work/cona,n,0,""
bonsai_6-0-0,concept,concept/nomenclature,n,0,""
bonsai_6-0-0,work,work/cona,n,0,""
botgarden_3-1-1,concept,concept/conservation,n,0,""
botgarden_3-1-1,concept,concept/nomenclature,n,0,""
botgarden_3-1-1,location,location/offsite,n,0,""
botgarden_3-1-1,taxon,taxon/common,n,0,""
botgarden_3-1-1,work,work/cona,n,0,""
materials_4-0-0,concept,concept/nomenclature,n,0,""
publicart_6-0-0,concept,concept/nomenclature,n,0,""
publicart_6-0-0,work,work/local,n,0,""
lhmc_7-0-0,work,work/cona,n,0,""
anthro_8-0-0,taxon,taxon/common,n,0,""
anthro_8-0-0,work,work/cona,n,0,""
herbarium_2-0-12,concept,concept/nomenclature,n,0,""
herbarium_2-0-12,work,work/cona,n,0,""
