profile,id,label
core_10-0-0-fd57a64,acquisition.acquisitionReferenceNumber,Acquisition Information > Reference number
core_10-0-0-fd57a64,acquisition.accessionDateGroup,Acquisition Information > Accession date
core_10-0-0-fd57a64,acquisition.acquisitionAuthorizer,Acquisition Information > Authorization > Authorizer
core_10-0-0-fd57a64,acquisition.acquisitionAuthorizerDate,Acquisition Information > Authorization > Authorization date
core_10-0-0-fd57a64,acquisition.acquisitionDateGroup,Acquisition Information > Acquisition date
core_10-0-0-fd57a64,acquisition.acquisitionMethod,Acquisition Information > Acquisition method
core_10-0-0-fd57a64,acquisition.acquisitionSource,Acquisition Information > Acquisition source
core_10-0-0-fd57a64,acquisition.owner,Acquisition Information > Owner
core_10-0-0-fd57a64,acquisition.transferOfTitleNumber,Acquisition Information > Transfer of title number
core_10-0-0-fd57a64,acquisition.groupPurchasePriceCurrency,Acquisition Information > Price Information > Group purchase price > Group purchase price currency
core_10-0-0-fd57a64,acquisition.groupPurchasePriceValue,Acquisition Information > Price Information > Group purchase price > Group purchase price value
core_10-0-0-fd57a64,acquisition.objectOfferPriceCurrency,Acquisition Information > Price Information > Object offer price > Object offer price currency
core_10-0-0-fd57a64,acquisition.objectOfferPriceValue,Acquisition Information > Price Information > Object offer price > Object offer price value
core_10-0-0-fd57a64,acquisition.objectPurchaseOfferPriceCurrency,Acquisition Information > Price Information > Object purchaser offer price > Object purchaser offer price currency
core_10-0-0-fd57a64,acquisition.objectPurchaseOfferPriceValue,Acquisition Information > Price Information > Object purchaser offer price > Object purchaser offer price value
core_10-0-0-fd57a64,acquisition.objectPurchasePriceCurrency,Acquisition Information > Price Information > Object purchase price > Object purchase price currency
core_10-0-0-fd57a64,acquisition.objectPurchasePriceValue,Acquisition Information > Price Information > Object purchase price > Object purchase price value
core_10-0-0-fd57a64,acquisition.originalObjectPurchasePriceCurrency,Acquisition Information > Price Information > Original object purchase price > Original object purchase price currency
core_10-0-0-fd57a64,acquisition.originalObjectPurchasePriceValue,Acquisition Information > Price Information > Original object purchase price > Original object purchase price value
core_10-0-0-fd57a64,acquisition.acquisitionReason,Acquisition Information > Acquisition reason
core_10-0-0-fd57a64,acquisition.approvalGroup,Acquisition Information > Approval
core_10-0-0-fd57a64,acquisition.approvalIndividual,Acquisition Information > Approval individual
core_10-0-0-fd57a64,acquisition.approvalStatus,Acquisition Information > Approval status
core_10-0-0-fd57a64,acquisition.approvalDate,Acquisition Information > Approval status date
core_10-0-0-fd57a64,acquisition.approvalNote,Acquisition Information > Approval note
core_10-0-0-fd57a64,acquisition.acquisitionNote,Acquisition Information > Note
core_10-0-0-fd57a64,acquisition.acquisitionProvisos,Acquisition Information > Provisos
core_10-0-0-fd57a64,acquisition.acquisitionFundingCurrency,Acquisition Information > Funding currency
core_10-0-0-fd57a64,acquisition.acquisitionFundingValue,Acquisition Information > Funding value
core_10-0-0-fd57a64,acquisition.acquisitionFundingSource,Acquisition Information > Funding source
core_10-0-0-fd57a64,acquisition.acquisitionFundingSourceProvisos,Acquisition Information > Funding source provisos
core_10-0-0-fd57a64,acquisition.creditLine,Acquisition Information > Credit line
core_10-0-0-fd57a64,acquisition.fieldCollectionEventName,Object Collection Information > Field collection event name
core_10-0-0-fd57a64,citation.termDisplayName,Citation Information > Term display name
core_10-0-0-fd57a64,citation.termStatus,Citation Information > Term status
core_10-0-0-fd57a64,citation.termType,Citation Information > Term type
core_10-0-0-fd57a64,citation.termFlag,Citation Information > Term flag
core_10-0-0-fd57a64,citation.termLanguage,Citation Information > Term language
core_10-0-0-fd57a64,citation.termPrefForLang,Citation Information > Term preferred for lang
core_10-0-0-fd57a64,citation.termFullCitation,Citation Information > Term full citation
core_10-0-0-fd57a64,citation.termTitle,Citation Information > Term title
core_10-0-0-fd57a64,citation.termSubTitle,Citation Information > Term subtitle
core_10-0-0-fd57a64,citation.termSectionTitle,Citation Information > Term section title
core_10-0-0-fd57a64,citation.termVolume,Citation Information > Term volume
core_10-0-0-fd57a64,citation.termIssue,Citation Information > Term issue
core_10-0-0-fd57a64,citation.termSource,Citation Information > Source > Term source name
core_10-0-0-fd57a64,citation.termSourceDetail,Citation Information > Source > Term source detail
core_10-0-0-fd57a64,citation.termSourceID,Citation Information > Source > Term source ID
core_10-0-0-fd57a64,citation.termSourceNote,Citation Information > Source > Term source note
core_10-0-0-fd57a64,citation.publisher,Citation Information > Publisher
core_10-0-0-fd57a64,citation.publicationPlace,Citation Information > Publication place
core_10-0-0-fd57a64,citation.publicationDate,Citation Information > Publication date
core_10-0-0-fd57a64,citation.edition,Citation Information > Publication edition
core_10-0-0-fd57a64,citation.pages,Citation Information > Publication page(s)
core_10-0-0-fd57a64,citation.agent,Citation Information > Agent name
core_10-0-0-fd57a64,citation.role,Citation Information > Agent role
core_10-0-0-fd57a64,citation.note,Citation Information > Agent note
core_10-0-0-fd57a64,citation.citationNote,Citation Information > Note
core_10-0-0-fd57a64,citation.resourceIdent,Citation Information > Resource identifier
core_10-0-0-fd57a64,citation.type,Citation Information > Resource identifier type
core_10-0-0-fd57a64,citation.captureDate,Citation Information > Resource identifier capture date
core_10-0-0-fd57a64,citation.relatedTerm,Citation Information > Related term
core_10-0-0-fd57a64,citation.relationType,Citation Information > Related term type
core_10-0-0-fd57a64,chronology.termDisplayName,Chronology Information > Term display name
core_10-0-0-fd57a64,chronology.termName,Chronology Information > Term name
core_10-0-0-fd57a64,chronology.termQualifier,Chronology Information > Term qualifier
core_10-0-0-fd57a64,chronology.termStatus,Chronology Information > Term status
core_10-0-0-fd57a64,chronology.termType,Chronology Information > Term type
core_10-0-0-fd57a64,chronology.termFlag,Chronology Information > Term flag
core_10-0-0-fd57a64,chronology.historicalStatus,Chronology Information > Term historical status
core_10-0-0-fd57a64,chronology.termLanguage,Chronology Information > Term language
core_10-0-0-fd57a64,chronology.termPrefForLang,Chronology Information > Term preferred for lang
core_10-0-0-fd57a64,chronology.termSource,Chronology Information > Source > Term source name
core_10-0-0-fd57a64,chronology.termSourceDetail,Chronology Information > Source > Term source detail
core_10-0-0-fd57a64,chronology.termSourceID,Chronology Information > Source > Term source ID
core_10-0-0-fd57a64,chronology.termSourceNote,Chronology Information > Source > Term source note
core_10-0-0-fd57a64,chronology.primaryDateRangeStructuredDateGroup,Chronology Information > Primary date range
core_10-0-0-fd57a64,chronology.chronologyType,Chronology Information > Chronology type
core_10-0-0-fd57a64,chronology.spatialCoverage,Chronology Information > Spatial coverage
core_10-0-0-fd57a64,chronology.chronologyDescription,Chronology Information > Chronology description
core_10-0-0-fd57a64,chronology.chronologyNote,Chronology Information > Chronology note
core_10-0-0-fd57a64,chronology.identifierValue,Chronology Information > Resource identifier value
core_10-0-0-fd57a64,chronology.identifierCitation,Chronology Information > Resource identifier citation
core_10-0-0-fd57a64,chronology.identifierDate,Chronology Information > Resource identifier date
core_10-0-0-fd57a64,chronology.altDateRangeStructuredDateGroup,Alternative Date Information > Alternative date range
core_10-0-0-fd57a64,chronology.altDateSpatialCoverage,Alternative Date Information > Alternative date spatial coverage
core_10-0-0-fd57a64,chronology.altDateCitation,Alternative Date Information > Alternative date citation
core_10-0-0-fd57a64,chronology.altDateNote,Alternative Date Information > Alternative date note
core_10-0-0-fd57a64,chronology.assocPerson,Associated Authorities > Associated person
core_10-0-0-fd57a64,chronology.assocPersonType,Associated Authorities > Associated person relationship/type
core_10-0-0-fd57a64,chronology.assocPersonStructuredDateGroup,Associated Authorities > Associated person date
core_10-0-0-fd57a64,chronology.assocPersonCitation,Associated Authorities > Associated person citation
core_10-0-0-fd57a64,chronology.assocPersonNote,Associated Authorities > Associated person note
core_10-0-0-fd57a64,chronology.assocPeople,Associated Authorities > Associated people
core_10-0-0-fd57a64,chronology.assocPeopleType,Associated Authorities > Associated people relationship/type
core_10-0-0-fd57a64,chronology.assocPeopleStructuredDateGroup,Associated Authorities > Associated people date
core_10-0-0-fd57a64,chronology.assocPeopleCitation,Associated Authorities > Associated people citation
core_10-0-0-fd57a64,chronology.assocPeopleNote,Associated Authorities > Associated people note
core_10-0-0-fd57a64,chronology.assocOrganization,Associated Authorities > Associated organization
core_10-0-0-fd57a64,chronology.assocOrganizationType,Associated Authorities > Associated organization relationship/type
core_10-0-0-fd57a64,chronology.assocOrganizationStructuredDateGroup,Associated Authorities > Associated organization date
core_10-0-0-fd57a64,chronology.assocOrganizationCitation,Associated Authorities > Associated organization citation
core_10-0-0-fd57a64,chronology.assocOrganizationNote,Associated Authorities > Associated organization note
core_10-0-0-fd57a64,chronology.assocConcept,Associated Authorities > Associated concept
core_10-0-0-fd57a64,chronology.assocConceptType,Associated Authorities > Associated concept relationship/type
core_10-0-0-fd57a64,chronology.assocConceptStructuredDateGroup,Associated Authorities > Associated concept date
core_10-0-0-fd57a64,chronology.assocConceptCitation,Associated Authorities > Associated concept citation
core_10-0-0-fd57a64,chronology.assocConceptNote,Associated Authorities > Associated concept note
core_10-0-0-fd57a64,chronology.assocPlace,Associated Authorities > Associated place
core_10-0-0-fd57a64,chronology.assocPlaceType,Associated Authorities > Associated place relationship/type
core_10-0-0-fd57a64,chronology.assocPlaceStructuredDateGroup,Associated Authorities > Associated place date
core_10-0-0-fd57a64,chronology.assocPlaceCitation,Associated Authorities > Associated place citation
core_10-0-0-fd57a64,chronology.assocPlaceNote,Associated Authorities > Associated place note
core_10-0-0-fd57a64,chronology.assocChronology,Associated Authorities > Associated event/era
core_10-0-0-fd57a64,chronology.assocChronologyType,Associated Authorities > Associated event/era relationship/type
core_10-0-0-fd57a64,chronology.assocChronologyStructuredDateGroup,Associated Authorities > Associated event/era date
core_10-0-0-fd57a64,chronology.assocChronologyCitation,Associated Authorities > Associated event/era citation
core_10-0-0-fd57a64,chronology.assocChronologyNote,Associated Authorities > Associated event/era note
