profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
botgarden_4-0-0,citation,citation/local,y,9,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Common name source (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
botgarden_4-0-0,citation,citation/worldcat,y,8,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Taxon: Citation (Taxonomic Name Information)
Taxon: Term source name (Taxonomic Name Information>Source)
Work: Term source name (Work Information>Source)"
botgarden_4-0-0,concept,concept/activity,y,1,Citation: Related term (Citation Information)
botgarden_4-0-0,concept,concept/archculture,n,0,""
botgarden_4-0-0,concept,concept/associated,y,2,"Citation: Related term (Citation Information)
Propagation: Medium (Propagation Information>Activities)"
botgarden_4-0-0,concept,concept/class,y,1,Object: Accession used in (Accession Use Information)
botgarden_4-0-0,concept,concept/conservation,n,0,""
botgarden_4-0-0,concept,concept/ethculture,n,0,""
botgarden_4-0-0,concept,concept/material,y,1,Citation: Related term (Citation Information)
botgarden_4-0-0,concept,concept/nomenclature,n,0,""
botgarden_4-0-0,concept,concept/occasion,n,0,""
botgarden_4-0-0,concept,concept/research,y,1,Object: Accession used in (Accession Use Information)
botgarden_4-0-0,location,location/local,y,5,"Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Loan Out: Garden location (Voucher Information)
Location/Movement/Inventory: Current location (Current Location Information)
Propagation: Location in nursery (Propagation Information>Activities)"
botgarden_4-0-0,location,location/offsite,n,0,""
botgarden_4-0-0,organization,organization/local,y,29,"Citation: Agent name (Citation Information)
Citation: Publisher (Citation Information)
Condition Check: Checker/assessor (Condition Check/Technical Assessment Information)
Intake: Condition check assessor (Condition Check Information)
Intake: Current owner (Object Entry Information)
Intake: Depositor name (Object Entry Information)
Intake: Insurer (Insurance Information)
Intake: Valuer (Valuation Information)
Loan Out: Borrower name (Voucher Information)
Location/Movement/Inventory: Current location (Current Location Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Measured by (Media Handling Information)
Media Handling: Publisher (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Distribution Information)
Object Exit (Legacy): Depositor (Distribution Information)
Object: Associated event organization (Object History and Association Information>Associations)
Object: Associated organization (Object History and Association Information>Associations)
Object: Field collector (Field Collection Information)
Object: Owner (Object History and Association Information>Object Owner's Contribution Information)
Object: Taxonomic identification by (Object Identification Information>Identification by)
Object: Taxonomic identification institution (Object Identification Information>Identification by)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Taxon: Author name (Taxonomic Name Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
botgarden_4-0-0,organization,organization/ulan,n,0,""
botgarden_4-0-0,person,person/local,y,35,"Citation: Agent name (Citation Information)
Condition Check: Checker/assessor (Condition Check/Technical Assessment Information)
Group: Group owner (Group Information)
Intake: Approval individual (Object Entry Information)
Intake: Condition check assessor (Condition Check Information)
Intake: Current owner (Object Entry Information)
Intake: Depositor name (Object Entry Information)
Intake: Insurer (Insurance Information)
Intake: Valuer (Valuation Information)
Loan Out: Collector (Voucher Information)
Loan Out: Lender authorizer (Voucher Information)
Location/Movement/Inventory: Movement contact (Current Location Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Measured by (Media Handling Information)
Media Handling: Publisher (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Distribution Information)
Object: Annotation author (Object Description Information)
Object: Associated event person (Object History and Association Information>Associations)
Object: Associated person (Object History and Association Information>Associations)
Object: Field collection number assignor (Field Collection Information)
Object: Field collector (Field Collection Information)
Object: Owner (Object History and Association Information>Object Owner's Contribution Information)
Object: Requested by (Object Identification Information)
Object: Taxonomic identification by (Object Identification Information>Identification by)
Object: Type specimen asserted by (Object Identification Information)
Organization: Contact name (Organization Information)
Person: Other information author (Maker-Supplied Identity Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Taxon: Author name (Taxonomic Name Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
botgarden_4-0-0,person,person/ulan,y,1,Citation: Agent name (Citation Information)
botgarden_4-0-0,place,place/local,y,9,"Citation: Publication place (Citation Information)
Object: Field collection place (Locality Information)
Person: Birth place supplied (Maker-Supplied Identity Information)
Place: Address country (Place Information)
Place: Address municipality (Place Information)
Place: Address state/province (Place Information)
Work: Address country (Work Information)
Work: Address municipality (Work Information)
Work: Address state/province (Work Information)"
botgarden_4-0-0,place,place/tgn,y,7,"Citation: Publication place (Citation Information)
Place: Address country (Place Information)
Place: Address municipality (Place Information)
Place: Address state/province (Place Information)
Work: Address country (Work Information)
Work: Address municipality (Work Information)
Work: Address state/province (Work Information)"
botgarden_4-0-0,taxon,taxon/common,n,0,""
botgarden_4-0-0,taxon,taxon/local,y,7,"Object: Affinity taxon (Object Identification Information)
Object: Associated taxon name (Field Collection Information)
Object: Hybrid parent name (Object Identification Information)
Object: Taxonomic identification scientific name (Object Identification Information>Taxonomic identification)
Object: Type specimen verified basionym (Object Identification Information)
Pot Tag: Family (Pot Tag Information)
Pot Tag: Taxon name (Pot Tag Information)"
botgarden_4-0-0,work,work/cona,n,0,""
