profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Accession number,acquisitionReferenceNumber,ns2:acquisitions_common.acquisitionReferenceNumber,acquisitionReferenceNumber,string,y,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Accessioned,accessionDateGroup,ns2:acquisitions_common.accessionDateGroup,accessionDateGroup,structured date group,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorizer,acquisitionAuthorizer,ns2:acquisitions_common.acquisitionAuthorizer,acquisitionAuthorizerPersonLocal; acquisitionAuthorizerRefname,string,n,n,n/a,authority; refname,person/local; authority refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Authorization,Authorization date,acquisitionAuthorizerDate,ns2:acquisitions_common.acquisitionAuthorizerDate,acquisitionAuthorizerDate,date,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Received by,receivedBy,ns2:acquisitions_lhmc.receivedBy,receivedByPersonLocal; receivedByPersonUlan; receivedByRefname,string,n,n,y,authority; refname,person/local; person/ulan; authority refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Received date,receivedDate,ns2:acquisitions_lhmc.receivedDate,receivedDate,date,n,n,y,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroup,ns2:acquisitions_common.acquisitionDateGroup,acquisitionDateGroup,structured date group,n,y,n,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Received as,acquisitionMethod,ns2:acquisitions_common.acquisitionMethod,acquisitionMethod,string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourceOrganizationLocal; acquisitionSourceRefname,string,n,y,n,authority; refname,person/local; organization/local; authority refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Owner,owner,ns2:acquisitions_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,string,n,y,n,authority; refname,person/local; organization/local; authority refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Transfer of title number,transferOfTitleNumber,ns2:acquisitions_common.transferOfTitleNumber,transferOfTitleNumber,string,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,groupPurchasePriceCurrency,ns2:acquisitions_common.groupPurchasePriceCurrency,groupPurchasePriceCurrency; groupPurchasePriceCurrencyRefname,string,n,n,n/a,vocabulary; refname,currency; vocabulary refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price value,groupPurchasePriceValue,ns2:acquisitions_common.groupPurchasePriceValue,groupPurchasePriceValue,float,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,objectPurchasePriceCurrency,ns2:acquisitions_common.objectPurchasePriceCurrency,objectPurchasePriceCurrency; objectPurchasePriceCurrencyRefname,string,n,n,n/a,vocabulary; refname,currency; vocabulary refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,Price Information > Object purchase price,Object purchase price value,objectPurchasePriceValue,ns2:acquisitions_common.objectPurchasePriceValue,objectPurchasePriceValue,float,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition reason,acquisitionReason,ns2:acquisitions_common.acquisitionReason,acquisitionReason,string,n,n,n/a,"","",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Approval,approvalGroup,ns2:acquisitions_common.approvalGroup,approvalGroup; approvalGroupRefname,string,n,n,y,vocabulary; refname,deaccessionapprovalgroup; vocabulary refname,""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Approval individual,approvalIndividual,ns2:acquisitions_common.approvalIndividual,approvalIndividualPersonLocal; approvalIndividualRefname,string,n,n,y,authority; refname,person/local; authority refname,""
