profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Accessioned,accessionDateGroup,ns2:acquisitions_common.accessionDateGroup,accessionDateGroup,n,n/a,"",""
lhmc_8-0-0,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroup,ns2:acquisitions_common.acquisitionDateGroup,acquisitionDateGroup,y,n,"",""
lhmc_8-0-0,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,n,y,"",""
lhmc_8-0-0,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Chronology Information,"",Primary date range,primaryDateRangeStructuredDateGroup,ns2:chronologies_common.primaryDateRangeStructuredDateGroup,primaryDateRangeStructuredDateGroup,n,n/a,"",""
lhmc_8-0-0,Chronology,chronology,Alternative Date Information,"",Alternative date range,altDateRangeStructuredDateGroup,ns2:chronologies_common.altDateRangeStructuredDateGroup,altDateRangeStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated person date,assocPersonStructuredDateGroup,ns2:chronologies_common.assocPersonStructuredDateGroup,assocPersonStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated people date,assocPeopleStructuredDateGroup,ns2:chronologies_common.assocPeopleStructuredDateGroup,assocPeopleStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated organization date,assocOrganizationStructuredDateGroup,ns2:chronologies_common.assocOrganizationStructuredDateGroup,assocOrganizationStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated concept date,assocConceptStructuredDateGroup,ns2:chronologies_common.assocConceptStructuredDateGroup,assocConceptStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated place date,assocPlaceStructuredDateGroup,ns2:chronologies_common.assocPlaceStructuredDateGroup,assocPlaceStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Chronology,chronology,Associated Authorities,"",Associated event/era date,assocChronologyStructuredDateGroup,ns2:chronologies_common.assocChronologyStructuredDateGroup,assocChronologyStructuredDateGroup,n,y,"",""
lhmc_8-0-0,Object,collectionobject,Object Description Information,Content,Content date,contentDateGroup,ns2:collectionobjects_common.contentDateGroup,contentDateGroup,n,n/a,"",""
lhmc_8-0-0,Object,collectionobject,Object Description Information,Textual Inscription,Textual inscription date,inscriptionContentDateGroup,ns2:collectionobjects_common.inscriptionContentDateGroup,inscriptionContentDateGroup,n,y,"",""
