profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
materials_4-0-1,citation,citation/local,y,9,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Material: Citation source (Material Information)
Material: Term source name (Material Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
materials_4-0-1,citation,citation/shared,y,8,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Material: Citation source (Material Information)
Material: Term source name (Material Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
materials_4-0-1,concept,concept/archculture,n,0,""
materials_4-0-1,concept,concept/materialclassification,y,3,"Material: Composition class name (Material Information)
Material: Composition family name (Material Information)
Material: Composition generic name (Material Information)"
materials_4-0-1,concept,concept/nomenclature,n,0,""
materials_4-0-1,concept,concept/occasion,y,1,Use of Collections: Occasion (Use of Collections Information)
materials_4-0-1,concept,concept/sharedmaterialclassification,y,3,"Material: Composition class name (Material Information)
Material: Composition family name (Material Information)
Material: Composition generic name (Material Information)"
materials_4-0-1,location,location/local,y,4,"Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)
Use of Collections: Location (Use of Collections Information)"
materials_4-0-1,location,location/offsite,y,3,"Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Object: Computed current location (Object Identification Information)"
materials_4-0-1,material,material/local,y,2,"Media Handling: Coverage (Media Handling Information)
Object: Material (Object Identification Information)"
materials_4-0-1,material,material/shared,y,2,"Media Handling: Coverage (Media Handling Information)
Object: Material (Object Identification Information)"
materials_4-0-1,organization,organization/local,y,32,"Acquisition: Acquisition source (Acquisition Information)
Citation: Agent name (Citation Information)
Citation: Publisher (Citation Information)
Deaccession: Exit recipient (Proposed Exit Details)
Loan Out: Borrower name (Loan Out Information)
Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Material: Discontinued by (Material Information>Discontinued)
Material: Production organization name (Material Information)
Material: Term creator organization (Material Information)
Material: Term editor organization (Material Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Object Exit Information)
Object Exit (Legacy): Depositor (Object Exit Information)
Object Exit (Legacy): Disposal proposed recipient (Deaccession and Disposal Information)
Object Exit (Legacy): Disposal recipient (Deaccession and Disposal Information)
Object Exit: Exit agent name (Object Exit Information)
Object Exit: Owner after exit (Object Exit Information)
Object: Computed current location (Object Identification Information)
Object: Production organization (Object Production Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Use of Collections: Authorized by (Use of Collections Information)
Use of Collections: Location (Use of Collections Information)
Use of Collections: Staff name (Use of Collections Information)
Use of Collections: User institution (Use of Collections Information)
Use of Collections: User name (Use of Collections Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
materials_4-0-1,organization,organization/shared,y,27,"Acquisition: Acquisition source (Acquisition Information)
Loan Out: Borrower name (Loan Out Information)
Location/Movement/Inventory: Current location (Object Location Information)
Location/Movement/Inventory: Normal location (Object Location Information)
Material: Discontinued by (Material Information>Discontinued)
Material: Production organization name (Material Information)
Material: Term creator organization (Material Information)
Material: Term editor organization (Material Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Object Exit Information)
Object Exit (Legacy): Depositor (Object Exit Information)
Object Exit (Legacy): Disposal proposed recipient (Deaccession and Disposal Information)
Object Exit (Legacy): Disposal recipient (Deaccession and Disposal Information)
Object: Computed current location (Object Identification Information)
Object: Production organization (Object Production Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Use of Collections: Authorized by (Use of Collections Information)
Use of Collections: Location (Use of Collections Information)
Use of Collections: Staff name (Use of Collections Information)
Use of Collections: User institution (Use of Collections Information)
Use of Collections: User name (Use of Collections Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
materials_4-0-1,person,person/local,y,37,"Acquisition: Acquisition source (Acquisition Information)
Acquisition: Authorizer (Acquisition Information>Authorization)
Citation: Agent name (Citation Information)
Deaccession: Deaccession approval individual (Deaccession Information)
Deaccession: Exit recipient (Proposed Exit Details)
Group: Group owner (Group Information)
Loan Out: Borrower name (Loan Out Information)
Loan Out: Lender authorizer (Loan Out Information)
Loan Out: Loan status individual (Loan Out Information)
Location/Movement/Inventory: Inventory contact (Inventory Information)
Location/Movement/Inventory: Movement contact (Movement Information)
Material: Production person name (Material Information)
Material: Term creator contributor (Material Information)
Material: Term editor (Material Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Object Exit Information)
Object Exit (Legacy): Deaccession approval individual (Deaccession and Disposal Information)
Object Exit (Legacy): Deaccession authorizer (Deaccession and Disposal Information)
Object Exit (Legacy): Depositor (Object Exit Information)
Object Exit (Legacy): Disposal proposed recipient (Deaccession and Disposal Information)
Object Exit (Legacy): Disposal recipient (Deaccession and Disposal Information)
Object Exit: Approval status individual (Object Exit Information)
Object Exit: Exit agent name (Object Exit Information)
Object Exit: Owner after exit (Object Exit Information)
Object: Annotation author (Object Identification Information)
Object: Production person (Object Production Information)
Organization: Contact name (Organization Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Use of Collections: Authorized by (Use of Collections Information)
Use of Collections: Staff name (Use of Collections Information)
Use of Collections: User name (Use of Collections Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
materials_4-0-1,person,person/shared,y,26,"Acquisition: Acquisition source (Acquisition Information)
Loan Out: Borrower name (Loan Out Information)
Loan Out: Lender authorizer (Loan Out Information)
Loan Out: Loan status individual (Loan Out Information)
Location/Movement/Inventory: Inventory contact (Inventory Information)
Location/Movement/Inventory: Movement contact (Movement Information)
Material: Production person name (Material Information)
Material: Term creator contributor (Material Information)
Material: Term editor (Material Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Object Exit Information)
Object Exit (Legacy): Depositor (Object Exit Information)
Object Exit (Legacy): Disposal proposed recipient (Deaccession and Disposal Information)
Object Exit (Legacy): Disposal recipient (Deaccession and Disposal Information)
Object: Annotation author (Object Identification Information)
Object: Production person (Object Production Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Use of Collections: Authorized by (Use of Collections Information)
Use of Collections: Staff name (Use of Collections Information)
Use of Collections: User name (Use of Collections Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)
Work: Publisher name (Work Information)"
materials_4-0-1,place,place/local,y,7,"Citation: Publication place (Citation Information)
Material: Production place name (Material Information)
Media Handling: Coverage (Media Handling Information)
Use of Collections: Location (Use of Collections Information)
Work: Address country (Work Information)
Work: Address municipality (Work Information)
Work: Address state/province (Work Information)"
materials_4-0-1,place,place/shared,y,2,"Material: Production place name (Material Information)
Use of Collections: Location (Use of Collections Information)"
materials_4-0-1,work,work/local,y,3,"Material: Featured application name (Material Information)
Material: Featured collection name (Material Information)
Object: Named collection (Object Identification Information)"
materials_4-0-1,work,work/shared,y,2,"Material: Featured application name (Material Information)
Material: Featured collection name (Material Information)"
