profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
materials_4-0-1,Acquisition,acquisition,Acquisition Information,"",Reference number,acquisitionReferenceNumber,ns2:acquisitions_common.acquisitionReferenceNumber,acquisitionReferenceNumber,string,y,n,n/a,"","",""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,"",Accession date,accessionDateGroup,ns2:acquisitions_common.accessionDateGroup,accessionDateGroup,structured date group,n,n,n/a,"","",""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,Authorization,Authorizer,acquisitionAuthorizer,ns2:acquisitions_common.acquisitionAuthorizer,acquisitionAuthorizerPersonLocal; acquisitionAuthorizerRefname,string,n,n,n/a,authority; refname,person/local; authority refname,""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,Authorization,Authorization date,acquisitionAuthorizerDate,ns2:acquisitions_common.acquisitionAuthorizerDate,acquisitionAuthorizerDate,date,n,n,n/a,"","",""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroup,ns2:acquisitions_common.acquisitionDateGroup,acquisitionDateGroup,structured date group,n,y,n,"","",""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,"",Acquisition method,acquisitionMethod,ns2:acquisitions_common.acquisitionMethod,acquisitionMethod,string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
materials_4-0-1,Acquisition,acquisition,Acquisition Information,"",Acquisition source,acquisitionSource,ns2:acquisitions_common.acquisitionSource,acquisitionSourcePersonLocal; acquisitionSourcePersonShared; acquisitionSourceOrganizationLocal; acquisitionSourceOrganizationShared; acquisitionSourceRefname,string,n,y,n,authority; refname,person/local; person/shared; organization/local; organization/shared; authority refname,""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,groupPurchasePriceCurrency,ns2:acquisitions_common.groupPurchasePriceCurrency,groupPurchasePriceCurrency; groupPurchasePriceCurrencyRefname,string,n,n,n/a,vocabulary; refname,currency; vocabulary refname,""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price value,groupPurchasePriceValue,ns2:acquisitions_common.groupPurchasePriceValue,groupPurchasePriceValue,float,n,n,n/a,"","",""
materials_4-0-1,Acquisition,acquisition,Acquisition Information,Price Information > Object offer price,Object offer price currency,objectOfferPriceCurrency,ns2:acquisitions_common.objectOfferPriceCurrency,objectOfferPriceCurrency; objectOfferPriceCurrencyRefname,string,n,n,n/a,vocabulary; refname,currency; vocabulary refname,""
