profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
publicart_7-0-0,citation,citation/local,y,7,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
publicart_7-0-0,citation,citation/worldcat,y,7,"Citation: Term source name (Citation Information>Source)
Concept: Term source name (Concept Information>Source)
Organization: Term source name (Organization Information>Source)
Person: Term source name (Person Information>Source)
Place: Term source name (Place Information>Source)
Storage Location: Term source name (Storage Location Information>Source)
Work: Term source name (Work Information>Source)"
publicart_7-0-0,concept,concept/archculture,n,0,""
publicart_7-0-0,concept,concept/associated,y,2,"Citation: Related term (Citation Information)
Object: Content concept (Object Identification Information)"
publicart_7-0-0,concept,concept/ethculture,n,0,""
publicart_7-0-0,concept,concept/material,y,2,"Citation: Related term (Citation Information)
Object: Material (Object Description Information)"
publicart_7-0-0,concept,concept/nomenclature,n,0,""
publicart_7-0-0,concept,concept/occasion,n,0,""
publicart_7-0-0,concept,concept/worktype,y,1,Object: Object name (Object Identification Information)
publicart_7-0-0,location,location/local,y,5,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Object: Computed current location (Object Identification Information)"
publicart_7-0-0,location,location/offsite,y,5,"Exhibition: Venue name (Exhibition Information)
Intake: Current location (Location Information)
Intake: Normal location (Location Information)
Location/Movement/Inventory: Current location (Object Location Information)
Object: Computed current location (Object Identification Information)"
publicart_7-0-0,organization,organization/local,y,42,"Acquisition: Acquisition source (Acquisition Information)
Acquisition: Commissioning body (Commission Information)
Acquisition: Funding source (Acquisition Information)
Acquisition: Owner (Acquisition Information)
Citation: Agent name (Citation Information)
Citation: Publisher (Citation Information)
Condition Check: Checker/assessor (Condition Check/Technical Assessment Information)
Conservation: Conservator (Conservation Treatment Information)
Conservation: Other treatment party name (Conservation Treatment Information)
Deaccession: Exit recipient (Proposed Exit Details)
Exhibition: Organizer (Exhibition Information)
Exhibition: Support name (Exhibition Information)
Exhibition: Venue name (Exhibition Information)
Group: Group owner (Group Information)
Intake: Condition check assessor (Condition Check Information)
Intake: Current location (Location Information)
Intake: Current owner (Object Entry Information)
Intake: Depositor name (Object Entry Information)
Intake: Normal location (Location Information)
Loan In: Lender name (Loan In Information)
Loan Out: Borrower name (Loan Out Information>Borrower)
Location/Movement/Inventory: Current location (Object Location Information)
Media Handling: Contributor (Media Handling Information)
Media Handling: Creator (Media Handling Information)
Media Handling: Rights holder (Media Handling Information)
Object Exit (Legacy): Current owner (Object Exit Information)
Object Exit (Legacy): Depositor (Object Exit Information)
Object Exit (Legacy): Disposal proposed recipient (Deaccession and Disposal Information)
Object Exit (Legacy): Disposal recipient (Deaccession and Disposal Information)
Object Exit: Exit agent name (Object Exit Information)
Object Exit: Owner after exit (Object Exit Information)
Object: Artwork creator name (Object Production Information)
Object: Collection (Object Identification Information)
Object: Computed current location (Object Identification Information)
Object: Owner (Object Identification Information>Object Owner's Contribution Information)
Object: Textual inscription inscriber (Object Description Information>Textual Inscription)
Person: Person's organization (Person Information)
Place: Georeferenced by (Georeference Information)
Place: Owner (Place Information)
Valuation Control: Insurer (Insurance Information)
Valuation Control: Source (Object Valuation Information)
Work: Creator name (Work Information)"
