profile,id,label
core_10-0-2,acquisition.acquisitionReferenceNumber,Acquisition Information > Reference number
core_10-0-2,acquisition.accessionDateGroup,Acquisition Information > Accession date
core_10-0-2,acquisition.acquisitionAuthorizer,Acquisition Information > Authorization > Authorizer
core_10-0-2,acquisition.acquisitionAuthorizerDate,Acquisition Information > Authorization > Authorization date
core_10-0-2,acquisition.acquisitionDateGroup,Acquisition Information > Acquisition date
core_10-0-2,acquisition.acquisitionMethod,Acquisition Information > Acquisition method
core_10-0-2,acquisition.acquisitionSource,Acquisition Information > Acquisition source
core_10-0-2,acquisition.owner,Acquisition Information > Owner
core_10-0-2,acquisition.transferOfTitleNumber,Acquisition Information > Transfer of title number
core_10-0-2,acquisition.groupPurchasePriceCurrency,Acquisition Information > Price Information > Group purchase price > Group purchase price currency
core_10-0-2,acquisition.groupPurchasePriceValue,Acquisition Information > Price Information > Group purchase price > Group purchase price value
core_10-0-2,acquisition.objectOfferPriceCurrency,Acquisition Information > Price Information > Object offer price > Object offer price currency
core_10-0-2,acquisition.objectOfferPriceValue,Acquisition Information > Price Information > Object offer price > Object offer price value
core_10-0-2,acquisition.objectPurchaseOfferPriceCurrency,Acquisition Information > Price Information > Object purchaser offer price > Object purchaser offer price currency
core_10-0-2,acquisition.objectPurchaseOfferPriceValue,Acquisition Information > Price Information > Object purchaser offer price > Object purchaser offer price value
core_10-0-2,acquisition.objectPurchasePriceCurrency,Acquisition Information > Price Information > Object purchase price > Object purchase price currency
core_10-0-2,acquisition.objectPurchasePriceValue,Acquisition Information > Price Information > Object purchase price > Object purchase price value
core_10-0-2,acquisition.originalObjectPurchasePriceCurrency,Acquisition Information > Price Information > Original object purchase price > Original object purchase price currency
core_10-0-2,acquisition.originalObjectPurchasePriceValue,Acquisition Information > Price Information > Original object purchase price > Original object purchase price value
core_10-0-2,acquisition.acquisitionReason,Acquisition Information > Acquisition reason
core_10-0-2,acquisition.approvalGroup,Acquisition Information > Approval
core_10-0-2,acquisition.approvalIndividual,Acquisition Information > Approval individual
core_10-0-2,acquisition.approvalStatus,Acquisition Information > Approval status
core_10-0-2,acquisition.approvalDate,Acquisition Information > Approval status date
core_10-0-2,acquisition.approvalNote,Acquisition Information > Approval note
core_10-0-2,acquisition.acquisitionNote,Acquisition Information > Note
core_10-0-2,acquisition.acquisitionProvisos,Acquisition Information > Provisos
core_10-0-2,acquisition.acquisitionFundingCurrency,Acquisition Information > Funding currency
core_10-0-2,acquisition.acquisitionFundingValue,Acquisition Information > Funding value
core_10-0-2,acquisition.acquisitionFundingSource,Acquisition Information > Funding source
