profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
core_10-0-0,work,work/cona,n,0,""
bonsai_7-0-0,concept,concept/archculture,n,0,""
bonsai_7-0-0,concept,concept/nomenclature,n,0,""
bonsai_7-0-0,work,work/cona,n,0,""
herbarium_3-0-0,concept,concept/archculture,n,0,""
herbarium_3-0-0,concept,concept/nomenclature,n,0,""
herbarium_3-0-0,work,work/cona,n,0,""
lhmc_8-0-0,concept,concept/archculture,n,0,""
lhmc_8-0-0,concept,concept/ethculture,n,0,""
lhmc_8-0-0,work,work/cona,n,0,""
botgarden_4-0-0,concept,concept/archculture,n,0,""
botgarden_4-0-0,concept,concept/conservation,n,0,""
botgarden_4-0-0,concept,concept/ethculture,n,0,""
botgarden_4-0-0,concept,concept/nomenclature,n,0,""
botgarden_4-0-0,concept,concept/occasion,n,0,""
botgarden_4-0-0,location,location/offsite,n,0,""
botgarden_4-0-0,organization,organization/ulan,n,0,""
botgarden_4-0-0,taxon,taxon/common,n,0,""
botgarden_4-0-0,work,work/cona,n,0,""
fcart_8-0-0,concept,concept/archculture,n,0,""
publicart_7-0-0,concept,concept/archculture,n,0,""
publicart_7-0-0,concept,concept/ethculture,n,0,""
publicart_7-0-0,concept,concept/nomenclature,n,0,""
publicart_7-0-0,concept,concept/occasion,n,0,""
publicart_7-0-0,work,work/local,n,0,""
materials_4-0-1,concept,concept/archculture,n,0,""
materials_4-0-1,concept,concept/nomenclature,n,0,""
anthro_9-0-0,taxon,taxon/common,n,0,""
anthro_9-0-0,work,work/cona,n,0,""
