"status","Issue","fid","profile","record_type","namespace","namespace_for_id","field_id","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats","data_source_type","data_source_name","option_list_values"
"new","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryGroup","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryGroup","Inventory Documentation Information",,"Inventory documentation status group","inventoryStatusGroupList > inventoryStatusGroup","inventoryGroup","string","n","n","y","vocabulary","deaccessionapprovalgroup",
"old","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryGroup","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryGroup","Inventory Documentation Information",,"Inventory status group","inventoryStatusGroupList > inventoryStatusGroup","inventoryGroup","string","n","n","y","vocabulary","deaccessionapprovalgroup",
"new","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryIndividual","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryIndividual","Inventory Documentation Information",,"Inventory documentation status individual","inventoryStatusGroupList > inventoryStatusGroup","inventoryIndividual","string","n","n","y","authority","person/local",
"old","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryIndividual","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryIndividual","Inventory Documentation Information",,"Inventory status individual","inventoryStatusGroupList > inventoryStatusGroup","inventoryIndividual","string","n","n","y","authority","person/local",
"new","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryStatus","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryStatus","Inventory Documentation Information",,"Inventory documentation status","inventoryStatusGroupList > inventoryStatusGroup","inventoryStatus","string","n","n","y","vocabulary","nagpradocumentationstatus",
"old","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryStatus","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryStatus","Inventory Documentation Information",,"Inventory status","inventoryStatusGroupList > inventoryStatusGroup","inventoryStatus","string","n","n","y","vocabulary","nagpradocumentationstatus",
"new","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryDate","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryDate","Inventory Documentation Information",,"Inventory documentation status date","inventoryStatusGroupList > inventoryStatusGroup","inventoryDate","date","n","n","y",,,
"old","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryDate","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryDate","Inventory Documentation Information",,"Inventory status date","inventoryStatusGroupList > inventoryStatusGroup","inventoryDate","date","n","n","y",,,
"new","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryNote","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryNote","Inventory Documentation Information",,"Inventory documentation status note","inventoryStatusGroupList > inventoryStatusGroup","inventoryNote","string","n","n","y",,,
"old","DRYD-1704","core nagprainventory ns2:nagprainventories_common inventoryNote","core","nagprainventory","ns2:nagprainventories_common","ns2:nagprainventories_common","nagprainventories_common.inventoryNote","Inventory Documentation Information",,"Inventory status note","inventoryStatusGroupList > inventoryStatusGroup","inventoryNote","string","n","n","y",,,
"new","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusGroupType","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusGroupType","Summary Documentation Information",,"Summary documentation status group","statusGroupList > statusGroup","statusGroupType","string","n","n","y","vocabulary","documentationgroup",
"old","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusGroupType","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusGroupType","Summary Documentation Information",,"Summary status group","statusGroupList > statusGroup","statusGroupType","string","n","n","y","vocabulary","documentationgroup",
"new","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusIndividual","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusIndividual","Summary Documentation Information",,"Summary documentation status individual","statusGroupList > statusGroup","statusIndividual","string","n","n","y","authority","person/local",
"old","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common statusIndividual","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.statusIndividual","Summary Documentation Information",,"Summary status individual","statusGroupList > statusGroup","statusIndividual","string","n","n","y","authority","person/local",
"new","DRYD-1703","core summarydocumentation ns2:summarydocumentations_common status","core","summarydocumentation","ns2:summarydocumentations_common","ns2:summarydocumentations_common","summarydocumentations_common.status","Summary Documentation Information",,"Summary documentation status","statusGroupList > statusGroup","status","string","n","n","y","vocabulary","nagpradocumentationstatus",
