profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
bonsai_7-1-0,citation,citation/local,y,12,"Citation: Term source name (#<CspaceConfigUntangler::Message:0x000000014ce89840>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000014cfaf738>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x000000013cfc0070>)
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000013bfa9880>)
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012feafe18>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x00000001433a78b8>)
Taxon: Citation
Taxon: Common name source
Taxon: Term source name (#<CspaceConfigUntangler::Message:0x0000000126149fc0>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x00000001236248e0>)"
bonsai_7-1-0,citation,citation/worldcat,y,11,"Citation: Term source name (#<CspaceConfigUntangler::Message:0x000000014ce89840>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000014cfaf738>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x000000013cfc0070>)
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000013bfa9880>)
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012feafe18>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x00000001433a78b8>)
Taxon: Citation
Taxon: Term source name (#<CspaceConfigUntangler::Message:0x0000000126149fc0>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x00000001236248e0>)"
bonsai_7-1-0,concept,concept/activity,y,1,Citation: Related term
bonsai_7-1-0,concept,concept/archculture,n,0,""
bonsai_7-1-0,concept,concept/associated,y,3,"Citation: Related term
Object: Associated concept (#<CspaceConfigUntangler::Message:0x000000014d2ed210>)
Object: Content concept (#<CspaceConfigUntangler::Message:0x000000014d2edcb0>)"
bonsai_7-1-0,concept,concept/ethculture,y,1,Intake: Field collection source
bonsai_7-1-0,concept,concept/material,y,2,"Citation: Related term
Object: Content concept (#<CspaceConfigUntangler::Message:0x000000014d2edcb0>)"
bonsai_7-1-0,concept,concept/nomenclature,n,0,""
bonsai_7-1-0,concept,concept/occasion,y,1,Use of Collections: Occasion
bonsai_7-1-0,location,location/local,y,7,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x000000013da07538>)
Location/Movement/Inventory: Normal location
Object: Computed current location
Use of Collections: Location"
bonsai_7-1-0,location,location/offsite,y,6,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x000000013da07538>)
Location/Movement/Inventory: Normal location
Object: Computed current location"
