profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
lhmc_8-2-0,chronology,chronology/era,y,6,"Chronology: Associated event/era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x0000000145643d40>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x00000001456445b0>)
Object: Production era
Person: Associated event/era
Place: Associated event/era"
lhmc_8-2-0,chronology,chronology/event,y,5,"Chronology: Associated event/era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x0000000145643d40>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x00000001456445b0>)
Person: Associated event/era
Place: Associated event/era"
lhmc_8-2-0,citation,citation/local,y,31,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x0000000147364438>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x0000000147ac1dc0>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000012786a650>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000146364e70>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Publication name
Person: Term source name (#<CspaceConfigUntangler::Message:0x0000000141fa2868>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012872b130>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x0000000147480a60>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x000000013d8a01e0>)"
lhmc_8-2-0,citation,citation/worldcat,y,31,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x0000000147364438>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x0000000147ac1dc0>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000012786a650>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000146364e70>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Publication name
Person: Term source name (#<CspaceConfigUntangler::Message:0x0000000141fa2868>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012872b130>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x0000000147480a60>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x000000013d8a01e0>)"
lhmc_8-2-0,concept,concept/activity,y,4,"Chronology: Associated concept
Citation: Related term
Person: Associated concept
Place: Associated concept"
lhmc_8-2-0,concept,concept/archculture,n,0,""
lhmc_8-2-0,concept,concept/associated,y,9,"Chronology: Associated concept
Chronology: Associated people
Citation: Related term
Object: Associated concept (#<CspaceConfigUntangler::Message:0x0000000145643d40>)
Object: Content concept (#<CspaceConfigUntangler::Message:0x00000001456445b0>)
Person: Associated concept
Person: Associated people
Place: Associated concept
Place: Associated people"
lhmc_8-2-0,concept,concept/ethculture,n,0,""
lhmc_8-2-0,concept,concept/material,y,6,"Chronology: Associated concept
Citation: Related term
Object: Content concept (#<CspaceConfigUntangler::Message:0x00000001456445b0>)
Object: Material controlled
Person: Associated concept
Place: Associated concept"
lhmc_8-2-0,concept,concept/nomenclature,y,4,"Chronology: Associated concept
Object: Object name controlled
Person: Associated concept
Place: Associated concept"
lhmc_8-2-0,concept,concept/occasion,y,4,"Chronology: Associated concept
Person: Associated concept
Place: Associated concept
Use of Collections: Occasion"
lhmc_8-2-0,location,location/local,y,6,"Exhibition: Venue name
Intake: Interim location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x0000000146a4b310>)
Location/Movement/Inventory: Normal location
Object: Computed current location
Use of Collections: Location"
lhmc_8-2-0,location,location/offsite,y,5,"Exhibition: Venue name
Intake: Interim location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x0000000146a4b310>)
Location/Movement/Inventory: Normal location
Object: Computed current location"
