profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
ohc_3-0-0,chronology,chronology/era,y,9,"Chronology: Associated event/era
NAGPRA Inventory: Time period era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000014800fd90>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x0000000147e22320>)
Object: Production era
Person: Associated event/era
Place: Associated event/era
Repatriation Request: Time period era
Summary Documentation: Time period era"
ohc_3-0-0,chronology,chronology/event,y,6,"Chronology: Associated event/era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000014800fd90>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x0000000147e22320>)
Object: Field collection event
Person: Associated event/era
Place: Associated event/era"
ohc_3-0-0,chronology,chronology/fieldcollection,y,4,"Chronology: Associated event/era
Object: Field collection event
Person: Associated event/era
Place: Associated event/era"
ohc_3-0-0,citation,citation/local,y,36,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x0000000146b030c8>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x0000000146864a10>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000013b0889a0>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000125d6a4b8>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000014ec00478>)
Place: Assertion reference name (#<CspaceConfigUntangler::Message:0x00000001467aefd0>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Published report reference
Place: Term source name (#<CspaceConfigUntangler::Message:0x00000001467af7a0>)
Place: Unpublished manuscript reference
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x0000000129048218>)
Taxon: Citation
Taxon: Common name source
Taxon: Term source name (#<CspaceConfigUntangler::Message:0x000000013ed85ab0>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x0000000139de2530>)"
ohc_3-0-0,citation,citation/worldcat,y,33,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x0000000146b030c8>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x0000000146864a10>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000013b0889a0>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000125d6a4b8>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000014ec00478>)
Place: Assertion reference name (#<CspaceConfigUntangler::Message:0x00000001467aefd0>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (#<CspaceConfigUntangler::Message:0x00000001467af7a0>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x0000000129048218>)
Taxon: Citation
Taxon: Term source name (#<CspaceConfigUntangler::Message:0x000000013ed85ab0>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x0000000139de2530>)"
ohc_3-0-0,concept,concept/activity,y,4,"Chronology: Associated concept
Citation: Related term
Person: Associated concept
Place: Associated concept"
ohc_3-0-0,concept,concept/archculture,y,9,"Chronology: Associated concept
NAGPRA Claim: Cultural group involved name
NAGPRA Inventory: Cultural group name
Object: Cultural determination culture
Object: Production cultural group
Person: Associated concept
Place: Associated concept
Repatriation Request: Cultural group name
Summary Documentation: Cultural group name"
ohc_3-0-0,concept,concept/associated,y,9,"Chronology: Associated concept
Chronology: Associated people
Citation: Related term
Object: Associated concept (#<CspaceConfigUntangler::Message:0x000000014800fd90>)
Object: Content concept (#<CspaceConfigUntangler::Message:0x0000000147e22320>)
Person: Associated concept
Person: Associated people
Place: Associated concept
Place: Associated people"
ohc_3-0-0,concept,concept/ethculture,y,8,"Intake: Field collection source
NAGPRA Claim: Cultural group involved name
NAGPRA Inventory: Cultural group name
Object: Associated cultural group
Object: Cultural determination culture
Object: Production cultural group
Repatriation Request: Cultural group name
Summary Documentation: Cultural group name"
ohc_3-0-0,concept,concept/ethfilecode,y,1,Object: Function
ohc_3-0-0,concept,concept/material,y,6,"Chronology: Associated concept
Citation: Related term
Object: Material
Object: Material controlled
Person: Associated concept
Place: Associated concept"
ohc_3-0-0,concept,concept/nomenclature,y,5,"Chronology: Associated concept
Object: Object name
Object: Object name controlled
Person: Associated concept
Place: Associated concept"
ohc_3-0-0,concept,concept/occasion,y,4,"Chronology: Associated concept
Person: Associated concept
Place: Associated concept
Use of Collections: Occasion"
ohc_3-0-0,location,location/local,y,7,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001284a0dc0>)
Location/Movement/Inventory: Normal location
Object: Computed current location
Use of Collections: Location"
ohc_3-0-0,location,location/offsite,y,6,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001284a0dc0>)
Location/Movement/Inventory: Normal location
Object: Computed current location"
