fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_9_0 acquisition ns2:acquisitions_common acquisitionReferenceNumber,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common alternativeIdentifier,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.alternativeIdentifier,Acquisition Information,"",Alternative identifier,alternativeIdentifierGroupList > alternativeIdentifierGroup,alternativeIdentifier,string,n,n,y,"","",""
core_9_0 acquisition ns2:acquisitions_common alternativeIdentifierNote,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.alternativeIdentifierNote,Acquisition Information,"",Alternative identifier note,alternativeIdentifierGroupList > alternativeIdentifierGroup,alternativeIdentifierNote,string,n,n,y,"","",""
core_9_0 acquisition ns2:acquisitions_common acquisitionAuthorizer,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizer,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority,person/local,""
core_9_0 acquisition ns2:acquisitions_common acquisitionAuthorizerDate,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizerDate,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common acquisitionSource,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority,person/local; organization/local,""
core_9_0 acquisition ns2:acquisitions_common owner,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.owner,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority,person/local; organization/local,""
core_9_0 acquisition ns2:acquisitions_common transferOfTitleNumber,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.transferOfTitleNumber,Acquisition Information,"",Transfer of title number,"",transferOfTitleNumber,string,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common acquisitionMethod,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list,acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
core_9_0 acquisition ns2:acquisitions_common acquisitionDescription,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionDescription,Acquisition Information,"",Acquisition description,"",acquisitionDescription,string,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common acquisitionReason,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","",""
core_9_0 acquisition ns2:acquisitions_common approvalGroup,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,Approval group,Approval group,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary,deaccessionapprovalgroup,""
core_9_0 acquisition ns2:acquisitions_common approvalIndividual,core_9_0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,Approval group,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority,person/local,""
