profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
fcart_9_0,chronology,chronology/era,y,6,"Chronology: Associated event/era
Object: Associated controlled event or period/era (Associations)
Object: Content controlled event or period/era (Content)
Object: Production era
Person: Associated event/era
Place: Associated event/era"
fcart_9_0,chronology,chronology/event,y,5,"Chronology: Associated event/era
Object: Associated controlled event or period/era (Associations)
Object: Content controlled event or period/era (Content)
Person: Associated event/era
Place: Associated event/era"
fcart_9_0,citation,citation/local,y,30,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (Source)
Citation: Term source name (Source)
Concept: Term source name (Source)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (Source)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (Source)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (Source)
Storage Location: Term source name (Source)
Work: Term source name (Source)"
fcart_9_0,citation,citation/worldcat,y,30,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (Source)
Citation: Term source name (Source)
Concept: Term source name (Source)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (Source)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (Source)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (Source)
Storage Location: Term source name (Source)
Work: Term source name (Source)"
fcart_9_0,concept,concept/activity,y,6,"Chronology: Associated concept
Citation: Related term
Object: Associated activity (Associations)
Object: Content activity (Content)
Person: Associated concept
Place: Associated concept"
fcart_9_0,concept,concept/archculture,n,0,""
fcart_9_0,concept,concept/associated,y,10,"Chronology: Associated concept
Chronology: Associated people
Citation: Related term
Concept: Related concept
Object: Associated concept (Associations)
Object: Content concept (Content)
Person: Associated concept
Person: Associated people
Place: Associated concept
Place: Associated people"
fcart_9_0,concept,concept/ethculture,y,3,"Object: Associated event people (Associations)
Object: Associated people (Associations)
Object: Content people (Content)"
fcart_9_0,concept,concept/material,y,6,"Chronology: Associated concept
Citation: Related term
Object: Content concept (Content)
Object: Material controlled
Person: Associated concept
Place: Associated concept"
fcart_9_0,concept,concept/nomenclature,y,4,"Chronology: Associated concept
Object: Object name controlled
Person: Associated concept
Place: Associated concept"
