profile,id_caps,id_lower,label
core_9_0,acquisition.acquisitionReferenceNumber,acquisition.acquisitionreferencenumber,Acquisition Information > Reference number
core_9_0,acquisition.alternativeIdentifier,acquisition.alternativeidentifier,Acquisition Information > Alternative identifier
core_9_0,acquisition.alternativeIdentifierNote,acquisition.alternativeidentifiernote,Acquisition Information > Alternative identifier note
core_9_0,acquisition.accessionDateGroup,acquisition.accessiondategroup,Acquisition Information > Accession date
core_9_0,acquisition.acquisitionAuthorizer,acquisition.acquisitionauthorizer,Acquisition Information > Authorization > Authorizer
core_9_0,acquisition.acquisitionAuthorizerDate,acquisition.acquisitionauthorizerdate,Acquisition Information > Authorization > Authorization date
core_9_0,acquisition.acquisitionDateGroup,acquisition.acquisitiondategroup,Acquisition Information > Acquisition date
core_9_0,acquisition.acquisitionSource,acquisition.acquisitionsource,Acquisition Information > Acquisition source
core_9_0,acquisition.owner,acquisition.owner,Acquisition Information > Owner
core_9_0,acquisition.transferOfTitleNumber,acquisition.transferoftitlenumber,Acquisition Information > Transfer of title number
core_9_0,acquisition.acquisitionMethod,acquisition.acquisitionmethod,Acquisition Information > Acquisition method
core_9_0,acquisition.acquisitionDescription,acquisition.acquisitiondescription,Acquisition Information > Acquisition description
core_9_0,acquisition.acquisitionReason,acquisition.acquisitionreason,Acquisition Information > Acquisition reason
core_9_0,acquisition.approvalGroup,acquisition.approvalgroup,Acquisition Information > Approval group > Approval group
core_9_0,acquisition.approvalIndividual,acquisition.approvalindividual,Acquisition Information > Approval group > Approval individual
core_9_0,acquisition.approvalStatus,acquisition.approvalstatus,Acquisition Information > Approval group > Approval status
core_9_0,acquisition.approvalDate,acquisition.approvaldate,Acquisition Information > Approval group > Approval status date
core_9_0,acquisition.approvalNote,acquisition.approvalnote,Acquisition Information > Approval group > Approval note
core_9_0,acquisition.acquisitionNote,acquisition.acquisitionnote,Acquisition Information > Note
core_9_0,acquisition.acquisitionProvisos,acquisition.acquisitionprovisos,Acquisition Information > Provisos
core_9_0,acquisition.acquisitionFundingCurrency,acquisition.acquisitionfundingcurrency,Acquisition Information > Funding currency
core_9_0,acquisition.acquisitionFundingValue,acquisition.acquisitionfundingvalue,Acquisition Information > Funding value
core_9_0,acquisition.acquisitionFundingSource,acquisition.acquisitionfundingsource,Acquisition Information > Funding source
core_9_0,acquisition.acquisitionFundingSourceProvisos,acquisition.acquisitionfundingsourceprovisos,Acquisition Information > Funding source provisos
core_9_0,acquisition.involvedParty,acquisition.involvedparty,Acquisition Information > Parties involved person
core_9_0,acquisition.involvedOnBehalfOf,acquisition.involvedonbehalfof,Acquisition Information > Parties involved on behalf of
core_9_0,acquisition.involvedRole,acquisition.involvedrole,Acquisition Information > Parties involved role
core_9_0,acquisition.creditLine,acquisition.creditline,Acquisition Information > Credit line
core_9_0,acquisition.groupPurchasePriceCurrency,acquisition.grouppurchasepricecurrency,Price Information > Group purchase price > Group purchase price currency
core_9_0,acquisition.groupPurchasePriceValue,acquisition.grouppurchasepricevalue,Price Information > Group purchase price > Group purchase price value
core_9_0,acquisition.objectOfferPriceCurrency,acquisition.objectofferpricecurrency,Price Information > Object offer price > Object offer price currency
