fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff_info
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_ohc oaiCollectionPlace,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_ohc,ns2:collectionobjects_ohc,collectionobjects_ohc.oaiCollectionPlace,Object Collection Information,OAI site,OAI site,oaiSiteGroupList > oaiSiteGroup,oaiCollectionPlace,string,n,n,y,authority: place/local; authority: place/tgn,"",not in anthro_7-0-0
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_ohc oaiLocVerbatim,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_ohc,ns2:collectionobjects_ohc,collectionobjects_ohc.oaiLocVerbatim,Object Collection Information,OAI site,OAI collection site (verbatim),oaiSiteGroupList > oaiSiteGroup,oaiLocVerbatim,string,n,n,y,"","",not in anthro_7-0-0
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_ohc namedTimePeriod,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_ohc,ns2:collectionobjects_ohc,collectionobjects_ohc.namedTimePeriod,Object Production Information,"",Named time period,namedTimePeriods,namedTimePeriod,string,n,y,n,vocabulary: namedtimeperiods,"",not in anthro_7-0-0
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_ohc majorTaxon,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_ohc,ns2:collectionobjects_ohc,collectionobjects_ohc.majorTaxon,Object Description Information,Biological Information,Major taxon,"",majorTaxon,string,n,n,n/a,vocabulary: majortaxon,"",not in anthro_7-0-0
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionAuthorizer,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizer,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority: person/local,"",not in ohc_1-0-18_7-2
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionAuthorizerDate,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionAuthorizerDate,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"","",not in ohc_1-0-18_7-2
anthro_7-0-0 acquisition ns2:acquisitions_common transferOfTitleNumber,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.transferOfTitleNumber,Acquisition Information,"",Transfer of title number,"",transferOfTitleNumber,string,n,n,n/a,"","",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameControlled,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameControlled,Object Identification Information,Object name,Object name controlled,objectNameList > objectNameGroup,objectNameControlled,string,n,n,y,authority: concept/nomenclature,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common materialControlled,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialControlled,Object Identification Information,Material,Material controlled,materialGroupList > materialGroup,materialControlled,string,n,n,y,authority: concept/material,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common fieldCollectionSite,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fieldCollectionSite,Object Collection Information,"",Field collection site,fieldCollectionSites,fieldCollectionSite,string,n,y,n,authority: place/archaeological,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_anthro fieldCollectionEvent,anthro_7-0-0,collectionobject,ns2:collectionobjects_anthro,ns2:collectionobjects_anthro,collectionobjects_anthro.fieldCollectionEvent,Object Collection Information,"",Field collection event,fieldCollectionEvents,fieldCollectionEvent,string,n,y,n,authority: chronology/fieldcollection; authority: chronology/event,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectProductionEra,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectProductionEra,Object Production Information,"",Production era,objectProductionEras,objectProductionEra,string,n,y,n,authority: chronology/era,"",not in ohc_1-0-18_7-2
